"USGS_band","Date","Species","GPS_N","GPS_E","Age","Sex","Bander","Locality","tissue_type","Count_State","Bled?","Bill_depth","Bill_length_culmen","Bill_length_nares","Bill_width","Fat","Tail","Tarsus","Wing_L","Wing_R","Notes"
"2360-81874","9 V 2021","BTBW",34.795,-83.75227,"M","ASY","MJO","Scorpion Hollow, GA","blood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2360-81875","13 V 2021","BTBW",34.79842,-83.74687,"M","SY","MJO","Scorpion Hollow, GA","blood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2360-81876","13 V 2021","BTBW",34.79524,-83.75227,"M","ASY","MJO","Scorpion Hollow, GA","blood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2360-81877","14 V 2021","BTBW",34.79524,-83.75227,"M","SY","MJO","Scorpion Hollow, GA","blood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2360-81878","15 V 2021","BTBW",34.79493,-83.71538,"M","ASY","MJO","Scorpion Hollow, GA","blood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2360-81879","16 V 2021","BTBW",34.79596,-83.74731,"M","SY","MJO","Scorpion Hollow, GA","blood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2360-81880","17 V 2021","BTBW",34.80282,-83.73965,"M","ASY","MJO","Scorpion Hollow, GA","blood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2360-81881","17 V 2021","BTBW",34.80284,-83.73968,"M","ASY","MJO","Scorpion Hollow, GA","blood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2360-81882","17 V 2021","BTBW",34.80326,-83.73386,"M","SY","MJO","Scorpion Hollow, GA","blood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2360-81883","19 V 2021","BTBW",36.74135,-81.47514,"M","SY","MJO","Troutdale, VA","blood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2360-81884","19 V 2021","BTBW",36.72102,-81.47958,"M","SY","MJO","Troutdale, VA","blood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2360-81885","19 V 2021","BTBW",36.7206,-81.48302,"M","ASY","MJO","Troutdale, VA","blood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2360-81886","20 V 2021","BTBW",36.68561,-81.55249,"M","ASY","MJO","Troutdale, VA","blood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2360-81887","20 V 2021","BTBW",36.68167,-81.55496,"M","SY","MJO","Troutdale, VA","blood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2360-81888","20 V 2021","BTBW",36.67764,-81.5582,"M","SY","MJO","Troutdale, VA","blood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2360-81889","21 V 2021","BTBW",36.69344,-81.53953,"M","ASY","MJO","Troutdale, VA","blood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2360-81890","21 V 2021","BTBW",36.69345,-81.53957,"M","ASY","MJO","Troutdale, VA","blood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2360-81891","21 V 2021","BTBW",36.71328,-81.5359,"M","ASY","MJO","Troutdale, VA","blood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2360-81892","21 V 2021","BTBW",36.71491,-81.53313,"M","SY","MJO","Troutdale, VA","blood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2360-81893","22 V 2021","BTBW",36.72475,-81.49184,"M","ASY","MJO","Troutdale, VA","blood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2360-81894","23 V 2021","BTBW",36.71803,-81.49309,"M","ASY","MJO","Troutdale, VA","blood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2360-81895","23 V 2021","BTBW",36.71801,-81.49312,"M","ASY","MJO","Troutdale, VA","blood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2360-81896","24 V 2021","BTBW",36.12984,-82.31004,"M","ASY","MJO","Erwin, TN","blood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2360-81897","24 V 2021","BTBW",36.14289,-82.29054,"M","ASY","MJO","Erwin, TN","blood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2360-81898","24 V 2021","BTBW",36.13831,-82.28147,"M","ASY","MJO","Erwin, TN","blood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2360-81899","27 V 2021","BTBW",35.7336,-82.19024,"M","ASY","MJO","Old Fort, NC","blood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2360-81900","28 V 2021","BTBW",36.14551,-82.26169,"M","SY","MJO","Erwin, TN","blood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2840-12435","28 V 2021","BTBW",36.14558,-82.26152,"M","ASY","MJO","Erwin, TN","blood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2840-12436","31 V 2021","BTBW",35.7212,-82.18272,"M","SY","MJO","Old Fort, NC","blood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2840-12437","1 VI 2021","BTBW",35.73052,-82.19004,"M","ASY","MJO","Old Fort, NC","blood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2840-12438","1 VI 2021","BTBW",35.73048,-82.18992,"F","SY","MJO","Old Fort, NC","blood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2840-12439","1 VI 2021","BTBW",35.7286,-82.18968,"M","ASY","MJO","Old Fort, NC","blood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2840-12440","1 VI 2021","BTBW",35.72385,-82.17982,"M","ASY","MJO","Old Fort, NC","blood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2840-12441","1 VI 2021","BTBW",35.725,-82.18528,"M","ASY","MJO","Old Fort, NC","blood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2840-12442","1 VI 2021","BTBW",35.72886,-82.18528,"M","ASY","MJO","Old Fort, NC","blood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2840-12443","2 VI 2021","BTBW",35.73982,-82.19873,"M","ASY","MJO","Old Fort, NC","blood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2840-12444","2 VI 2021","BTBW",35.73979,-82.19887,"M","ASY","MJO","Old Fort, NC","blood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2840-12445","2 VI 2021","BTBW",35.7384,-82.20407,"M","SY","MJO","Old Fort, NC","blood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
