"ID","pl_code","lumMean","lumSD","lwMean","lwSD","mwMean","mwSD","swMean","swSD","uvMean","uvSD","dblMean","dblSD","area_mm2","Species","Day","Month","Year","Locality","County","State.Province","Sex","pop","Region","lat","lon","GRG.no.","Collector","prepartor","tissue.no.","Age","testes.L.R","weight.g","skeleton","wing.R.mm","tail.mm","bill.depth.mm","bill.width.mm","bill.culmen.mm","bill.nares.mm","tarsus1.mm","tarsus2.mm","alula","wing.spot.L.mm","wing.spot.R.mm","dorsal.photoID","side.photoID","crown.photoID","ventral.photoID","file.loc","comments_specimen","comments_analysis","Weight","Tarsometatarsus"
"606619","b",0.40786142,0.050483988,0.419210096333333,0.053417105,0.410273323333333,0.0521025443333333,0.352106408333333,0.0436811823333333,0.426638015333333,0.057119124,0.40786142,0.050483988,24.5009069869269,"Setophaga caerulescens",12,"Jun",88,"Jefferson Nat'l Forest, 4.5mi SE Norton, Bark Camp Branch; 920m","Wise","VA","M","VA.Wise","South",36.87043,-82.525983,2488,"GRG","JPA","T-456","ASY","7x5, NA",9.5,"partial",64.8,50.6,2.7,3.6,10.3,6.9,NA,NA,"blue",15,15.7,2,2,2,2,NA,"Not original label","",NA,NA
"606619","c",0.069358973,0.026542316,0.056379096,0.021699308,0.072891611,0.028006003,0.088403651,0.033703143,0.156638266,0.054370602,0.069358973,0.026542316,51.7537999624695,"Setophaga caerulescens",12,"Jun",88,"Jefferson Nat'l Forest, 4.5mi SE Norton, Bark Camp Branch; 920m","Wise","VA","M","VA.Wise","South",36.87043,-82.525983,2488,"GRG","JPA","T-456","ASY","7x5, NA",9.5,"partial",64.8,50.6,2.7,3.6,10.3,6.9,NA,NA,"blue",15,15.7,2,2,2,2,NA,"Not original label","",NA,NA
"606619","d",0.054570338,0.00990545066666667,0.0486924806666667,0.00902474166666667,0.0561779913333333,0.0112181453333333,0.071160445,0.0135975343333333,0.075334292,0.0117398273333333,0.054570338,0.00990545066666667,24.4583724275974,"Setophaga caerulescens",12,"Jun",88,"Jefferson Nat'l Forest, 4.5mi SE Norton, Bark Camp Branch; 920m","Wise","VA","M","VA.Wise","South",36.87043,-82.525983,2488,"GRG","JPA","T-456","ASY","7x5, NA",9.5,"partial",64.8,50.6,2.7,3.6,10.3,6.9,NA,NA,"blue",15,15.7,2,2,2,2,NA,"Not original label","",NA,NA
"606619","o",0.067981072,0.009141503,0.064648474,0.010365118,0.069535032,0.009936434,0.079497176,0.009356265,0.08470151,0.008523693,0.067981072,0.009141503,11.4002627134547,"Setophaga caerulescens",12,"Jun",88,"Jefferson Nat'l Forest, 4.5mi SE Norton, Bark Camp Branch; 920m","Wise","VA","M","VA.Wise","South",36.87043,-82.525983,2488,"GRG","JPA","T-456","ASY","7x5, NA",9.5,"partial",64.8,50.6,2.7,3.6,10.3,6.9,NA,NA,"blue",15,15.7,2,2,2,2,NA,"Not original label","",NA,NA
"606619","t",0.048182572,0.006331238,0.042621582,0.007169189,0.049600546,0.007581831,0.064764464,0.009168133,0.058629577,0.007112136,0.048182572,0.006331238,162.092700319009,"Setophaga caerulescens",12,"Jun",88,"Jefferson Nat'l Forest, 4.5mi SE Norton, Bark Camp Branch; 920m","Wise","VA","M","VA.Wise","South",36.87043,-82.525983,2488,"GRG","JPA","T-456","ASY","7x5, NA",9.5,"partial",64.8,50.6,2.7,3.6,10.3,6.9,NA,NA,"blue",15,15.7,2,2,2,2,NA,"Not original label","",NA,NA
"606619","w",0.432988674,0.103816856,0.444258971,0.10773269,0.437229719,0.105717191,0.369684328,0.084341005,0.427441932,0.118659301,0.432988674,0.103816856,45.3518483768062,"Setophaga caerulescens",12,"Jun",88,"Jefferson Nat'l Forest, 4.5mi SE Norton, Bark Camp Branch; 920m","Wise","VA","M","VA.Wise","South",36.87043,-82.525983,2488,"GRG","JPA","T-456","ASY","7x5, NA",9.5,"partial",64.8,50.6,2.7,3.6,10.3,6.9,NA,NA,"blue",15,15.7,2,2,2,2,NA,"Not original label","",NA,NA
"606621","b",0.393307178,0.0374595516666667,0.405243277666667,0.0416334866666667,0.398437565,0.040205231,0.333263795666667,0.030847981,0.385237259666667,0.0311373676666667,0.393307178,0.0374595516666667,24.6820541690123,"Setophaga caerulescens",12,"Jun",89,"Jefferson Nat'l Forest, 4.5mi SE Norton, Bark Camp Branch; 920m","Wise","VA","M","VA.Wise","South",36.87043,-82.525983,2490,"GRG","JPA","T-458-a,b","SY","7x5, NA",9.5,"partial",64,47.8,2.9,3.8,10.4,6.8,NA,NA,"green",14.8,15.4,2,2,2,2,NA,"Not original label","",NA,19.57
"606621","c",0.063940033,0.024473347,0.052550353,0.022146357,0.067694485,0.026251233,0.07992501,0.027831458,0.134176789,0.048529273,0.063940033,0.024473347,63.3064364796397,"Setophaga caerulescens",12,"Jun",89,"Jefferson Nat'l Forest, 4.5mi SE Norton, Bark Camp Branch; 920m","Wise","VA","M","VA.Wise","South",36.87043,-82.525983,2490,"GRG","JPA","T-458-a,b","SY","7x5, NA",9.5,"partial",64,47.8,2.9,3.8,10.4,6.8,NA,NA,"green",14.8,15.4,2,2,2,2,NA,"Not original label","",NA,19.57
"606621","d",0.0744835923333333,0.007648023,0.067264711,0.007168115,0.076447636,0.00905554,0.0911518756666667,0.0125891756666667,0.102947008,0.010531262,0.0744835923333333,0.007648023,24.7265903546632,"Setophaga caerulescens",12,"Jun",89,"Jefferson Nat'l Forest, 4.5mi SE Norton, Bark Camp Branch; 920m","Wise","VA","M","VA.Wise","South",36.87043,-82.525983,2490,"GRG","JPA","T-458-a,b","SY","7x5, NA",9.5,"partial",64,47.8,2.9,3.8,10.4,6.8,NA,NA,"green",14.8,15.4,2,2,2,2,NA,"Not original label","",NA,19.57
"606621","o",0.094527734,0.015807889,0.098045652,0.019957903,0.095918271,0.017038012,0.093916071,0.01471577,0.100058072,0.010132998,0.094527734,0.015807889,4.42334396697317,"Setophaga caerulescens",12,"Jun",89,"Jefferson Nat'l Forest, 4.5mi SE Norton, Bark Camp Branch; 920m","Wise","VA","M","VA.Wise","South",36.87043,-82.525983,2490,"GRG","JPA","T-458-a,b","SY","7x5, NA",9.5,"partial",64,47.8,2.9,3.8,10.4,6.8,NA,NA,"green",14.8,15.4,2,2,2,2,NA,"Not original label","",NA,19.57
