"USNM.no.","Year","lat","lon","Tmax08_molt","Tmin08_molt","Tave08_molt","PPT08_molt","RH08_molt","CMI08_molt","moltYear"
606619,88,36.87043,-82.525983,28.3,15.4,21.9,65,63,-6.93,87
606621,89,36.87043,-82.525983,28.3,15.8,22,84,64,-4.85,88
606622,88,36.87043,-82.525983,28.3,15.4,21.9,65,63,-6.93,87
606623,89,37.37291,-80.57508,26.7,15.1,20.9,85,66,-3.43,88
606627,88,37.37291,-80.57508,27.2,14.8,21,42,64,-8.4,87
606633,88,36.879225,-82.542415,28.1,15.2,21.6,68,62,-6.5,87
606634,88,36.879225,-82.542415,28.1,15.2,21.6,68,62,-6.5,87
606637,88,37.37291,-80.57508,27.2,14.8,21,42,64,-8.4,87
606639,88,36.879,-82.574,27.9,15,21.4,71,62,-6.1,87
606641,88,36.879,-82.574,27.9,15,21.4,71,62,-6.1,87
606642,88,36.87043,-82.525983,28.3,15.4,21.9,65,63,-6.93,87
606643,88,36.87043,-82.525983,28.3,15.4,21.9,65,63,-6.93,87
606647,88,37.37291,-80.57508,27.2,14.8,21,42,64,-8.4,87
606654,88,37.37291,-80.57508,27.2,14.8,21,42,64,-8.4,87
606655,88,36.87043,-82.525983,28.3,15.4,21.9,65,63,-6.93,87
606656,88,36.87043,-82.525983,28.3,15.4,21.9,65,63,-6.93,87
606657,88,36.87043,-82.525983,28.3,15.4,21.9,65,63,-6.93,87
606662,88,37.37291,-80.57508,27.2,14.8,21,42,64,-8.4,87
606663,88,37.37291,-80.57508,27.2,14.8,21,42,64,-8.4,87
606673,88,38.3614987,-80.5834224,29.2,14.1,21.6,106,57,-4.03,87
606674,88,38.3614987,-80.5834224,29.2,14.1,21.6,106,57,-4.03,87
606675,88,38.3614987,-80.5834224,29.2,14.1,21.6,106,57,-4.03,87
606681,88,38.63488,-79.88203,24.6,11,17.8,105,60,-0.99,87
606682,88,38.63488,-79.88203,24.6,11,17.8,105,60,-0.99,87
606683,88,38.63488,-79.88203,24.6,11,17.8,105,60,-0.99,87
606684,88,38.63488,-79.88203,24.6,11,17.8,105,60,-0.99,87
606690,88,38.63488,-79.88203,24.6,11,17.8,105,60,-0.99,87
606695,88,38.63488,-79.88203,24.6,11,17.8,105,60,-0.99,87
606696,88,38.63488,-79.88203,24.6,11,17.8,105,60,-0.99,87
606697,88,38.3614987,-80.5834224,29.2,14.1,21.6,106,57,-4.03,87
606698,88,38.3614987,-80.5834224,29.2,14.1,21.6,106,57,-4.03,87
606699,88,38.3614987,-80.5834224,29.2,14.1,21.6,106,57,-4.03,87
606700,88,38.3614987,-80.5834224,29.2,14.1,21.6,106,57,-4.03,87
608313,92,40.92719,-78.0898,26.1,13.1,19.6,67,62,-4.91,91
608314,92,40.86828,-78.05871,26.5,13.4,20,68,61,-5.09,91
608321,92,40.86828,-78.05871,26.5,13.4,20,68,61,-5.09,91
608323,92,40.83079,-78.14433,25.8,12.8,19.3,67,62,-4.8,91
608325,92,40.83079,-78.14433,25.8,12.8,19.3,67,62,-4.8,91
608326,92,40.83079,-78.14433,25.8,12.8,19.3,67,62,-4.8,91
608328,92,40.83201,-78.14412,25.8,12.8,19.3,67,62,-4.8,91
608329,92,40.83201,-78.14412,25.8,12.8,19.3,67,62,-4.8,91
608330,92,40.91309,-78.12391,26.5,13.4,20,66,61,-5.26,91
608331,92,40.91309,-78.12391,26.5,13.4,20,66,61,-5.26,91
608335,92,41.7220797,-77.7767117,26.5,12.7,19.6,79,60,-4.19,91
608336,92,41.72457,-77.75484,26.6,12.7,19.6,79,59,-4.24,91
608338,92,41.7220797,-77.7767117,26.5,12.7,19.6,79,60,-4.19,91
608340,92,41.7220797,-77.7767117,26.5,12.7,19.6,79,60,-4.19,91
608346,92,41.7220797,-77.7767117,26.5,12.7,19.6,79,60,-4.19,91
