Gene_Name,Gene_Symbol,Function,Source,DOI
Keratin 14,KRT14,Cytoskeletal,Gazel et al. 2003 J. Invest. Derm.,https://doi.org/10.1111/j.1523-1747.2003.12611.x
Galectin 7,LGALS7,Secreted,Gazel et al. 2003 J. Invest. Derm.,https://doi.org/10.1111/j.1523-1747.2003.12611.x
Keratin 5,KRT5,Cytoskeletal,Gazel et al. 2003 J. Invest. Derm.,https://doi.org/10.1111/j.1523-1747.2003.12611.x
Keratin 6 A,KRT6A,Cytoskeletal,Gazel et al. 2003 J. Invest. Derm.,https://doi.org/10.1111/j.1523-1747.2003.12611.x
"Small proline-rich protein 1B, cornifin",SPRR1B,Epidermal differentiation,Gazel et al. 2003 J. Invest. Derm.,https://doi.org/10.1111/j.1523-1747.2003.12611.x
"S100 Ca-binding protein A8, calgranulin A",S100A8,Epidermal differentiation,Gazel et al. 2003 J. Invest. Derm.,https://doi.org/10.1111/j.1523-1747.2003.12611.x
"Desmoplakin, DPI, DPII",DSP,"Adhesion, junction",Gazel et al. 2003 J. Invest. Derm.,https://doi.org/10.1111/j.1523-1747.2003.12611.x
"Serine protease inhibitor, clade B 5",SERPINB5,Protease inhibitor,Gazel et al. 2003 J. Invest. Derm.,https://doi.org/10.1111/j.1523-1747.2003.12611.x
HBGF-binding proteing,HBP17,Secreted,Gazel et al. 2003 J. Invest. Derm.,https://doi.org/10.1111/j.1523-1747.2003.12611.x
Desmocollin 1,DSC1,"Adhesion, junction",Gazel et al. 2003 J. Invest. Derm.,https://doi.org/10.1111/j.1523-1747.2003.12611.x
Keratin 16,KRT16,Cytoskeletal,Gazel et al. 2003 J. Invest. Derm.,https://doi.org/10.1111/j.1523-1747.2003.12611.x
"Collagen, type XVII-α1",COL17A1,ECM,Gazel et al. 2003 J. Invest. Derm.,https://doi.org/10.1111/j.1523-1747.2003.12611.x
Annexin A8,ANXA8,Regulator,Gazel et al. 2003 J. Invest. Derm.,https://doi.org/10.1111/j.1523-1747.2003.12611.x
Aquaporin 3,AQP3,Transporter,Gazel et al. 2003 J. Invest. Derm.,https://doi.org/10.1111/j.1523-1747.2003.12611.x
Filaggrin,FLG,Epidermal differentiation,Gazel et al. 2003 J. Invest. Derm.,https://doi.org/10.1111/j.1523-1747.2003.12611.x
Cystatin E/M,CST6,"Protease, peptidase",Gazel et al. 2003 J. Invest. Derm.,https://doi.org/10.1111/j.1523-1747.2003.12611.x
S100 Ca-binding protein A2,S100A2,Epidermal differentiation,Gazel et al. 2003 J. Invest. Derm.,https://doi.org/10.1111/j.1523-1747.2003.12611.x
Keratin 1,KRT1,Cytoskeletal,Gazel et al. 2003 J. Invest. Derm.,https://doi.org/10.1111/j.1523-1747.2003.12611.x
Tumor-associated Ca signal transducer 2,TACSTD2,Regulator,Gazel et al. 2003 J. Invest. Derm.,https://doi.org/10.1111/j.1523-1747.2003.12611.x
"Lymphocyte antigen 6 complex, locus D",E48,Cell surface,Gazel et al. 2003 J. Invest. Derm.,https://doi.org/10.1111/j.1523-1747.2003.12611.x
Gap junction connexin 43,GJA1,"Adhesion, junction",Gazel et al. 2003 J. Invest. Derm.,https://doi.org/10.1111/j.1523-1747.2003.12611.x
Keratin 2 A,KRT2A,Cytoskeletal,Gazel et al. 2003 J. Invest. Derm.,https://doi.org/10.1111/j.1523-1747.2003.12611.x
"S100 Ca-binding proteing A9, calgranulin B",S100A9,Epidermal differentiation,Gazel et al. 2003 J. Invest. Derm.,https://doi.org/10.1111/j.1523-1747.2003.12611.x
Ataxia–telangiectasia group D-associated,ATDC,"DNA replication, repair",Gazel et al. 2003 J. Invest. Derm.,https://doi.org/10.1111/j.1523-1747.2003.12611.x
