"Image Name","BW15004_R_f3"
"Created Date","	6/12/2023 2:16:01 PM"
"Specimen","BW15004_R_f3"
"Description","right side of feather 3"
"Observations",""
"Calibration","1 pixel = 3.927E-003 mm"


"Measurement #","Group","Tool","Comments","Class","Line Length (mm)","Width (mm)","Height (mm)","End Distance (mm)","Count"
"1","","Count","","barb length","-","-","-","-","10"
"2","","Segment","b2","black segment","2.683815862096","2.611697794271","0.612420611111","2.682540656451","-"
"3","","Segment","b2","clear segment","0.330682537867","0.318116573438","0.090292782407","0.330682537867","-"
"4","","Segment","b6","clear segment","0.855969304852","0.805109846354","0.290507212963","0.855918398844","-"
"5","","Segment","b6","clear segment","0.291909014759","0.274915557292","0.098144328704","0.291909014759","-"
"6","","Segment","b6","clear segment","0.276944902646","0.263133461979","0.086367009259","0.276944902646","-"
"7","","Segment","b6","black segment","0.548943701262","0.522339558854","0.168808245370","0.548939740271","-"
"8","","Segment","b6","black segment","3.707530967348","3.471790752083","1.299430912037","3.707000367063","-"
"9","","Segment","b10","black segment","0.110867362263","0.102111492708","0.043183504630","0.110867362263","-"
"10","","Segment","b10","black segment","0.170363801756","0.153167239063","0.074589689815","0.170363801756","-"
"11","","Segment","b10","black segment","0.137168034047","0.125675683333","0.054960824074","0.137168034047","-"
"12","","Segment","b10","black segment","0.056634201567","0.047128381250","0.031406185185","0.056634201567","-"
"13","","Segment","b10","black segment","0.446586226063","0.408445970833","0.180585564815","0.446586226063","-"
"14","","Segment","b10","black segment","0.077354949332","0.070692571875","0.031406185185","0.077354949332","-"
"15","","Segment","b10","black segment","1.105319223027","1.017187561979","0.431835046296","1.105057484231","-"
"16","","Segment","b10","clear segment","2.370426133012","2.101140330729","1.095290708333","2.369483577740","-"
"17","","Segment","b10","clear segment","1.175956054353","1.072170673438","0.482870097222","1.175888380660","-"
"18","","Segment","b10","clear segment","0.040050798311","0.039273651042","0.007851546296","0.040050798311","-"
"19","","Segment","b10","clear segment","0.223293113032","0.204222985417","0.090292782407","0.223293113032","-"
"20","","Segment","b10","clear segment","0.589737914838","0.541976384375","0.231620615741","0.589395038032","-"
"21","","Segment","b10","clear segment","0.200242004644","0.180658794792","0.086367009259","0.200242004644","-"
"22","","Segment","b10","clear segment","0.279514697700","0.255278731771","0.113847421296","0.279514697700","-"
