"Image Name","BW15004_f1_2"
"Created Date","	6/8/2023 5:19:36 PM"
"Specimen","BW15004_f1"
"Description","feather 1 of BW15004"
"Observations",""
"Calibration","1 pixel = 3.927E-003 mm"


"Measurement #","Group","Tool","Comments","Class","Line Length (mm)","Width (mm)","Height (mm)","End Distance (mm)"
"1","","Segment","b1","clear segment","0.072415653248","0.070692571875","0.015703092593","0.072415653248"
"2","","Segment","b2","black segment","2.000183992848","1.951900456771","0.416131953704","1.995765816932"
"3","","Segment","b2","black segment","3.095500946132","3.031925860417","0.518202055556","3.073929152796"
"4","","Segment","b2","clear segment","0.041001523379","0.039273651042","0.011777319444","0.041001523379"
"5","","Segment","b3","clear segment","0.078249319537","0.074619936979","0.023554638889","0.078249319537"
"6","","Segment","b3","clear segment","0.093349992218","0.090329397396","0.023554638889","0.093349992218"
"7","","Segment","b3","clear segment","0.032385110245","0.031418920833","0.007851546296","0.032385110245"
"8","","Segment","b3","black segment","0.079519230633","0.074619936979","0.027480412037","0.079519230633"
"9","","Segment","b3","black segment","0.570510591086","0.545903749479","0.164882472222","0.570260583717"
"10","","Segment","b3","black segment","2.909922744514","2.882685986458","0.251249481481","2.886959855665"
"11","","Segment","b4","black segment","3.125617405495","3.086908971875","0.372948449074","3.106180156600"
"12","","Segment","b4","black segment","0.336650977643","0.333826033854","0.043183504630","0.336607539950"
"13","","Segment","b4","black segment","0.094989696969","0.094256762500","0.011777319444","0.094989696969"
"14","","Segment","b4","clear segment","0.208738695130","0.204222985417","0.043183504630","0.208738695130"
"15","","Segment","b4","clear segment","0.224131871456","0.219932445833","0.043183504630","0.224131871456"
"16","","Segment","b4","clear segment","0.276703653949","0.274915557292","0.031406185185","0.276703653949"
"17","","Segment","b5","clear segment","1.157074987858","1.127153784896","0.255175254630","1.155677318883"
"18","","Segment","b5","black segment","3.659164583715","3.589611705208","0.526053601852","3.619379039658"
"19","","Segment","b6","black segment","0.422033183914","0.384881780208","0.172734018519","0.421866123184"
"20","","Segment","b6","black segment","0.121805436924","0.113893588021","0.043183504630","0.121805436924"
"21","","Segment","b6","black segment","0.200135425068","0.192440890104","0.054960824074","0.200135425068"
"22","","Segment","b6","black segment","2.710025509037","2.686317731250","0.263026800926","2.695621551640"
"23","","Segment","b6","black segment","0.125920705845","0.125675683333","0.007851546296","0.125920705845"
"24","","Segment","b6","clear segment","0.242160655468","0.239569271354","0.035331958333","0.242160655468"
"25","","Segment","b6","clear segment","0.047291606169","0.047128381250","0.003925773148","0.047291606169"
"26","","Segment","b6","clear segment","0.327868169972","0.310261843229","0.105995875000","0.327868169972"
