"Image Name","BW15004_f2_2_Overlay"
"Created Date","	6/9/2023 11:25:29 AM"
"Specimen","B15004_f2"
"Description","feather 2"
"Observations",""
"Calibration","1 pixel = 3.93E-003 mm"


"Measurement #","Group","Tool","Comments","Class","Line Length (mm)","Width (mm)","Height (mm)","End Distance (mm)"
"1","","Segment","b1","black segment","1.962012331167","1.944045726563","0.247323708333","1.959714980213"
"2","","Segment","b1","clear segment","0.111704353330","0.109966222917","0.019628865741","0.111704353330"
"3","","Segment","b2","black segment","2.059841427947","2.050084584375","0.133476287037","2.053243297427"
"4","","Segment","b2","black segment","3.376538802439","3.361824529167","0.219843296296","3.369005081598"
"5","","Segment","b3","clear segment","0.080101596623","0.078547302083","0.015703092593","0.080101596623"
"6","","Segment","b4","clear segment","0.059431397662","0.058910476563","0.007851546296","0.059431397662"
"7","","Segment","b4","clear segment","0.031418920833","0.031418920833","0.000000000000","0.031418920833"
"8","","Segment","b4","clear segment","0.082474667188","0.082474667188","0.000000000000","0.082474667188"
"9","","Segment","b4","clear segment","0.031418920833","0.031418920833","0.000000000000","0.031418920833"
"10","","Segment","b4","black segment","0.798311563322","0.777618290625","0.180585564815","0.798311563322"
"11","","Segment","b4","black segment","2.509250469267","2.497804206250","0.192362884259","2.504902073456"
"12","","Segment","b4","black segment","0.035563627829","0.035346285937","0.003925773148","0.035563627829"
"13","","Segment","b4","black segment","0.400775632939","0.400591240625","0.011777319444","0.400764328900"
"14","","Segment","b5","black segment","0.502764059903","0.502702733333","0.003925773148","0.502702733333"
"15","","Segment","b5","black segment","0.192440890104","0.192440890104","0.000000000000","0.192440890104"
"16","","Segment","b5","black segment","3.590297964430","3.511064403125","0.651678342593","3.571030370229"
"17","","Segment","b5","clear segment","0.078547302083","0.078547302083","0.000000000000","0.078547302083"
"18","","Segment","b5","clear segment","0.200334088989","0.200295620313","0.003925773148","0.200334088989"
"19","","Segment","b5","clear segment","0.047291606169","0.047128381250","0.003925773148","0.047291606169"
"20","","Segment","b6","clear segment","0.452073327257","0.451646986979","0.019628865741","0.452073327257"
"21","","Segment","b6","clear segment","0.322259218029","0.322043938542","0.011777319444","0.322259218029"
"22","","Segment","b6","black segment","0.039469372442","0.039273651042","0.003925773148","0.039469372442"
"23","","Segment","b6","black segment","4.104762835861","3.966638755208","0.910779370370","4.069857746385"
"24","","Segment","b7","black segment","4.480667793761","4.253336407813","1.252321634259","4.433867394686"
"25","","Segment","b7","black segment","0.031418920833","0.031418920833","0.000000000000","0.031418920833"
"26","","Segment","b7","black segment","0.037256746810","0.035346285938","0.011777319444","0.037256746810"
"27","","Segment","b7","clear segment","0.153217540826","0.153167239063","0.003925773148","0.153217540826"
"28","","Segment","b7","clear segment","0.267781212434","0.267060827083","0.019628865741","0.267781212434"
"29","","Segment","b7","clear segment","0.149446267127","0.149239873958","0.007851546296","0.149446267127"
"30","","Segment","b8","clear segment","0.626965202541","0.624451051563","0.054960824074","0.626865063615"
"31","","Segment","b8","clear segment","0.035346285937","0.035346285937","0.000000000000","0.035346285937"
"32","","Segment","b8","clear segment","0.035346285937","0.035346285937","0.000000000000","0.035346285937"
"33","","Segment","b8","black segment","0.051206453994","0.051055746354","0.003925773148","0.051206453994"
"34","","Segment","b8","black segment","0.032385110245","0.031418920833","0.007851546296","0.032385110245"
"35","","Segment","b8","black segment","4.284241175132","4.115878629167","1.048181430556","4.247251016998"
"36","","Segment","b8","clear segment","0.079513570585","0.066765206771","0.043183504630","0.079513570585"
"37","","Segment","b8","black segment","0.631820226967","0.518412193750","0.361171129630","0.631819426345"
"38","","Segment","b9","black segment","0.409299509123","0.310261843229","0.266952574074","0.409299509123"
"39","","Segment","b9","black segment","0.098169801859","0.078547302083","0.058886597222","0.098169801859"
"40","","Segment","b9","black segment","0.103669979257","0.082474667188","0.062812370370","0.103669979257"
"41","","Segment","b9","black segment","0.067559692323","0.054983111458","0.039257731481","0.067559692323"
"42","","Segment","b9","black segment","4.176836517027","3.880236722917","1.495719569444","4.158535085374"
"43","","Segment","b9","clear segment","0.452884481656","0.443792256771","0.090292782407","0.452884481656"
"44","","Segment","b9","clear segment","0.051200594154","0.043201016146","0.027480412037","0.051200594154"
"45","","Segment","b9","clear segment","0.029908040553","0.027491555729","0.011777319444","0.029908040553"
"46","","Segment","b9","clear segment","0.053410450887","0.043201016146","0.031406185185","0.053410450887"
"47","","Segment","b9","clear segment","0.257615487635","0.204222985417","0.157030925926","0.257615487635"
"48","","Segment","b10","clear segment","0.163838372584","0.117820953125","0.113847421296","0.163838372584"
"49","","Segment","b10","clear segment","0.197625594567","0.149239873958","0.129550513889","0.197625594567"
"50","","Segment","b10","clear segment","0.086477077992","0.066765206771","0.054960824074","0.086477077992"
"51","","Segment","b10","clear segment","0.064403871909","0.051055746354","0.039257731481","0.064403871909"
"52","","Segment","b10","clear segment","0.778544629583","0.769763560417","0.113847421296","0.778136989406"
"53","","Segment","b10","black segment","4.169966503262","3.880236722917","1.460387611111","4.145958152292"
