"Image Name","BW15005_t_f3"
"Created Date","	6/12/2023 1:52:53 PM"
"Specimen","BW15005_R_f3"
"Description","right side of feather 3, dorsal surface"
"Observations",""
"Calibration","1 pixel = 3.927E-003 mm"


"Measurement #","Group","Tool","Comments","Class","Line Length (mm)","Width (mm)","Height (mm)","End Distance (mm)","Count"
"1","","Count","","barb length","-","-","-","-","10"
"2","","Segment","b2","clear segment","0.534663697073","0.534121654167","0.023554638889","0.534640778900","-"
"3","","Segment","b6","clear segment","0.113961226244","0.113893588021","0.003925773148","0.113961226244","-"
"4","","Segment","b6","clear segment","0.141439635774","0.141385143750","0.003925773148","0.141439635774","-"
"5","","Segment","b6","clear segment","0.691227406487","0.691216258333","0.003925773148","0.691227406487","-"
"6","","Segment","b6","clear segment","0.082568047225","0.082474667188","0.003925773148","0.082568047225","-"
"7","","Segment","b6","clear segment","0.066765206771","0.066765206771","0.000000000000","0.066765206771","-"
"8","","Segment","b6","clear segment","0.300127486886","0.298479747917","0.031406185185","0.300127486886","-"
"9","","Segment","b6","clear segment","2.010836091649","1.924408901042","0.561385560185","2.004620504134","-"
"10","","Segment","b6","black segment","0.051206453994","0.051055746354","0.003925773148","0.051206453994","-"
"11","","Segment","b6","black segment","0.067796003484","0.066765206771","0.011777319444","0.067796003484","-"
"12","","Segment","b6","black segment","0.157143648784","0.157094604167","0.003925773148","0.157143648784","-"
"13","","Segment","b6","black segment","0.118862795324","0.117820953125","0.015703092593","0.118862795324","-"
"14","","Segment","b6","black segment","0.055540879763","0.054983111458","0.007851546296","0.055540879763","-"
"15","","Segment","b6","black segment","0.051655938817","0.051055746354","0.007851546296","0.051655938817","-"
"16","","Segment","b10","black segment","0.154419867544","0.153167239063","0.019628865741","0.154419867544","-"
"17","","Segment","b10","black segment","0.036207826624","0.035346285937","0.007851546296","0.036207826624","-"
"18","","Segment","b10","black segment","0.085772325029","0.082474667188","0.023554638889","0.085772325029","-"
"19","","Segment","b10","clear segment","2.750863368890","2.379983253125","1.338688643519","2.730642336418","-"
"20","","Segment","b10","clear segment","0.665177189030","0.648015242188","0.149179379630","0.664964842239","-"
"21","","Segment","b10","clear segment","0.537874011621","0.534121654167","0.062812370370","0.537802319929","-"
"22","","Segment","b10","clear segment","0.133530413542","0.133530413542","0.000000000000","0.133530413542","-"
