"Image Name","BW15110_f1"
"Created Date","	6/6/2023 1:50:21 PM"
"Specimen","BW15110"
"Description",""
"Observations",""
"Calibration","1 pixel = 3.93E-003 mm"


"Measurement #","Group","Tool","Comments","Class","Line Length (mm)","Width (mm)","Height (mm)","End Distance (mm)"
"1","","Segment","b1","clear segment","1.137920765112","1.135008515104","0.039257731481","1.135442943448"
"2","","Segment","b1","barb length","1.143706715465","1.138935880208","0.035331958333","1.139368811094"
"3","","Segment","b2","clear segment","1.604480829137","1.594510232292","0.153105152778","1.601843958908"
"6","","Segment","b3","barb length","1.601249132911","1.590582867188","0.160956699074","1.598706013114"
"7","","Segment","b3","clear segment","2.355515337168","2.336782236979","0.263026800926","2.351538713495"
"8","","Segment","b3","barb length","2.363121462586","2.344636967188","0.263026800926","2.359344316946"
"9","","Segment","b4","barb length","3.075451602642","3.039780590625","0.435760819444","3.070855504726"
"10","","Segment","b4","clear segment","3.076381871711","3.039780590625","0.439686592593","3.071415038520"
"11","","Segment","b5","clear segment","3.543645602812","3.460008656771","0.722342259259","3.534605811748"
"12","","Segment","b5","barb length","3.536554645148","3.452153926563","0.726268032407","3.527723343401"
"14","","Segment","b6","clear segment","4.135474806059","4.033403961979","0.887224731481","4.129832350673"
"16","","Segment","b6","barb length","4.137945781323","4.033403961979","0.895076277778","4.131526239001"
"17","","Segment","b7","black segment","0.309350976134","0.290625017708","0.105995875000","0.309350976134"
"18","","Segment","b7","clear segment","4.207147522089","4.064822882813","1.063884523148","4.201741942008"
"19","","Segment","b7","barb length","4.519810876983","4.355447900521","1.177731944444","4.511870892115"
"20","","Segment","b8","black segment","0.152508650401","0.149239873958","0.031406185185","0.152508650401"
"21","","Segment","b8","clear segment","3.776677954871","3.581756975000","1.169880398148","3.767970697064"
"22","","Segment","b8","clear segment","0.891188237757","0.871875053125","0.184511337963","0.891184909039"
"23","","Segment","b9","clear segment","5.445622155601","5.180194572396","1.586012351852","5.417550275549"
