Image Name,BW15110_f2,,,,,,,
Created Date,"	6/6/2023 4:52:02 PM",,,,,,,
Specimen,BW15110,,,,,,,
Description,,,,,,,,
Observations,,,,,,,,
Calibration,1 pixel = 3.93E-003 mm,,,,,,,
,,,,,,,,
,,,,,,,,
Measurement #,Group,Tool,Comments,Class,Line Length (mm),Width (mm),Height (mm),End Distance (mm)
2,,Segment,b1,clear segment,1.995274674,1.932263631,0.494647417,1.994572337
3,,Segment,b2,clear segment,2.433246625,2.309290681,0.765525764,2.432869324
5,,Segment,b3,clear segment,0.934523359,0.844383497,0.400428861,0.934519536
6,,Segment,b3,black segment,0.028590775,0.027491556,0.007851546,0.028590775
7,,Segment,b3,black segment,0.135642743,0.125675683,0.051035051,0.135642743
9,,Segment,b3,clear segment,0.119632162,0.109966223,0.047109278,0.119632162
10,,Segment,b3,clear segment,0.042296652,0.039273651,0.015703093,0.042296652
11,,Segment,b3,black segment,0.017562287,0.01570946,0.007851546,0.017562287
12,,Segment,b3,clear segment,1.700751636,1.570946042,0.651678343,1.700751636
13,,Segment,b4,clear segment,3.345527729,3.079054242,1.303356685,3.343548066
14,,Segment,b5,clear segment,1.494703524,1.339231501,0.663455662,1.494561617
15,,Segment,b5,black segment,0.079030292,0.070692572,0.035331958,0.079030292
16,,Segment,b5,clear segment,0.448620608,0.412373336,0.176659792,0.448620608
17,,Segment,b5,black segment,0.065004748,0.058910477,0.027480412,0.065004748
18,,Segment,b5,clear segment,0.790599161,0.73834464,0.282655667,0.790599161
19,,Segment,b6,clear segment,2.117397894,1.861571059,1.008923699,2.117397894
20,,Segment,b6,black segment,0.057981568,0.051055746,0.027480412,0.057981568
21,,Segment,b6,clear segment,0.349508292,0.314189208,0.153105153,0.349508292
22,,Segment,b6,black segment,0.114154866,0.102111493,0.051035051,0.114154866
23,,Segment,b6,clear segment,0.90803477,0.816891942,0.396503088,0.90803477
24,,Segment,b7,clear segment,3.680063822,3.145819448,1.90792575,3.679179347
25,,Segment,b8,clear segment,4.300659424,3.40109818,2.630268009,4.299509115
26,,Segment,b9,clear segment,4.75759586,3.518919133,3.199505116,4.756009341
27,,Segment,b10,clear segment,5.087005576,3.628885356,3.556750472,5.081267839
