"Image Name","BW15113_f1"
"Created Date","	6/7/2023 1:37:14 PM"
"Specimen","BW15113_L_f1"
"Description","left side feather 1"
"Observations",""
"Calibration","1 pixel = 3.927E-003 mm"


"Measurement #","Group","Tool","Comments","Class","Line Length (mm)","Width (mm)","Height (mm)","End Distance (mm)","Count"
"1","","Count","","","-","-","-","-","10"
"2","","Segment","b2","clear segment","0.260274127931","0.259206096875","0.023554638889","0.260274127931","-"
"3","","Segment","b2","clear segment","0.413063521874","0.412373335938","0.023554638889","0.413045505006","-"
"4","","Segment","b2","clear segment","0.306962709231","0.306334478125","0.019628865741","0.306962709231","-"
"5","","Segment","b2","black segment","0.499134992068","0.494848003125","0.062812370370","0.498818544231","-"
"6","","Segment","b2","black segment","1.410429142261","1.409924072396","0.015703092593","1.409924072396","-"
"7","","Segment","b2","black segment","0.098184127604","0.098184127604","0.000000000000","0.098184127604","-"
"8","","Segment","b6","clear segment","0.550335420973","0.549831114583","0.023554638889","0.550335420973","-"
"9","","Segment","b6","clear segment","0.388828963908","0.388809145313","0.003925773148","0.388828963908","-"
"10","","Segment","b6","clear segment","0.047128381250","0.047128381250","0.000000000000","0.047128381250","-"
"11","","Segment","b6","clear segment","0.094256762500","0.094256762500","0.000000000000","0.094256762500","-"
"12","","Segment","b6","clear segment","0.205164129766","0.204222985417","0.019628865741","0.205164129766","-"
"13","","Segment","b6","clear segment","0.323520919923","0.318116573438","0.058886597222","0.323520919923","-"
"14","","Segment","b6","clear segment","1.048542548320","0.970059180729","0.396503087963","1.047964461650","-"
"15","","Segment","b6","black segment","0.051206453994","0.051055746354","0.003925773148","0.051206453994","-"
"16","","Segment","b6","black segment","0.090414665451","0.090329397396","0.003925773148","0.090414665451","-"
"17","","Segment","b6","black segment","0.637701050702","0.636233146875","0.039257731481","0.637443163477","-"
"18","","Segment","b6","black segment","0.008781143516","0.007854730208","0.003925773148","0.008781143516","-"
"19","","Segment","b6","black segment","0.695143072646","0.687288893229","0.102070101852","0.694826833426","-"
"20","","Segment","b6","black segment","0.464021615903","0.447719621875","0.121698967593","0.463964975537","-"
"21","","Segment","b10","black segment","0.062837841667","0.062837841667","0.000000000000","0.062837841667","-"
"22","","Segment","b10","black segment","0.476552012946","0.471283812500","0.070663916667","0.476552012946","-"
"23","","Segment","b10","black segment","0.031663232323","0.031418920833","0.003925773148","0.031663232323","-"
"24","","Segment","b10","black segment","0.043908707283","0.043201016146","0.007851546296","0.043908707283","-"
"25","","Segment","b10","black segment","0.294330616113","0.278842922396","0.094218555556","0.294330616113","-"
"26","","Segment","b10","black segment","0.123246230116","0.106038857813","0.062812370370","0.123246230116","-"
"27","","Segment","b10","clear segment","1.068519641007","1.068243308333","0.011777319444","1.068243308333","-"
"28","","Segment","b10","clear segment","0.729028370535","0.726562544271","0.054960824074","0.728638334786","-"
"29","","Segment","b10","clear segment","0.124189156034","0.117820953125","0.039257731481","0.124189156034","-"
"30","","Segment","b10","clear segment","0.374409815308","0.361317589583","0.098144328704","0.374409815308","-"
"31","","Segment","b10","clear segment","0.233527211807","0.219932445833","0.078515462963","0.233527211807","-"
"32","","Segment","b10","clear segment","0.794224289818","0.718707814063","0.337616490741","0.794056557693","-"
"33","","Segment","b10","clear segment","1.433454230411","1.103589594271","0.906853597222","1.428388406344","-"
