"Image Name","BW15113_L_f2"
"Created Date","	6/12/2023 2:24:31 PM"
"Specimen","BW15113_L_f3"
"Description","left side of feather 3"
"Observations",""
"Calibration","1 pixel = 3.927E-003 mm"


"Measurement #","Group","Tool","Comments","Class","Line Length (mm)","Width (mm)","Height (mm)","End Distance (mm)","Count"
"1","","Count","","barb length","-","-","-","-","10"
"2","","Segment","b2","black segment","0.296221968612","0.294552382813","0.031406185185","0.296221968612","-"
"3","","Segment","b2","black segment","1.085951393452","1.080025403646","0.109921648148","1.085604735275","-"
"4","","Segment","b2","black segment","0.282770287500","0.282770287500","0.000000000000","0.282770287500","-"
"5","","Segment","b2","clear segment","0.095555870536","0.094256762500","0.015703092593","0.095555870536","-"
"6","","Segment","b2","clear segment","0.086491172260","0.086402032292","0.003925773148","0.086491172260","-"
"7","","Segment","b2","clear segment","0.188513525000","0.188513525000","0.000000000000","0.188513525000","-"
"8","","Segment","b6","clear segment","1.012439056880","0.922930799479","0.416131953704","1.012406570267","-"
"9","","Segment","b6","clear segment","0.045966454214","0.043201016146","0.015703092593","0.045966454214","-"
"10","","Segment","b6","clear segment","0.331775964329","0.318116573438","0.094218555556","0.331775964329","-"
"11","","Segment","b6","clear segment","0.178294192986","0.176731429688","0.023554638889","0.178294192986","-"
"12","","Segment","b6","clear segment","0.116303785001","0.113893588021","0.023554638889","0.116303785001","-"
"13","","Segment","b6","clear segment","0.267317232639","0.263133461979","0.047109277778","0.267317232639","-"
"14","","Segment","b6","clear segment","0.102788434157","0.102111492708","0.011777319444","0.102788434157","-"
"15","","Segment","b6","black segment","0.429377893153","0.424155431250","0.066738143519","0.429373741232","-"
"16","","Segment","b6","black segment","0.056230310322","0.054983111458","0.011777319444","0.056230310322","-"
"17","","Segment","b6","black segment","0.108623479871","0.106038857813","0.023554638889","0.108623479871","-"
"18","","Segment","b6","black segment","0.899082226645","0.871875053125","0.215917523148","0.898212939711","-"
"19","","Segment","b6","black segment","0.146626114090","0.137457778646","0.051035050926","0.146626114090","-"
"20","","Segment","b6","black segment","0.424439660719","0.392736510417","0.160956699074","0.424439660719","-"
"21","","Segment","b10","clear segment","5.822547692165","5.372635462500","2.194507189815","5.803539749072","-"
