"Image Name","BW15113_R_f1"
"Created Date","	6/12/2023 2:22:13 PM"
"Specimen","BW15113_R_f1"
"Description","right side feather 1"
"Observations",""
"Calibration","1 pixel = 3.927E-003 mm"


"Measurement #","Group","Tool","Comments","Class","Line Length (mm)","Width (mm)","Height (mm)","End Distance (mm)","Count"
"1","","Count","","clear segment","-","-","-","-","10"
"2","","Segment","b2","clear segment","0.084593304300","0.078547302083","0.031406185185","0.084593304300","-"
"3","","Segment","b2","clear segment","0.364813348868","0.353462859375","0.090292782407","0.364813348868","-"
"4","","Segment","b2","clear segment","0.116303785001","0.113893588021","0.023554638889","0.116303785001","-"
"5","","Segment","b2","clear segment","0.247165389583","0.235641906250","0.074589689815","0.247165389583","-"
"6","","Segment","b2","black segment","0.039469372442","0.039273651042","0.003925773148","0.039469372442","-"
"7","","Segment","b2","black segment","0.547709147539","0.530194289063","0.137402060185","0.547709147539","-"
"8","","Segment","b2","black segment","0.750440736366","0.718707814063","0.215917523148","0.750440736366","-"
"9","","Segment","b2","black segment","0.335310721291","0.318116573438","0.105995875000","0.335310721291","-"
"10","","Segment","b6","clear segment","1.171965836939","1.119299054688","0.341542263889","1.170248474405","-"
"11","","Segment","b6","clear segment","0.084593304300","0.078547302083","0.031406185185","0.084593304300","-"
"12","","Segment","b6","clear segment","0.847512727757","0.785473020833","0.317987625000","0.847398369193","-"
"13","","Segment","b6","clear segment","2.134396150365","1.908699440625","0.953962875000","2.133817874496","-"
"14","","Segment","b6","black segment","0.191827057701","0.176731429688","0.074589689815","0.191827057701","-"
"15","","Segment","b6","black segment","0.132012232064","0.121748318229","0.051035050926","0.132012232064","-"
"16","","Segment","b6","black segment","0.065832261966","0.062837841667","0.019628865741","0.065832261966","-"
"17","","Segment","b10","clear segment","5.840978047692","5.388344922917","2.225913375000","5.830004404915","-"
