"Image Name","BW15113_f2"
"Created Date","	6/7/2023 1:39:58 PM"
"Specimen","BW15113_R_f2"
"Description","right side of feather 2"
"Observations",""
"Calibration","1 pixel = 3.927E-003 mm"


"Measurement #","Group","Tool","Comments","Class","Line Length (mm)","Width (mm)","Height (mm)","End Distance (mm)","Count"
"1","","Count","b2","barb length","-","-","-","-","10"
"2","","Segment","b2","black segment","1.963622572041","1.951900456771","0.196288657407","1.961745302064","-"
"3","","Segment","b2","black segment","0.283450750331","0.282770287500","0.019628865741","0.283450750331","-"
"4","","Segment","b2","clear segment","0.043379021322","0.043201016146","0.003925773148","0.043379021322","-"
"5","","Segment","b6","clear segment","1.135575676935","0.997550736458","0.541756694444","1.135168616455","-"
"6","","Segment","b6","clear segment","0.079519230633","0.074619936979","0.027480412037","0.079519230633","-"
"7","","Segment","b6","black segment","0.101875826802","0.090329397396","0.047109277778","0.101875826802","-"
"8","","Segment","b6","black segment","2.827230616096","2.694172461458","0.851892773148","2.825647987457","-"
"9","","Segment","b10","black segment","0.163836121542","0.113893588021","0.117773194444","0.163836121542","-"
"10","","Segment","b10","black segment","0.359997662095","0.278842922396","0.227694842593","0.359997662095","-"
"11","","Segment","b10","black segment","0.227789309728","0.184586159896","0.133476287037","0.227789309728","-"
"12","","Segment","b10","black segment","0.794475872650","0.655869972396","0.447538138889","0.794012472478","-"
"13","","Segment","b10","clear segment","2.241295562999","1.492398739583","1.668453587963","2.238524374023","-"
"14","","Segment","b10","clear segment","0.667513397071","0.498775368229","0.443612365741","0.667509399927","-"
"15","","Segment","b10","clear segment","0.084951302350","0.070692571875","0.047109277778","0.084951302350","-"
"16","","Segment","b10","clear segment","0.164970469649","0.129603048438","0.102070101852","0.164970469649","-"
"17","","Segment","b10","clear segment","0.938643163524","0.832601402083","0.431835046296","0.937926757248","-"
