"Image Name","BW15114_f2"
"Created Date","	6/7/2023 11:35:46 AM"
"Specimen","BW15110"
"Description",""
"Observations",""
"Calibration","1 pixel = 3.93E-003 mm"


"Measurement #","Group","Tool","Comments","Class","Line Length (mm)","Width (mm)","Height (mm)","End Distance (mm)"
"1","","Segment","b1","clear segment","1.638877164572","1.618074422917","0.243397935185","1.635129028369"
"2","","Segment","b2","clear segment","1.296254196848","1.264611563542","0.282655666667","1.295815045654"
"3","","Segment","b2","black segment","0.115572668752","0.113893588021","0.019628865741","0.115572668752"
"4","","Segment","b2","clear segment","1.055499253166","1.044679117708","0.141327833333","1.054195435131"
"5","","Segment","b3","black segment","0.062094578017","0.058910476563","0.019628865741","0.062094578017"
"6","","Segment","b3","black segment","0.113072582208","0.106038857813","0.039257731481","0.113072582208"
"7","","Segment","b3","black segment","0.134332786184","0.129603048438","0.035331958333","0.134332786184"
"8","","Segment","b3","black segment","0.171097962211","0.168876699479","0.027480412037","0.171097962211"
"9","","Segment","b3","clear segment","0.152758008897","0.145312508854","0.047109277778","0.152758008897"
"10","","Segment","b3","clear segment","0.387503196155","0.369172319792","0.117773194444","0.387503196155"
"11","","Segment","b3","clear segment","0.497215442862","0.483065907813","0.117773194444","0.497215442862"
"12","","Segment","b3","clear segment","0.396657571972","0.388809145313","0.078515462963","0.396657571972"
"13","","Segment","b3","clear segment","1.065872342775","1.056461213021","0.141327833333","1.065872342775"
"14","","Segment","b4","black segment","0.172839429701","0.161021969271","0.062812370370","0.172839429701"
"15","","Segment","b4","black segment","0.137174049326","0.133530413542","0.031406185185","0.137174049326"
"16","","Segment","b4","black segment","0.164056158238","0.161021969271","0.031406185185","0.164056158238"
"17","","Segment","b4","clear segment","2.015735185131","1.932263631250","0.569237106481","2.014366804742"
"18","","Segment","b4","clear segment","0.031663232323","0.031418920833","0.003925773148","0.031663232323"
"19","","Segment","b4","clear segment","0.971700587327","0.958277085417","0.160956699074","0.971700587327"
"20","","Segment","b5","clear segment","0.661108103737","0.604814226042","0.266952574074","0.661108103737"
"21","","Segment","b5","clear segment","1.316051849580","1.260684198438","0.372948449074","1.314692052861"
"22","","Segment","b5","clear segment","0.289662612990","0.282770287500","0.062812370370","0.289662612990"
"23","","Segment","b5","clear segment","1.296418368708","1.260684198438","0.302284532407","1.296418368708"
"24","","Segment","b5","black segment","0.274336068093","0.251351366667","0.109921648148","0.274336068093"
