 ,Label,lumMean,lumSD,area,maxPower,maxFreq,propPower,sumPower,meanPower,powerSD,lwMean,lwSD,mwMean,mwSD,swMean,swSD,uvMean,uvSD,dblMean,dblSD
1,612897_crown_c1,0.074399320,0.027422544,103514,0.003379428,11.313708484,0.084887155,0.039810832,0.002341814,0.001099907,0.060363310,0.022795862,0.078054415,0.028271812,0.094049568,0.035185818,0.151443745,0.051590141,0.074399320,0.027422544
2,612898_crown_c1,0.057063329,0.023279897,73526,0.002856012,15.999999975,0.077545766,0.036830020,0.002166472,0.000733376,0.046302521,0.020848176,0.060660890,0.024775637,0.072392625,0.025571716,0.105479465,0.044681852,0.057063329,0.023279897
3,612911_crown_c1,0.068495532,0.021897332,81193,0.002791754,2.000000000,0.092091191,0.030315104,0.001783241,0.000876562,0.057583308,0.021658386,0.071590245,0.022653315,0.085551269,0.022644178,0.124824659,0.043464955,0.068495532,0.021897332
4,612911_dorsal_Scale Bar:373.4608:10,0.202447405,0.032783781,371,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
5,612911_side_o1,0.091203828,0.063791427,10177,0.010877775,31.999999932,0.088660240,0.122690567,0.007217092,0.003021545,0.091111616,0.068777370,0.092286503,0.064542181,0.097318692,0.049787261,0.098113050,0.036525207,0.091203828,0.063791427
6,612911_side_w1,0.419589828,0.128781820,48111,0.023701846,63.999999831,0.119217194,0.198812312,0.011694842,0.007279796,0.435810976,0.138481367,0.424095412,0.131719052,0.351654589,0.094715005,0.386866886,0.079778083,0.419589828,0.128781820
7,612911_ventral_t1,0.052049725,0.008224386,193628,0.009919987,127.999999595,0.164462840,0.060317499,0.003548088,0.003102612,0.047302088,0.009810408,0.053230350,0.009085472,0.068165770,0.009668352,0.062771302,0.007728052,0.052049725,0.008224386
8,612911_ventral_b1,0.417913748,0.047384864,35344,0.007213764,45.254833888,0.111043854,0.064963202,0.003821365,0.002133776,0.426872262,0.050105443,0.420324282,0.048910807,0.361777803,0.041724734,0.450300149,0.078064528,0.417913748,0.047384864
9,612911_ventral_b2,0.411738255,0.039933686,33672,0.006710999,31.999999932,0.123129190,0.054503719,0.003206101,0.001824217,0.423632301,0.043493387,0.415059432,0.042553158,0.352955228,0.033330263,0.411996519,0.042564099,0.411738255,0.039933686
10,612911_ventral_b3,0.338135778,0.032972515,32580,0.003552258,15.999999975,0.078476624,0.045265169,0.002662657,0.001012633,0.341374630,0.036370525,0.340059557,0.035269283,0.307713829,0.028519375,0.362334260,0.031997518,0.338135778,0.032972515
11,612912_dorsal_d1,0.039868051,0.010129309,35721,0.001342765,22.627416956,0.101606420,0.013215352,0.000777374,0.000483485,0.027127390,0.010312356,0.036142146,0.011870317,0.085210388,0.011838449,0.076072661,0.014277917,0.039868051,0.010129309
12,612912_dorsal_d2,0.030972289,0.008046485,36481,0.000957308,15.999999975,0.088296671,0.010841947,0.000637762,0.000312146,0.018128732,0.008397478,0.026974278,0.009774832,0.078265054,0.010119446,0.063884023,0.011606981,0.030972289,0.008046485
13,612912_dorsal_d3,0.038276043,0.010387459,38809,0.001207139,31.999999932,0.088033174,0.013712324,0.000806607,0.000327384,0.024938833,0.009816243,0.034721348,0.012101992,0.084390423,0.012932301,0.077105345,0.016675109,0.038276043,0.010387459
14,612912_side_w1,0.498295572,0.122353013,56646,0.028673029,63.999999831,0.136234429,0.210468304,0.012380488,0.008844490,0.517532077,0.129915157,0.513930916,0.130434929,0.385769507,0.078531858,0.428255920,0.177014476,0.498295572,0.122353013
15,612912_side_o1,0.063955168,0.018002633,87308,0.003167435,15.999999975,0.108069613,0.029309210,0.001724071,0.000872892,0.051157232,0.015457627,0.062117060,0.019490929,0.100952338,0.020436744,0.113128373,0.031912140,0.063955168,0.018002633
16,612912_ventral_t1,0.056119230,0.010587216,214487,0.008705471,127.999999595,0.139326775,0.062482398,0.003675435,0.002868553,0.051628050,0.013542725,0.057559146,0.011373529,0.070086723,0.009545332,0.064146832,0.008633404,0.056119230,0.010587216
17,612912_ventral_b1,0.409893169,0.053369340,33306,0.006642540,63.999999831,0.098165753,0.067666568,0.003980386,0.001653461,0.424754277,0.055973936,0.414506457,0.054992093,0.343504098,0.043900210,0.391125566,0.064267534,0.409893169,0.053369340
18,612912_ventral_b2,0.394204596,0.055523884,35344,0.009387112,45.254833888,0.114831474,0.081746859,0.004808639,0.002217280,0.397252899,0.058725930,0.396836838,0.057941439,0.348645376,0.044244472,0.453836255,0.053671148,0.394204596,0.055523884
