 ,Label,lumMean,lumSD,area,maxPower,maxFreq,propPower,sumPower,meanPower,powerSD,lwMean,lwSD,mwMean,mwSD,swMean,swSD,uvMean,uvSD,dblMean,dblSD
1,608313_crown_c1,0.066160655,0.024606196,82480,0.003595529,45.254833888,0.078530808,0.045784947,0.002693232,0.000537019,0.057782419,0.020763127,0.070248064,0.027431073,0.076348776,0.027632609,0.107105677,0.031592105,0.066160655,0.024606196
2,608313_dorsal_d1,0.081713707,0.013677240,32041,0.002418929,2.000000000,0.155581624,0.015547649,0.000914568,0.000671349,0.074761313,0.015746272,0.084121918,0.014436453,0.095258770,0.011879859,0.112731097,0.016753368,0.081713707,0.013677240
3,608313_dorsal_d2,0.084751393,0.012854846,34410,0.002181179,2.000000000,0.167303165,0.013037286,0.000766899,0.000670268,0.076432782,0.015253161,0.087486960,0.013585942,0.099505384,0.011380988,0.116634588,0.016746608,0.084751393,0.012854846
4,608313_dorsal_d3,0.080543285,0.011269459,34782,0.001711268,2.828427124,0.121125885,0.014128011,0.000831059,0.000535703,0.075382676,0.012899014,0.082872606,0.011921253,0.091636227,0.010266411,0.115904745,0.016065425,0.080543285,0.011269459
5,608313_side_whole_image,0.441916431,0.255670213,19477800,0.036337935,362.038670535,0.126415611,0.287448166,0.016908716,0.012254873,0.433577126,0.259977172,0.445071277,0.252623517,0.397307439,0.220411872,0.346723014,0.238299828,0.441916431,0.255670213
6,608313_ventral_b1,0.417214009,0.036850771,34967,0.005409804,63.999999831,0.097763837,0.055335434,0.003255026,0.001550111,0.437361046,0.040291042,0.426673148,0.039897750,0.331767856,0.032495590,0.366620400,0.045337598,0.417214009,0.036850771
7,608313_ventral_b2,0.362573608,0.044942539,34782,0.005532465,15.999999975,0.091392271,0.060535372,0.003560904,0.001165847,0.366666053,0.047260061,0.367490278,0.046940513,0.317589746,0.038633671,0.401198229,0.040474726,0.362573608,0.044942539
8,608313_ventral_b3,0.359374080,0.038881290,35532,0.004370002,63.999999831,0.085341313,0.051206177,0.003012128,0.000878271,0.366746586,0.043541552,0.366083885,0.041500608,0.307079830,0.030749474,0.358433237,0.026182290,0.359374080,0.038881290
9,608313_ventral_t1,0.059373377,0.009270758,189186,0.005026689,127.999999595,0.140725902,0.035719715,0.002101160,0.001380514,0.054412345,0.011025988,0.061455053,0.010299717,0.071467983,0.010208074,0.071274369,0.009463784,0.059373377,0.009270758
10,608314_crown_c1,0.088415063,0.032433305,76535,0.004040640,45.254833888,0.090311670,0.044741058,0.002631827,0.001304418,0.073196197,0.024507600,0.093137292,0.035568498,0.105992967,0.041906118,0.176044370,0.053420033,0.088415063,0.032433305
11,608314_dorsal_d1,0.085477022,0.021714104,34782,0.003604236,2.000000000,0.209091462,0.017237606,0.001013977,0.000953185,0.080853497,0.019607152,0.088029681,0.024840835,0.094620254,0.021226909,0.107926457,0.012623987,0.085477022,0.021714104
12,608314_dorsal_d2,0.085716622,0.019580615,34967,0.003068054,2.000000000,0.198629172,0.015446140,0.000908596,0.000809864,0.082430416,0.019428473,0.088122906,0.022292583,0.093375236,0.017078637,0.109076816,0.013412127,0.085716622,0.019580615
13,608314_dorsal_d3,0.083595073,0.023680518,34969,0.004341745,2.000000000,0.257399908,0.016867703,0.000992218,0.001104909,0.078864607,0.022153941,0.086214941,0.026739971,0.092995390,0.020691644,0.110171511,0.013795950,0.083595073,0.023680518
14,608314_side_w1,0.295474327,0.086332545,18470,0.016121887,7.999999992,0.121672069,0.132502775,0.007794281,0.005215706,0.307332770,0.093574135,0.301031882,0.088363856,0.249827736,0.066109831,0.285398610,0.072880487,0.295474327,0.086332545
15,608314_side_o1,0.096547757,0.010450181,2899,0.006238149,15.999999975,0.109581366,0.056927095,0.003348653,0.001527457,0.099648684,0.013909440,0.098749112,0.011784219,0.093645060,0.010801767,0.110697602,0.011107197,0.096547757,0.010450181
16,608314_ventral_b1,0.361135867,0.046309452,34410,0.005474198,63.999999831,0.088735169,0.061691419,0.003628907,0.001308759,0.382208500,0.049616063,0.371281678,0.049047042,0.279641212,0.038355407,0.303200731,0.055242977,0.361135867,0.046309452
17,608314_ventral_b2,0.289494695,0.033298991,35532,0.004044568,22.627416956,0.087021452,0.046477831,0.002733990,0.001388604,0.294593633,0.034805383,0.296504618,0.035540933,0.249491061,0.030543774,0.284709078,0.035185986,0.289494695,0.033298991
18,608314_ventral_b3,0.297162652,0.035376708,34410,0.004231096,15.999999975,0.088156408,0.047995334,0.002823255,0.001232281,0.306738278,0.038489591,0.304846865,0.037963162,0.248151570,0.028854790,0.253960741,0.027006315,0.297162652,0.035376708
19,608314_ventral_t1,0.051551766,0.006803096,149576,0.007560158,127.999999595,0.154302551,0.048995676,0.002882099,0.002478736,0.045375696,0.007646758,0.053562473,0.007989436,0.066562272,0.009076638,0.063438742,0.006863736,0.051551766,0.006803096
20,608321_crown_c1,0.072712165,0.022885448,101505,0.005329063,45.254833888,0.085531905,0.062304969,0.003664998,0.001167966,0.058693488,0.017172689,0.076342767,0.024344320,0.092834182,0.034063530,0.150066698,0.042125943,0.072712165,0.022885448
21,608321_dorsal_d1,0.074499681,0.007614749,34410,0.001008528,22.627416956,0.100449200,0.010040177,0.000590599,0.000321701,0.067000516,0.007891440,0.076971787,0.008681880,0.089346143,0.010639005,0.108109326,0.012444400,0.074499681,0.007614749
22,608321_dorsal_d2,0.073782916,0.006834790,34040,0.000900838,11.313708484,0.107623523,0.008370273,0.000492369,0.000347808,0.064203010,0.006032454,0.076364642,0.008005555,0.092019942,0.010748385,0.108634168,0.012441166,0.073782916,0.006834790
23,608321_dorsal_d3,0.075292860,0.005933771,35343,0.000762924,7.999999992,0.090251533,0.008453313,0.000497254,0.000231041,0.066511999,0.005747807,0.077886330,0.007214108,0.091910856,0.010041952,0.109276147,0.010161353,0.075292860,0.005933771
24,608321_side_w1,0.345057865,0.113337396,31392,0.021567178,45.254833888,0.115983959,0.185949660,0.010938215,0.006553946,0.348617704,0.118174916,0.350695772,0.116161546,0.303047887,0.088956137,0.348138040,0.094571469,0.345057865,0.113337396
