 ,Label,lumMean,lumSD,area,maxPower,maxFreq,propPower,sumPower,meanPower,powerSD,lwMean,lwSD,mwMean,mwSD,swMean,swSD,uvMean,uvSD,dblMean,dblSD
1,606623_side_w1,0.404131722,0.091362282,32676,0.019909036,31.999999932,0.126363117,0.157554169,0.009267892,0.006753206,0.404443115,0.096058294,0.409480717,0.092801892,0.357105076,0.073370375,0.444265336,0.090945116,0.404131722,0.091362282
2,606623_side_o1,0.070115114,0.007167227,4557,0.001803726,63.999999831,0.090602034,0.019908231,0.001171072,0.000463976,0.068318425,0.008810332,0.071524604,0.007939187,0.079424306,0.008475852,0.084738635,0.007002376,0.070115114,0.007167227
3,606623_ventral_b1,0.471304537,0.032236789,33489,0.004794839,45.254833888,0.112868624,0.042481595,0.002498917,0.001239177,0.481470547,0.035283726,0.477717595,0.035994844,0.396472276,0.028878004,0.501191182,0.027328326,0.471304537,0.032236789
4,606623_ventral_b2,0.453253247,0.037382329,34225,0.004909826,22.627416956,0.091587411,0.053608093,0.003153417,0.001081882,0.462025569,0.040750233,0.459233820,0.041114504,0.384010523,0.032117508,0.489256238,0.038702254,0.453253247,0.037382329
5,606623_ventral_b3,0.402553609,0.038433153,33489,0.005024375,63.999999831,0.099289484,0.050603291,0.002976664,0.001204130,0.410962168,0.042356381,0.409353393,0.041875911,0.342000504,0.030097829,0.398403187,0.035079682,0.402553609,0.038433153
6,606623_ventral_t1,0.051182609,0.007102020,144143,0.008696285,90.509667729,0.139476444,0.062349486,0.003667617,0.003069965,0.044973384,0.008001848,0.052756658,0.008128595,0.067942620,0.009362541,0.062244495,0.009242420,0.051182609,0.007102020
7,606637_crown_c1,0.071614665,0.022196428,55933,0.002641286,2.000000000,0.089858006,0.029393998,0.001729059,0.000877366,0.057483914,0.022578861,0.075444306,0.023653562,0.091222341,0.025953709,0.152833658,0.054229428,0.071614665,0.022196428
8,606623_side_w1,0.404060850,0.091573253,33564,0.020051495,45.254833888,0.126079050,0.159039068,0.009355239,0.006796985,0.404355516,0.096282964,0.409410198,0.093015609,0.357061494,0.073545930,0.444261432,0.091010444,0.404060850,0.091573253
9,606623_side_o1,0.070099699,0.007105806,4683,0.001722584,63.999999831,0.090912470,0.018947716,0.001114572,0.000441097,0.068298931,0.008745224,0.071505160,0.007820587,0.079428549,0.008371594,0.084727652,0.006949112,0.070099699,0.007105806
10,606623_ventral_b1,0.471094144,0.032537723,34595,0.004779863,45.254833888,0.111836003,0.042739928,0.002514113,0.001222118,0.481251730,0.035588953,0.477488826,0.036367453,0.396344824,0.029116758,0.501185671,0.027432047,0.471094144,0.032537723
11,606623_ventral_b2,0.453076917,0.037512610,35342,0.004838987,22.627416956,0.090444717,0.053502155,0.003147186,0.001019436,0.461827807,0.040910900,0.459050989,0.041272623,0.383900826,0.032190469,0.489253902,0.038784862,0.453076917,0.037512610
12,606623_ventral_b3,0.402726769,0.038395600,34410,0.004970621,63.999999831,0.096619457,0.051445340,0.003026196,0.001120608,0.411149398,0.042316093,0.409525482,0.041913919,0.342130004,0.030128866,0.398526784,0.035105557,0.402726769,0.038395600
13,606623_ventral_t1,0.051167880,0.007081514,148077,0.008794133,90.509667729,0.140912818,0.062408329,0.003671078,0.003098885,0.044959154,0.007980953,0.052741577,0.008119603,0.067929589,0.009363493,0.062224395,0.009224745,0.051167880,0.007081514
14,606637_crown_c1,0.071626630,0.022213728,57433,0.002643197,2.000000000,0.090316982,0.029265778,0.001721516,0.000880517,0.057496332,0.022627779,0.075457921,0.023684952,0.091231255,0.025990485,0.152791867,0.054345711,0.071626630,0.022213728
15,606637_dorsal_d1,0.063562899,0.011455383,36100,0.001842342,2.000000000,0.139073320,0.013247272,0.000779251,0.000566024,0.050142396,0.010354284,0.062281298,0.013795500,0.100365582,0.016413199,0.117889732,0.015095219,0.063562899,0.011455383
16,606637_dorsal_d2,0.069589889,0.012174646,35532,0.002099808,2.000000000,0.146421106,0.014340886,0.000843582,0.000626874,0.056114746,0.011318348,0.068742843,0.014281933,0.104860399,0.016550773,0.123059212,0.013232700,0.069589889,0.012174646
17,606637_dorsal_d3,0.060872534,0.012902211,35532,0.002105093,2.000000000,0.136976286,0.015368302,0.000904018,0.000589022,0.047572583,0.011061749,0.059612812,0.015087923,0.098103368,0.017748082,0.107852998,0.015148334,0.060872534,0.012902211
18,606647_dorsal_d1,0.070227417,0.010028154,34780,0.001420820,31.999999932,0.100550794,0.014130367,0.000831198,0.000459245,0.061500170,0.008261328,0.072196005,0.010714131,0.089229248,0.014036101,0.106530253,0.019402866,0.070227417,0.010028154
19,606647_dorsal_d2,0.061059250,0.008321797,34968,0.001250662,31.999999932,0.096752125,0.012926457,0.000760380,0.000350956,0.054510465,0.007460969,0.062884381,0.008984014,0.077420226,0.010962779,0.087352862,0.012007555,0.061059250,0.008321797
20,606647_dorsal_d3,0.068336990,0.008494236,35343,0.000874585,15.999999975,0.071733320,0.012192170,0.000717186,0.000161436,0.060376143,0.007597754,0.070310803,0.009213447,0.086027125,0.011705228,0.104577182,0.014860575,0.068336990,0.008494236
21,606647_side_w1,0.462328770,0.123732342,66316,0.025310089,63.999999831,0.115553366,0.219033769,0.012884339,0.007217424,0.477215782,0.129654813,0.472930221,0.127915885,0.375281621,0.090634222,0.407212543,0.084069800,0.462328770,0.123732342
22,606647_side_o1,0.070833984,0.021821473,13187,0.010578744,63.999999831,0.098193259,0.107733910,0.006337289,0.003148768,0.069093015,0.024755344,0.072470235,0.022464210,0.079330477,0.015773993,0.083693670,0.012116137,0.070833984,0.021821473
23,606647_ventral_b1,0.394240136,0.058210156,35721,0.009076556,31.999999932,0.113797884,0.079760327,0.004691784,0.002035331,0.403065615,0.061748915,0.400534477,0.060043077,0.335711377,0.047168601,0.396948526,0.072387942,0.394240136,0.058210156
24,606647_ventral_b2,0.400819460,0.066510981,35908,0.012160756,45.254833888,0.127174773,0.095622391,0.005624847,0.003225447,0.408528844,0.069617170,0.405538199,0.068655363,0.344852678,0.053744510,0.438740641,0.081944443,0.400819460,0.066510981
25,606647_ventral_b3,0.356914337,0.037672642,36100,0.004616410,45.254833888,0.097638089,0.047280827,0.002781225,0.001008048,0.359049786,0.040079076,0.361815892,0.040715451,0.317297579,0.032651641,0.375821490,0.034335647,0.356914337,0.037672642
26,606647_ventral_t1,0.052041835,0.007478875,178467,0.007566500,127.999999595,0.144963414,0.052195926,0.003070349,0.002646283,0.046523506,0.008699931,0.053786098,0.008594415,0.066999754,0.009077345,0.063423371,0.008265272,0.052041835,0.007478875
27,606654_dorsal_d1,0.056013475,0.013269301,34595,0.001624148,2.000000000,0.108211061,0.015009079,0.000882887,0.000532012,0.047319814,0.012160404,0.058267098,0.014686169,0.072075660,0.016224183,0.055874064,0.011486027,0.056013475,0.013269301
28,606654_dorsal_d2,0.054611084,0.012827748,34040,0.001589255,22.627416956,0.095574835,0.016628388,0.000978140,0.000385656,0.046675339,0.012004683,0.056941887,0.014010841,0.069018324,0.015555907,0.055159432,0.011496836,0.054611084,0.012827748
29,606654_dorsal_d3,0.055515564,0.014914178,35343,0.001761122,45.254833888,0.101727011,0.017312236,0.001018367,0.000486437,0.046910363,0.013659881,0.057822847,0.016094771,0.071219124,0.017722447,0.055412346,0.013117495,0.055515564,0.014914178
