 ,Label,lumMean,lumSD,area,maxPower,maxFreq,propPower,sumPower,meanPower,powerSD,lwMean,lwSD,mwMean,mwSD,swMean,swSD,uvMean,uvSD,dblMean,dblSD
1,610037_crown_c1,0.079798817,0.027800012,62729,0.003764660,45.254833888,0.083617869,0.045022194,0.002648364,0.000772570,0.066201352,0.022949043,0.084020176,0.030326816,0.096835719,0.033609975,0.154644937,0.045367623,0.079798817,0.027800012
2,610037_dorsal_d1,0.059874011,0.014001561,34968,0.001695836,2.000000000,0.096007906,0.017663509,0.001039030,0.000459426,0.052756555,0.013829145,0.061892779,0.015093471,0.076711332,0.015117860,0.085380201,0.024347223,0.059874011,0.014001561
3,610037_dorsal_d2,0.057237472,0.011504897,33672,0.001475214,31.999999932,0.102105855,0.014447887,0.000849876,0.000496784,0.051111257,0.011729846,0.059140060,0.012416018,0.073062020,0.012952517,0.081270200,0.021076680,0.057237472,0.011504897
4,610037_dorsal_d3,0.057224510,0.013568788,33856,0.001684171,31.999999932,0.100161673,0.016814524,0.000989090,0.000590178,0.051094777,0.013776287,0.059061019,0.014369923,0.073237409,0.014663018,0.082041467,0.024394365,0.057224510,0.013568788
5,610037_side_w1,0.370536325,0.123626465,49369,0.025080099,7.999999992,0.115652033,0.216858266,0.012756369,0.006395649,0.368505253,0.119037369,0.370560266,0.123343559,0.343369421,0.113921340,0.448864497,0.144171552,0.370536325,0.123626465
6,610037_side_o1,0.064492396,0.011900047,10771,0.008495375,22.627416956,0.105452262,0.080561336,0.004738902,0.002063505,0.059945660,0.012685329,0.065807233,0.012215826,0.078949337,0.012059276,0.085977091,0.013651582,0.064492396,0.011900047
7,610045_crown_c1,0.075903186,0.026325139,85693,0.005563171,63.999999831,0.100175203,0.055534408,0.003266730,0.000979692,0.062204025,0.024227617,0.079567265,0.028753424,0.095282642,0.027487618,0.150547895,0.046562598,0.075903186,0.026325139
8,610045_dorsal_d1,0.061449816,0.008987729,33672,0.001110059,22.627416956,0.096172068,0.011542421,0.000678966,0.000297058,0.054762696,0.008935401,0.063604690,0.010667102,0.077251421,0.013696466,0.089749247,0.014715568,0.061449816,0.008987729
9,610045_dorsal_d2,0.060320731,0.009873157,34782,0.001262852,31.999999932,0.098269758,0.012850870,0.000755934,0.000423919,0.054158738,0.009487668,0.062350278,0.011350543,0.075811067,0.014588681,0.086226065,0.015942155,0.060320731,0.009873157
10,610045_dorsal_d3,0.067893348,0.009265076,35156,0.001269002,22.627416956,0.107203383,0.011837329,0.000696313,0.000393264,0.060601061,0.009407004,0.070035604,0.010973116,0.084442720,0.014370224,0.100873561,0.014806204,0.067893348,0.009265076
