 ,Label,lumMean,lumSD,area,maxPower,maxFreq,propPower,sumPower,meanPower,powerSD,lwMean,lwSD,mwMean,mwSD,swMean,swSD,uvMean,uvSD,dblMean,dblSD
1,614279_dorsal_d1,0.064,0.007,31862,8.288E-4,5.657,0.106,0.008,4.605E-4,2.961E-4,0.059,0.006,0.067,0.008,0.074,0.011,0.096,0.011,0.064,0.007
2,614279_dorsal_d2,0.063,0.007,34040,7.718E-4,4.000,0.092,0.008,4.951E-4,2.682E-4,0.061,0.007,0.066,0.008,0.071,0.011,0.095,0.011,0.063,0.007
3,614279_dorsal_d3,0.064,0.007,32039,7.671E-4,4.000,0.094,0.008,4.818E-4,2.584E-4,0.060,0.007,0.067,0.008,0.073,0.011,0.095,0.010,0.064,0.007
4,614279_side_w1,0.369,0.101,26684,0.016,8.000,0.101,0.159,0.009,0.005,0.367,0.105,0.371,0.101,0.333,0.084,0.405,0.111,0.369,0.101
5,614279_side_o1,0.079,0.014,10485,0.006,32.000,0.116,0.053,0.003,0.002,0.086,0.017,0.081,0.015,0.072,0.012,0.089,0.016,0.079,0.014
6,614279_ventral_b1,0.449,0.054,36864,0.007,32.000,0.101,0.072,0.004,0.002,0.465,0.061,0.458,0.058,0.357,0.045,0.400,0.067,0.449,0.054
7,614279_ventral_b2,0.436,0.045,32040,0.007,22.627,0.114,0.060,0.004,0.002,0.440,0.050,0.441,0.049,0.368,0.038,0.460,0.047,0.436,0.045
8,614279_ventral_b3,0.376,0.059,36100,0.009,22.627,0.105,0.081,0.005,0.003,0.369,0.060,0.379,0.061,0.334,0.053,0.474,0.061,0.376,0.059
9,614279_ventral_t1,0.038,0.006,98800,9.640E-4,90.510,0.098,0.010,5.771E-4,2.065E-4,0.038,0.007,0.040,0.007,0.044,0.009,0.047,0.007,0.038,0.006
10,614280_crown_c1,0.018,0.007,128594,8.649E-4,90.510,0.081,0.011,6.282E-4,2.551E-4,0.012,0.008,0.024,0.008,0.027,0.009,0.116,0.044,0.018,0.007
11,614280_dorsal_d1,0.067,0.021,35344,0.004,2.000,0.209,0.018,0.001,9.822E-4,0.062,0.016,0.070,0.024,0.079,0.026,0.105,0.015,0.067,0.021
12,614280_dorsal_d2,0.063,0.015,34596,0.003,2.000,0.191,0.014,8.206E-4,7.164E-4,0.058,0.012,0.066,0.017,0.073,0.020,0.100,0.013,0.063,0.015
13,614280_dorsal_d3,0.063,0.017,32039,0.003,2.000,0.202,0.014,8.375E-4,7.658E-4,0.058,0.013,0.067,0.019,0.076,0.022,0.104,0.013,0.063,0.017
14,614280_side_w1,0.469,0.123,57727,0.023,64.000,0.105,0.217,0.013,0.006,0.480,0.129,0.478,0.126,0.384,0.091,0.384,0.079,0.469,0.123
15,614280_side_o1,0.058,0.013,15089,0.012,32.000,0.106,0.116,0.007,0.004,0.060,0.016,0.060,0.013,0.061,0.011,0.074,0.011,0.058,0.013
16,614280_ventral_b1,0.459,0.033,32759,0.005,32.000,0.122,0.041,0.002,0.002,0.483,0.037,0.468,0.036,0.356,0.029,0.374,0.037,0.459,0.033
17,614280_ventral_b2,0.457,0.027,33489,0.005,22.627,0.147,0.034,0.002,0.002,0.471,0.028,0.465,0.030,0.369,0.028,0.426,0.042,0.457,0.027
18,614280_ventral_b3,0.411,0.043,32761,0.007,22.627,0.122,0.057,0.003,0.002,0.425,0.045,0.419,0.045,0.334,0.037,0.378,0.048,0.411,0.043
19,614280_ventral_t1,0.036,0.005,226314,0.002,181.019,0.142,0.013,7.888E-4,4.827E-4,0.035,0.005,0.038,0.006,0.044,0.007,0.047,0.008,0.036,0.005
20,614281_crown_c1,0.068,0.030,99405,0.004,2.000,0.091,0.039,0.002,7.668E-4,0.057,0.028,0.071,0.031,0.084,0.030,0.137,0.053,0.068,0.030
21,614281_dorsal_d1,0.067,0.007,30276,9.900E-4,4.000,0.116,0.009,5.032E-4,3.272E-4,0.060,0.006,0.071,0.009,0.081,0.012,0.111,0.011,0.067,0.007
22,614281_dorsal_d2,0.060,0.008,30450,0.001,4.000,0.104,0.010,5.728E-4,3.156E-4,0.055,0.007,0.063,0.009,0.071,0.012,0.096,0.012,0.060,0.008
23,614281_dorsal_d3,0.067,0.007,34596,9.261E-4,2.828,0.101,0.009,5.400E-4,2.621E-4,0.060,0.007,0.070,0.009,0.080,0.012,0.108,0.010,0.067,0.007
24,614281_side_w1,0.440,0.102,71008,0.023,64.000,0.139,0.169,0.010,0.007,0.442,0.109,0.445,0.104,0.378,0.075,0.439,0.079,0.440,0.102
25,614281_side_o1,0.060,0.018,13562,0.007,64.000,0.092,0.072,0.004,0.002,0.062,0.019,0.063,0.019,0.062,0.017,0.090,0.030,0.060,0.018
26,614281_ventral_b1,0.500,0.036,32220,0.005,11.314,0.102,0.048,0.003,0.001,0.514,0.036,0.505,0.038,0.408,0.042,0.486,0.080,0.500,0.036
27,614281_ventral_b2,0.565,0.031,34410,0.005,22.627,0.113,0.041,0.002,0.002,0.581,0.034,0.571,0.037,0.459,0.035,0.509,0.038,0.565,0.031
