 ,Label,lumMean,lumSD,area,maxPower,maxFreq,propPower,sumPower,meanPower,powerSD,lwMean,lwSD,mwMean,mwSD,swMean,swSD,uvMean,uvSD,dblMean,dblSD
1,612907_dorsal_d1,0.079777478,0.017034057,45156,0.002923340,2.000000000,0.149210556,0.019592044,0.001152473,0.000684810,0.069713271,0.012819503,0.082262658,0.018740689,0.098112510,0.022937501,0.120444095,0.017586619,0.079777478,0.017034057
2,612907_dorsal_d2,0.076275919,0.019879300,46552,0.005847629,255.999999054,0.133605748,0.043767794,0.002574576,0.001472861,0.067576217,0.017018255,0.078537475,0.021093938,0.093515826,0.023951197,0.111561535,0.018458017,0.076275919,0.019879300
3,612907_dorsal_d3,0.079861302,0.020814872,45909,0.007307847,181.019335363,0.142075107,0.051436505,0.003025677,0.001811318,0.071566958,0.017796357,0.082127644,0.022214408,0.096295247,0.024840525,0.117879805,0.019701230,0.079861302,0.020814872
4,612918_dorsal_d1,0.499168076,0.087362464,70225,0.012807488,2.000000000,0.124172218,0.103142943,0.006067232,0.003080079,0.454518663,0.076326764,0.464144032,0.090660448,0.639320203,0.119706720,0.131805355,0.017290727,0.499168076,0.087362464
5,612918_dorsal_d2,0.456365926,0.093117253,41820,0.014430050,2.000000000,0.137226108,0.105155280,0.006185605,0.003684832,0.405919625,0.077813307,0.424432793,0.095556623,0.603490213,0.130526815,0.123070795,0.019558656,0.456365926,0.093117253
6,612918_dorsal_d3,0.479249886,0.093907907,115807,0.013608435,2.000000000,0.105240842,0.129307550,0.007606326,0.002757732,0.430619850,0.079107304,0.445098015,0.095508887,0.626518013,0.130900086,0.127447632,0.021150057,0.479249886,0.093907907
7,612928_dorsal_d1,0.467428537,0.173085051,231025,0.022527249,511.999997839,0.141485781,0.159219173,0.009365834,0.005562731,0.433216389,0.195651571,0.479184151,0.168496539,0.456188140,0.156684412,0.121306605,0.027721943,0.467428537,0.173085051
8,612928_dorsal_d2,0.060402513,0.016118883,37612,0.005972715,181.019335363,0.139825497,0.042715494,0.002512676,0.001661897,0.055157308,0.015408007,0.061501548,0.016741485,0.078496196,0.017678129,0.082859802,0.021674783,0.060402513,0.016118883
9,612928_dorsal_d3,0.068397914,0.016958603,37999,0.006289417,127.999999595,0.128965749,0.048768118,0.002868713,0.001848095,0.063179721,0.016178251,0.069694339,0.017719595,0.085158869,0.018526501,0.097168038,0.023017755,0.068397914,0.016958603
10,612930_dorsal_d1,0.060763387,0.018178161,40333,0.006611274,362.038670535,0.137428338,0.048107066,0.002829827,0.001913664,0.055216187,0.017548919,0.061545021,0.018883750,0.079245459,0.018486658,0.084780164,0.021963998,0.060763387,0.018178161
11,612930_dorsal_d2,0.070010664,0.017690904,43389,0.006439145,255.999999054,0.130040543,0.049516442,0.002912732,0.001928730,0.064343708,0.016883738,0.070914794,0.018751178,0.087594481,0.018659496,0.100393775,0.017876536,0.070010664,0.017690904
12,612930_dorsal_d3,0.061248297,0.017823764,39142,0.008011214,362.038670535,0.134229058,0.059683154,0.003510774,0.002502791,0.056064311,0.017580568,0.062057234,0.018393161,0.079067105,0.017464434,0.084717486,0.020562369,0.061248297,0.017823764
13,612931_dorsal_d1,0.071999107,0.010835683,47524,0.001861341,2.000000000,0.152973517,0.012167732,0.000715749,0.000468280,0.064408553,0.007804778,0.073900661,0.011765084,0.089278250,0.015840288,0.104004282,0.014567288,0.071999107,0.010835683
14,612931_dorsal_d2,0.075081440,0.014773546,51178,0.003863116,181.019335363,0.135212090,0.028570791,0.001680635,0.000865088,0.069412996,0.013873195,0.076865402,0.015340267,0.089289003,0.016355423,0.105892798,0.015751107,0.075081440,0.014773546
15,612931_dorsal_d3,0.077767881,0.016331089,41740,0.004940911,181.019335363,0.150751519,0.032775200,0.001927953,0.001147108,0.072023438,0.015229721,0.079612360,0.016979449,0.091903906,0.018235535,0.109187646,0.017665177,0.077767881,0.016331089
16,612932_dorsal_d1,0.071934508,0.016987086,35296,0.006644455,362.038670535,0.141064704,0.047102177,0.002770716,0.001899647,0.064284724,0.017907054,0.073406079,0.017342901,0.090548658,0.016272801,0.103460685,0.027080086,0.071934508,0.016987086
17,612932_dorsal_d2,0.071270332,0.017574225,34367,0.007943232,181.019335363,0.137574114,0.057737841,0.003396344,0.002363591,0.063217489,0.017902838,0.072728083,0.017999477,0.090889001,0.017475529,0.101293332,0.028010104,0.071270332,0.017574225
18,612932_dorsal_d3,0.075658547,0.016725345,32727,0.007113631,255.999999054,0.144137568,0.049353065,0.002903121,0.002145727,0.067742882,0.018055218,0.077200705,0.017116647,0.094199514,0.015525195,0.111071465,0.025092822,0.075658547,0.016725345
19,612933_dorsal_d1,0.057005724,0.018602996,28381,0.006655511,362.038670535,0.153457972,0.043370250,0.002551191,0.002026898,0.050663126,0.018181125,0.058018780,0.018888243,0.075749481,0.018619161,0.076611232,0.021420967,0.057005724,0.018602996
20,612933_dorsal_d2,0.053120561,0.016142056,37381,0.007239588,181.019335363,0.154982467,0.046712301,0.002747782,0.002298326,0.047708459,0.015956440,0.054085851,0.016336464,0.070752480,0.015892006,0.070585609,0.018697987,0.053120561,0.016142056
21,612933_dorsal_d3,0.059360439,0.020051695,29566,0.006650147,255.999999054,0.134233095,0.049541780,0.002914222,0.002041359,0.053739747,0.019413855,0.060388845,0.020423391,0.076691065,0.020135917,0.080464311,0.022458823,0.059360439,0.020051695
22,612941_dorsal_d1,0.074718661,0.015367624,37636,0.001902228,2.000000000,0.123401983,0.015414893,0.000906758,0.000545632,0.064721125,0.016370919,0.076164700,0.016480054,0.096928210,0.015188716,0.117642198,0.025677197,0.074718661,0.015367624
23,612941_dorsal_d2,0.062470838,0.020125970,28216,0.006517502,181.019335363,0.133710347,0.048743440,0.002867261,0.001874558,0.055981174,0.020187662,0.063669496,0.020503574,0.080733738,0.019590080,0.088958643,0.028737459,0.062470838,0.020125970
24,612941_dorsal_d3,0.063499026,0.020575165,29568,0.006123674,181.019335363,0.135387295,0.045230788,0.002660635,0.001677019,0.056682858,0.020961827,0.064698805,0.021111028,0.082270312,0.019288264,0.091387803,0.026639072,0.063499026,0.020575165
25,614261_dorsal_d1,0.054095452,0.018034608,26896,0.006951198,362.038670535,0.128728979,0.053998704,0.003176394,0.001922428,0.050813131,0.015720871,0.055419015,0.018210923,0.067575286,0.022546362,0.079320402,0.023706274,0.054095452,0.018034608
26,614261_dorsal_d2,0.056374241,0.017979479,27222,0.007418219,255.999999054,0.129920298,0.057098228,0.003358719,0.002096781,0.053269666,0.016333843,0.057571511,0.018073927,0.070031611,0.021732563,0.082485171,0.023596444,0.056374241,0.017979479
27,614261_dorsal_d3,0.056253344,0.017195905,29739,0.007170327,255.999999054,0.122870435,0.058356813,0.003432754,0.002094674,0.052626165,0.015075053,0.057547060,0.017354937,0.070554746,0.021499440,0.082244751,0.021722607,0.056253344,0.017195905
28,614262_dorsal_d1,0.070449958,0.027886532,33931,0.004564296,2.000000000,0.275412051,0.016572610,0.000974859,0.001121462,0.063926702,0.023822459,0.071751122,0.030662803,0.088210659,0.033211251,0.106759306,0.021216863,0.070449958,0.027886532
