Melanogenesis_genes,Citation
ABCC2,Poelstra et al 2015
ACD,Poelstra et al 2015
ACKR3,Poelstra et al 2015
ACO2,Poelstra et al 2015
ACSL1,Poelstra et al 2015
ADAM17,Poelstra et al 2015
ADAMTS20,Poelstra et al 2015
ADCY1,Poelstra et al 2015
ADCY2,Poelstra et al 2015
ADCY5,Poelstra et al 2015
ADCY6,Poelstra et al 2015
ADCY7,Poelstra et al 2015
ADCY8,Poelstra et al 2015
ADCY9,Poelstra et al 2015
ADCYAP1,Poelstra et al 2015
ADCYAP1R1,Poelstra et al 2015
AGRP,Poelstra et al 2015
AMDHD2,Poelstra et al 2015
ANK1,Poelstra et al 2015
AP3B1,Poelstra et al 2015
AP3D1,Poelstra et al 2015
APC,Poelstra et al 2015
APOLD1,Poelstra et al 2015
APOO,Poelstra et al 2015
ARCN1,Poelstra et al 2015
ARHGAP35,Poelstra et al 2015
ARL6,Poelstra et al 2015
ARMC9,Poelstra et al 2015
ASAH1,Poelstra et al 2015
ASCL1,Poelstra et al 2015
ASIP,Poelstra et al 2015
ATOX1,Poelstra et al 2015
ATP10A,Poelstra et al 2015
ATP1A1,Poelstra et al 2015
ATP2A1,Poelstra et al 2015
ATP2C2,Poelstra et al 2015
ATP6V1B2,Poelstra et al 2015
ATP6V1C1,Poelstra et al 2015
ATP7A,Poelstra et al 2015
ATP7B,Poelstra et al 2015
ATRN,Poelstra et al 2015
BAX,Poelstra et al 2015
BCL2,Poelstra et al 2015
BCL2A1,Poelstra et al 2015
BDH1,Poelstra et al 2015
BEST1,Poelstra et al 2015
BIRC7,Poelstra et al 2015
BLOC1S4,Poelstra et al 2015
BLOC1S5,Poelstra et al 2015
BLOC1S6,Poelstra et al 2015
BMP2,Poelstra et al 2015
BMPR1A,Poelstra et al 2015
BMPR1B,Poelstra et al 2015
BNC2,Poelstra et al 2015
BRCA1,Poelstra et al 2015
BRMS1L,Poelstra et al 2015
CALM2,Poelstra et al 2015
CALM3,Poelstra et al 2015
CALML3,Poelstra et al 2015
CAMK1,Poelstra et al 2015
CAMK1D,Poelstra et al 2015
CAMK1G,Poelstra et al 2015
CAMK2A,Poelstra et al 2015
CAMK2B,Poelstra et al 2015
CAMK2D,Poelstra et al 2015
CAMK2G,Poelstra et al 2015
CAMK4,Poelstra et al 2015
CAMKK1,Poelstra et al 2015
CAMKK2,Poelstra et al 2015
CAPN3,Poelstra et al 2015
CASP3,Poelstra et al 2015
CAV1,Poelstra et al 2015
CAV2,Poelstra et al 2015
CAV3,Poelstra et al 2015
CBR3,Poelstra et al 2015
CHKA,Poelstra et al 2015
CHL1,Poelstra et al 2015
CHRM2,Poelstra et al 2015
CHRM3,Poelstra et al 2015
CHRM4,Poelstra et al 2015
CHRM5,Poelstra et al 2015
CLCN7,Poelstra et al 2015
CORIN,Poelstra et al 2015
