 ,Label,lumMean,lumSD,area,maxPower,maxFreq,propPower,sumPower,meanPower,powerSD,lwMean,lwSD,mwMean,mwSD,swMean,swSD,uvMean,uvSD,dblMean,dblSD
1,612879_crown_c1,0.074411923,0.030929578,78841,0.003557043,7.999999992,0.077930580,0.045643740,0.002684926,0.000714614,0.060254962,0.026600404,0.079023674,0.033664318,0.091316159,0.033975902,0.160881479,0.054243459,0.074411923,0.030929578
2,612879_dorsal_d1,0.049398936,0.017129622,35156,0.002737804,2.000000000,0.147612756,0.018547201,0.001091012,0.000660504,0.045348200,0.016228705,0.052222490,0.019132565,0.059309460,0.021921938,0.078052818,0.017435140,0.049398936,0.017129622
3,612879_dorsal_d2,0.054418094,0.018687770,34040,0.002543687,2.000000000,0.137916198,0.018443712,0.001084924,0.000661518,0.048469166,0.015684536,0.057445054,0.021412945,0.066692932,0.022614946,0.089098529,0.019837742,0.054418094,0.018687770
4,612879_dorsal_d3,0.053030881,0.018547451,36098,0.002958845,2.000000000,0.174702527,0.016936472,0.000996263,0.000753476,0.048709801,0.015984167,0.055887969,0.020966273,0.063218320,0.022455373,0.085716517,0.018571509,0.053030881,0.018547451
5,612879_side_w1,0.363798692,0.099514838,38318,0.019678656,45.254833888,0.123358929,0.159523563,0.009383739,0.006147856,0.367703849,0.101997849,0.368634088,0.100353592,0.317938800,0.084988262,0.392341440,0.099647909,0.363798692,0.099514838
6,612879_side_o1,0.067475317,0.023167738,15346,0.007998736,127.999999595,0.093865357,0.085215000,0.005012647,0.002312280,0.069256487,0.027562477,0.070366409,0.024145617,0.066970778,0.016852834,0.091131257,0.023546869,0.067475317,0.023167738
7,612879_ventral_b1,0.094788412,0.070398171,31862,0.008517062,90.509667729,0.089722080,0.094927158,0.005583950,0.002022710,0.091748299,0.068342482,0.097149654,0.070300994,0.099954290,0.066273068,0.139631647,0.094399956,0.094788412,0.070398171
8,612879_ventral_b2,0.268505220,0.114168652,33672,0.015948559,45.254833888,0.111859899,0.142576197,0.008386835,0.004258847,0.265805324,0.114898222,0.270490145,0.113577352,0.250692468,0.099171732,0.342747720,0.118044525,0.268505220,0.114168652
9,612879_ventral_b3,0.386641977,0.085584166,32761,0.010626508,90.509667729,0.096003819,0.110688387,0.006511082,0.002818228,0.385305758,0.089827209,0.387567825,0.086370737,0.351373650,0.067979646,0.426828027,0.065704742,0.386641977,0.085584166
10,612879_ventral_t1,0.034554530,0.026393555,201552,0.010423515,127.999999595,0.112291873,0.092825193,0.005460305,0.003231570,0.032692171,0.024913884,0.036631010,0.026164321,0.043366182,0.026429509,0.046650168,0.036940306,0.034554530,0.026393555
11,612880_crown_c1,0.065799721,0.016338123,103189,0.002403193,45.254833888,0.075996555,0.031622400,0.001860141,0.000581789,0.052882866,0.012943714,0.070509667,0.016839215,0.081739227,0.022821983,0.136293150,0.032139084,0.065799721,0.016338123
12,612880_dorsal_d1,0.035546589,0.006168888,34225,0.000737306,7.999999992,0.089286236,0.008257774,0.000485751,0.000265712,0.033781844,0.006413829,0.037875304,0.006780557,0.043979684,0.007718313,0.051216135,0.009135760,0.035546589,0.006168888
13,612880_dorsal_d2,0.033267389,0.004316814,33856,0.000524428,11.313708484,0.093008265,0.005638506,0.000331677,0.000182902,0.031201797,0.004385292,0.035572202,0.005022076,0.042536801,0.006888213,0.049306487,0.007564077,0.033267389,0.004316814
14,612880_dorsal_d3,0.035289968,0.004787037,33124,0.000688945,31.999999932,0.106290114,0.006481744,0.000381279,0.000186076,0.033510644,0.005239653,0.037635916,0.005523685,0.043834997,0.006464720,0.051692464,0.007721900,0.035289968,0.004787037
15,612880_side_w1,0.490681066,0.141352828,36637,0.026151115,31.999999932,0.111583479,0.234363684,0.013786099,0.008148633,0.482680412,0.144226453,0.485508715,0.141065536,0.446552448,0.119863095,0.604649399,0.144043617,0.490681066,0.141352828
16,612880_side_o1,0.056377132,0.017090519,12116,0.012727389,45.254833888,0.082365664,0.154522994,0.009089588,0.002734794,0.054055669,0.016221779,0.058762663,0.018614204,0.064728295,0.022937690,0.088536495,0.027952149,0.056377132,0.017090519
