 ,Label,lumMean,lumSD,area,maxPower,maxFreq,propPower,sumPower,meanPower,powerSD,lwMean,lwSD,mwMean,mwSD,swMean,swSD,uvMean,uvSD,dblMean,dblSD
1,608568_crown_c1,0.073919414,0.028854494,102730,0.003564960,11.313708484,0.090954284,0.039195073,0.002305593,0.001066941,0.059033512,0.023841132,0.077862923,0.030758562,0.094361167,0.035684923,0.165325490,0.056197184,0.073919414,0.028854494
2,608568_dorsal_d1,0.070534722,0.014287651,33124,0.002367149,2.000000000,0.189582542,0.012486115,0.000734477,0.000638803,0.062463445,0.010895988,0.072539518,0.016335405,0.088551422,0.020341707,0.104024361,0.012808843,0.070534722,0.014287651
3,608568_dorsal_d2,0.076216986,0.014127915,33306,0.002079332,2.000000000,0.147621115,0.014085599,0.000828565,0.000556008,0.067590750,0.010997605,0.078424297,0.016541066,0.094171409,0.020437181,0.113262353,0.014633308,0.076216986,0.014127915
4,608568_dorsal_d3,0.075627925,0.014723542,34410,0.002438309,2.000000000,0.193072496,0.012628980,0.000742881,0.000645404,0.068336465,0.011694033,0.077686282,0.016839499,0.091929602,0.021081440,0.111391278,0.011387551,0.075627925,0.014723542
5,608568_side_w1,0.299133850,0.085550363,43945,0.014885558,45.254833888,0.107082240,0.139010523,0.008177090,0.004736089,0.302343009,0.087921000,0.301738201,0.088235363,0.272033074,0.074703949,0.329633784,0.076026050,0.299133850,0.085550363
6,608568_side_o1,0.082588650,0.010960471,8180,0.006976229,15.999999975,0.110633252,0.063057258,0.003709250,0.001965678,0.084117791,0.012390276,0.083971704,0.013350015,0.086140951,0.013742359,0.097430764,0.008864520,0.082588650,0.010960471
7,608568_ventral_b1,0.456046009,0.034150723,32041,0.004208313,45.254833888,0.091913099,0.045785776,0.002693281,0.001119422,0.473115181,0.036055191,0.461122672,0.037033952,0.377686701,0.034393070,0.439263207,0.039642844,0.456046009,0.034150723
8,608568_ventral_b2,0.431359541,0.031469754,33489,0.004677899,22.627416956,0.103595656,0.045155363,0.002656198,0.001300425,0.438638731,0.033783218,0.434092236,0.035005117,0.374451396,0.031061272,0.470552191,0.029073841,0.431359541,0.031469754
9,608568_ventral_b3,0.311377353,0.045643257,34969,0.005807834,63.999999831,0.094452490,0.061489472,0.003617028,0.001556785,0.311834480,0.048428813,0.315614662,0.047908235,0.282156602,0.038244878,0.330541019,0.032103591,0.311377353,0.045643257
10,608568_ventral_t1,0.051339143,0.006761732,116595,0.006375349,90.509667729,0.134856460,0.047275075,0.002780887,0.002147529,0.046069958,0.007752483,0.052990334,0.008215069,0.066490722,0.009863885,0.062648148,0.006197098,0.051339143,0.006761732
11,608573_crown_c1,0.074007617,0.020742885,108080,0.005377772,45.254833888,0.086718359,0.062014232,0.003647896,0.001090031,0.061138649,0.021415507,0.078162219,0.021574899,0.091328816,0.022520978,0.141729121,0.048662304,0.074007617,0.020742885
12,608573_dorsal_d1,0.070294316,0.019667719,33124,0.002516546,2.000000000,0.135242049,0.018607718,0.001094572,0.000684834,0.061915201,0.017532194,0.072343379,0.022356496,0.088559471,0.020580189,0.102647474,0.022112173,0.070294316,0.019667719
13,608573_dorsal_d2,0.074910928,0.019250100,34410,0.002601325,2.000000000,0.153436133,0.016953796,0.000997282,0.000639284,0.066780534,0.019019050,0.077008279,0.021938675,0.092295765,0.019271286,0.111050789,0.019554677,0.074910928,0.019250100
14,608573_dorsal_d3,0.079773849,0.019902198,32942,0.002630904,2.000000000,0.141293513,0.018620130,0.001095302,0.000783906,0.071715356,0.018802093,0.081784264,0.022605105,0.096941319,0.020490181,0.120410074,0.022765393,0.079773849,0.019902198
15,608573_side_w1,0.401928591,0.128828214,47428,0.020895436,31.999999932,0.105013945,0.198977727,0.011704572,0.006263708,0.415609611,0.134941805,0.406598418,0.131272106,0.339576849,0.098332865,0.381979629,0.091195977,0.401928591,0.128828214
16,608573_side_o1,0.068356148,0.011159582,6385,0.005534513,31.999999932,0.101442141,0.054558321,0.003209313,0.001643157,0.065181918,0.013164821,0.069825513,0.011746304,0.080047397,0.009487235,0.089853131,0.008833463,0.068356148,0.011159582
17,608573_ventral_b1,0.475479688,0.048132053,32761,0.007058309,63.999999831,0.117760366,0.059937899,0.003525759,0.001850706,0.483065426,0.051077845,0.474072087,0.050082419,0.419101060,0.041352805,0.524208933,0.042579620,0.475479688,0.048132053
18,608573_ventral_b2,0.446190498,0.068969946,34596,0.010325777,45.254833888,0.116456979,0.088666024,0.005215648,0.003131074,0.461416766,0.075341270,0.451966476,0.071057010,0.369532016,0.051165008,0.436120094,0.063727753,0.446190498,0.068969946
19,608573_ventral_b3,0.460305398,0.052154194,34596,0.008025261,45.254833888,0.118893880,0.067499360,0.003970551,0.002353447,0.468863249,0.056137865,0.463059473,0.054233618,0.396910001,0.042057751,0.475717981,0.044800043,0.460305398,0.052154194
20,608573_ventral_t1,0.050608401,0.008173668,152189,0.007045050,127.999999595,0.163315442,0.043137685,0.002537511,0.002229696,0.045780751,0.009137073,0.052125128,0.009150193,0.065602025,0.009927989,0.063097241,0.009525797,0.050608401,0.008173668
21,608575_crown_c1,0.069556093,0.028123773,113160,0.003218678,45.254833888,0.078476026,0.041014792,0.002412635,0.000852785,0.054980951,0.024069696,0.073691974,0.031232689,0.088473172,0.034756827,0.149169560,0.049040730,0.069556093,0.028123773
22,608575_dorsal_d1,0.063068214,0.013394101,34225,0.001594115,2.000000000,0.094814674,0.016812954,0.000988997,0.000293358,0.056710791,0.011589957,0.064653590,0.015480562,0.080081813,0.016982025,0.090903653,0.017171192,0.063068214,0.013394101
