 ,Label,lumMean,lumSD,area,maxPower,maxFreq,propPower,sumPower,meanPower,powerSD,lwMean,lwSD,mwMean,mwSD,swMean,swSD,uvMean,uvSD,dblMean,dblSD
1,612907_crown_c1,0.077733883,0.030182715,115766,0.003631894,15.999999975,0.081242736,0.044704231,0.002629661,0.000976310,0.063138044,0.025741329,0.081889398,0.032957008,0.096597626,0.038058413,0.163610597,0.048393141,0.077733883,0.030182715
2,612907_dorsal_d1,0.080866630,0.018604270,34225,0.003104719,2.000000000,0.164882683,0.018829870,0.001107639,0.000803960,0.071741533,0.013953627,0.083113101,0.020703980,0.098751541,0.023693275,0.122786532,0.018773520,0.080866630,0.018604270
3,612907_dorsal_d2,0.081543850,0.017511308,34596,0.003345409,2.000000000,0.214458605,0.015599323,0.000917607,0.000962296,0.073724408,0.013717114,0.083652524,0.019215727,0.097711435,0.022561974,0.122708329,0.014546544,0.081543850,0.017511308
4,612907_dorsal_d3,0.079405749,0.017373103,34595,0.003146266,2.000000000,0.202408093,0.015544173,0.000914363,0.000835187,0.070903612,0.013006720,0.081498096,0.019409770,0.096995010,0.022546898,0.119580143,0.014749787,0.079405749,0.017373103
5,612907_side_w1,0.479389760,0.104928281,67985,0.025245373,45.254833888,0.124165019,0.203321138,0.011960067,0.007257545,0.494777812,0.111507166,0.488712209,0.109096011,0.389341473,0.074869535,0.454258209,0.075368856,0.479389760,0.104928281
6,612907_side_o1,0.107118069,0.028238584,2441,0.008006333,11.313708484,0.091983802,0.087040685,0.005120040,0.002292697,0.111145093,0.034069701,0.108466803,0.028861906,0.104545555,0.019144479,0.110706658,0.017466314,0.107118069,0.028238584
7,612907_ventral_b1,0.391257694,0.025629065,34969,0.004022691,31.999999932,0.102085852,0.039404976,0.002317940,0.001018678,0.401627853,0.026733949,0.396269568,0.028437234,0.333836227,0.028053372,0.379906102,0.045262425,0.391257694,0.025629065
8,612907_ventral_b2,0.435295136,0.041627353,34969,0.005563517,15.999999975,0.094467400,0.058893515,0.003464324,0.001513767,0.437920676,0.045016852,0.439342105,0.044544458,0.379792244,0.035030356,0.517761746,0.034924611,0.435295136,0.041627353
9,612907_ventral_b3,0.434426799,0.032434414,33856,0.004751487,45.254833888,0.105147360,0.045188836,0.002658167,0.001478376,0.437989786,0.034992034,0.439533831,0.036080049,0.376801856,0.029513557,0.465180130,0.030328265,0.434426799,0.032434414
10,612907_ventral_t1,0.049168971,0.005147493,119485,0.002060471,181.019335363,0.123644598,0.016664467,0.000980263,0.000540322,0.043285143,0.005812228,0.050685632,0.006507138,0.065797450,0.008628345,0.059864609,0.006886099,0.049168971,0.005147493
11,612912_crown_c1,0.070387848,0.024290013,84805,0.002793594,2.000000000,0.091369312,0.030574756,0.001798515,0.000723467,0.057149758,0.019573380,0.074457772,0.027351758,0.087563710,0.029716250,0.138217701,0.034229636,0.070387848,0.024290013
12,612916_crown_c1,0.080851395,0.025442248,75373,0.002995154,5.656854245,0.075707087,0.039562395,0.002327200,0.000623976,0.067193842,0.026041693,0.084329908,0.026328430,0.100477865,0.028122604,0.159030441,0.056845586,0.080851395,0.025442248
13,612917_crown_c1,0.072379988,0.029101867,92586,0.003317683,2.000000000,0.099941339,0.033196306,0.001952724,0.000884072,0.059411709,0.024513583,0.076337614,0.031994994,0.090032028,0.035790589,0.143243639,0.043113713,0.072379988,0.029101867
14,612918_crown_c1,0.062361261,0.024425768,69125,0.002932673,2.000000000,0.104060260,0.028182447,0.001657791,0.000777321,0.052112997,0.021940491,0.066281344,0.027312796,0.075896747,0.028416260,0.112930261,0.028104028,0.062361261,0.024425768
15,612918_dorsal_d1,0.074898861,0.012065047,34782,0.001867302,2.000000000,0.150201967,0.012431941,0.000731291,0.000492409,0.069468244,0.010647642,0.076407361,0.013625823,0.090968856,0.015372176,0.106950834,0.012714397,0.074898861,0.012065047
16,612918_dorsal_d2,0.074707633,0.012277225,34782,0.001876612,2.000000000,0.143183263,0.013106363,0.000770963,0.000521376,0.069760739,0.010896962,0.076054563,0.013786112,0.090640772,0.015316399,0.103570260,0.012853024,0.074707633,0.012277225
17,612918_dorsal_d3,0.070230844,0.015401994,34969,0.001843065,2.000000000,0.089867531,0.020508691,0.001206394,0.000386280,0.068989196,0.018040148,0.071056692,0.016175759,0.082184895,0.014373215,0.086036010,0.014123560,0.070230844,0.015401994
18,612918_side_w1,0.372658464,0.119702696,48877,0.021523421,45.254833888,0.108155585,0.199004246,0.011706132,0.006212422,0.386018261,0.127301804,0.375732920,0.121997954,0.317497414,0.090522576,0.350255655,0.088650088,0.372658464,0.119702696
19,612918_side_o1,0.100006068,0.024058528,6350,0.006670451,63.999999831,0.104220515,0.064003247,0.003764897,0.001970457,0.105466620,0.028914610,0.100628820,0.025052882,0.098973763,0.016942850,0.105757075,0.010819781,0.100006068,0.024058528
20,612918_ventral_b1,0.405846946,0.030240283,35721,0.004148538,22.627416956,0.088246155,0.047010973,0.002765351,0.000848255,0.425385630,0.033086707,0.411121230,0.034196759,0.330283354,0.030461139,0.388254185,0.042151054,0.405846946,0.030240283
21,612918_ventral_b2,0.339169339,0.040033681,34224,0.005371830,31.999999932,0.107983327,0.049746843,0.002926285,0.001553697,0.342931544,0.042331413,0.342568573,0.042520725,0.300175959,0.035386977,0.376515918,0.036527453,0.339169339,0.040033681
22,612918_ventral_b3,0.372035240,0.055158927,35910,0.009433179,22.627416956,0.116151356,0.081214541,0.004777326,0.002405964,0.373221630,0.057985156,0.373234421,0.057617176,0.332792775,0.045121267,0.456919888,0.053873033,0.372035240,0.055158927
23,612918_ventral_t1,0.050702730,0.005732123,108274,0.002063888,127.999999595,0.127817434,0.016147153,0.000949833,0.000484266,0.045937414,0.006801094,0.051656814,0.007023185,0.068713075,0.008981796,0.061546453,0.006076889,0.050702730,0.005732123
24,612928_crown_c1,0.073002114,0.030121363,80502,0.003817829,15.999999975,0.082484752,0.046285266,0.002722663,0.000929596,0.059655506,0.025484972,0.076899228,0.032700924,0.090740354,0.035609320,0.144171550,0.052189386,0.073002114,0.030121363
25,612928_dorsal_d1,0.064529746,0.009010700,34595,0.001166905,22.627416956,0.096794570,0.012055476,0.000709146,0.000399212,0.059284972,0.008217510,0.066218410,0.010112415,0.080391701,0.012513045,0.088914316,0.013164802,0.064529746,0.009010700
26,612928_dorsal_d2,0.066024708,0.011826797,33489,0.001745760,31.999999932,0.115390000,0.015129217,0.000889954,0.000536936,0.060527915,0.010662478,0.067687143,0.012899041,0.082235357,0.014873063,0.093447702,0.018508661,0.066024708,0.011826797
27,612928_dorsal_d3,0.058060734,0.009706200,35344,0.001492416,31.999999932,0.116316767,0.012830618,0.000754742,0.000490477,0.052772340,0.008548360,0.059460824,0.010752901,0.075401884,0.012857779,0.079309285,0.015517252,0.058060734,0.009706200
28,612928_side_w1,0.389447035,0.106856351,47681,0.022884970,63.999999831,0.135636014,0.168723402,0.009924906,0.007026500,0.395579029,0.111357617,0.395059477,0.108787997,0.335006147,0.081815417,0.393225597,0.079641856,0.389447035,0.106856351
29,612928_side_o1,0.068242212,0.013657999,4484,0.004617803,15.999999975,0.093726287,0.049269029,0.002898178,0.001363923,0.065488703,0.015443315,0.069329108,0.013935233,0.081465997,0.011700282,0.087147274,0.008798155,0.068242212,0.013657999
30,612928_ventral_b1,0.382248148,0.039628753,33489,0.005456328,15.999999975,0.098327706,0.055491253,0.003264191,0.001306630,0.388293503,0.041830799,0.387834177,0.042516673,0.329278064,0.033774616,0.399427869,0.037986716,0.382248148,0.039628753
31,612928_ventral_b2,0.365641204,0.036154752,34225,0.005505762,45.254833888,0.100027637,0.055042408,0.003237789,0.001627519,0.364591933,0.037105969,0.370743659,0.038322733,0.325028493,0.033842669,0.408631678,0.045208971,0.365641204,0.036154752
32,612928_ventral_b3,0.340334472,0.038046830,33856,0.005618463,31.999999932,0.107663900,0.052185211,0.003069718,0.001585194,0.340542090,0.039213932,0.346935500,0.040338936,0.301052050,0.034469743,0.340779336,0.047262831,0.340334472,0.038046830
33,612928_ventral_t1,0.050913825,0.005986378,226088,0.006871431,181.019335363,0.161955506,0.042427893,0.002495758,0.002368094,0.046467309,0.006619503,0.052072597,0.007138340,0.067793108,0.008655027,0.063060300,0.006949426,0.050913825,0.005986378
34,612930_crown_c1,0.069119321,0.023606885,74480,0.003495432,45.254833888,0.079713248,0.043850082,0.002579417,0.000785022,0.056963008,0.022712677,0.072927420,0.025940805,0.085600504,0.024997865,0.135299211,0.038355768,0.069119321,0.023606885
35,612930_dorsal_d1,0.060032207,0.011596204,33489,0.001457041,2.000000000,0.103427375,0.014087579,0.000828681,0.000301549,0.055415837,0.012066939,0.061046045,0.013209201,0.076408344,0.014593995,0.083958987,0.015180828,0.060032207,0.011596204
36,612930_dorsal_d2,0.059075031,0.012680487,33489,0.001741003,2.000000000,0.135244945,0.012872959,0.000757233,0.000532666,0.053553961,0.011988754,0.060208979,0.014552848,0.076476103,0.016202220,0.083878936,0.015578033,0.059075031,0.012680487
37,612930_dorsal_d3,0.061673109,0.013076430,33489,0.001665782,2.000000000,0.124627561,0.013366081,0.000786240,0.000485079,0.055964539,0.012432036,0.062734970,0.015004444,0.079455673,0.017088367,0.088347390,0.016321046,0.061673109,0.013076430
38,612930_side_w1,0.373516724,0.131571581,35959,0.026210056,31.999999932,0.139668451,0.187659101,0.011038771,0.008334182,0.384377615,0.139027224,0.374524399,0.132470945,0.329329390,0.102691805,0.379663485,0.105972767,0.373516724,0.131571581
39,612930_side_o1,0.075203130,0.007771708,10567,0.003046988,31.999999932,0.092909702,0.032795151,0.001929127,0.000801547,0.073365290,0.009247400,0.075777150,0.008422333,0.087262641,0.008710532,0.095244499,0.007999764,0.075203130,0.007771708
40,612930_ventral_b1,0.424473336,0.052636137,33488,0.007485506,45.254833888,0.109567225,0.068318845,0.004018756,0.001963855,0.452155222,0.054917555,0.428614759,0.054241039,0.340028710,0.047169345,0.343994810,0.060196724,0.424473336,0.052636137
41,612930_ventral_b2,0.403337145,0.039546632,33489,0.005201148,15.999999975,0.093733058,0.055488940,0.003264055,0.001610786,0.419940603,0.046329133,0.405186336,0.041971042,0.342485491,0.035751276,0.384475905,0.041345552,0.403337145,0.039546632
42,612930_ventral_b3,0.354217246,0.046888028,33856,0.006679468,31.999999932,0.105591887,0.063257400,0.003721024,0.001767006,0.357777176,0.049664777,0.352873871,0.047823104,0.326055229,0.040807832,0.406904886,0.049627977,0.354217246,0.046888028
43,612930_ventral_t1,0.047380421,0.004982244,114678,0.007167173,127.999999595,0.150079363,0.047755883,0.002809170,0.002591758,0.041508707,0.005649019,0.048419836,0.006330188,0.065824450,0.008761175,0.056831766,0.005583048,0.047380421,0.004982244
44,612931_crown_c1,0.068597940,0.026328194,76272,0.003007834,2.000000000,0.093256028,0.032253512,0.001897265,0.000943653,0.055515209,0.020360966,0.072521825,0.028557367,0.086133276,0.034630363,0.139879010,0.043512906,0.068597940,0.026328194
45,612931_dorsal_d1,0.078464440,0.011624259,34596,0.001815084,2.000000000,0.136378801,0.013309133,0.000782890,0.000442605,0.071773349,0.010037228,0.081121434,0.013344565,0.091752150,0.017265946,0.112058175,0.013660392,0.078464440,0.011624259
