 ,Label,lumMean,lumSD,area,maxPower,maxFreq,propPower,sumPower,meanPower,powerSD,lwMean,lwSD,mwMean,mwSD,swMean,swSD,uvMean,uvSD,dblMean,dblSD
1,606619_crown_c1,0.069352704,0.026589787,70824,0.003595848,15.999999975,0.082566629,0.043550862,0.002561815,0.001021763,0.056378103,0.021725911,0.072878937,0.028074755,0.088406877,0.033791579,0.156654612,0.054402747,0.069352704,0.026589787
2,606619_dorsal_d1,0.054935858,0.009484204,33124,0.001364089,2.000000000,0.121830157,0.011196642,0.000658626,0.000369555,0.048921044,0.008561866,0.056506625,0.010791546,0.071816245,0.013247548,0.075432693,0.011650150,0.054935858,0.009484204
3,606619_dorsal_d2,0.056984676,0.010900546,34595,0.001408352,2.000000000,0.112520447,0.012516406,0.000736259,0.000424539,0.050824337,0.009681323,0.058646321,0.012346894,0.073819788,0.015278186,0.080407153,0.013157684,0.056984676,0.010900546
4,606619_dorsal_d3,0.051790956,0.009331813,32761,0.001268333,2.000000000,0.115571576,0.010974434,0.000645555,0.000445422,0.046331077,0.008821132,0.053377964,0.010530938,0.067860625,0.012347978,0.070169777,0.010406874,0.051790956,0.009331813
5,606619_side_w1,0.433131475,0.103715043,62060,0.020895172,45.254833888,0.113348705,0.184344159,0.010843774,0.006010417,0.444424367,0.107544674,0.437372498,0.105652061,0.369775405,0.084477000,0.427730230,0.118300591,0.433131475,0.103715043
6,606619_side_o1,0.067912759,0.009037908,15623,0.010687033,15.999999975,0.105362328,0.101431253,0.005966544,0.003292996,0.064567763,0.010232232,0.069466903,0.009861376,0.079455389,0.009329821,0.084656501,0.008503377,0.067912759,0.009037908
7,606619_ventral_b1,0.413085037,0.041926649,33306,0.004571704,63.999999831,0.087717020,0.052118777,0.003065810,0.000893085,0.425661937,0.041352061,0.415147470,0.043240309,0.355898322,0.041823012,0.431944752,0.072848322,0.413085037,0.041926649
8,606619_ventral_b2,0.407461905,0.069493978,34040,0.010569222,45.254833888,0.119288119,0.088602472,0.005211910,0.003191387,0.418671511,0.075927249,0.409496185,0.070959510,0.351144754,0.053881595,0.447876873,0.061463783,0.407461905,0.069493978
9,606619_ventral_b3,0.403415765,0.039982719,33306,0.004800688,63.999999831,0.094011196,0.051065070,0.003003828,0.001082048,0.413657703,0.042918611,0.406564372,0.042171831,0.349584163,0.035441296,0.400649191,0.036968031,0.403415765,0.039982719
10,606619_ventral_t1,0.048184940,0.006341543,221912,0.008057677,127.999999595,0.158515619,0.050832070,0.002990122,0.002749883,0.042624217,0.007179174,0.049603034,0.007603107,0.064765764,0.009185918,0.058634485,0.007116278,0.048184940,0.006341543
11,606621_crown_c1,0.063909200,0.024513018,86667,0.003358682,127.999999595,0.090161034,0.037252041,0.002191297,0.000629721,0.052524811,0.022183659,0.067662653,0.026315594,0.079895488,0.027869343,0.134141012,0.048567237,0.063909200,0.024513018
12,606621_dorsal_d1,0.073178099,0.007416299,33489,0.001122985,2.828427124,0.128752291,0.008722062,0.000513062,0.000370089,0.066037515,0.007029085,0.075115702,0.008860557,0.089856091,0.012329497,0.098496448,0.008950506,0.073178099,0.007416299
13,606621_dorsal_d2,0.075376146,0.008257300,33856,0.001162042,2.828427124,0.107565575,0.010803099,0.000635476,0.000383952,0.068091550,0.007735741,0.077418951,0.009635733,0.091834606,0.012825268,0.105519907,0.013644483,0.075376146,0.008257300
