 ,Label,lumMean,lumSD,area,maxPower,maxFreq,propPower,sumPower,meanPower,powerSD,lwMean,lwSD,mwMean,mwSD,swMean,swSD,uvMean,uvSD,dblMean,dblSD
1,612907_dorsal_f1,0.081717146,0.019063876,515134,0.003208166,2.000000000,0.145975609,0.021977411,0.001292789,0.000662785,0.071799144,0.014817961,0.084170365,0.021021109,0.099935232,0.024524686,0.122744793,0.019659221,0.081717146,0.019063876
2,612907_dorsal_d1,0.078729862,0.016620926,36672,0.002807189,2.000000000,0.153732611,0.018260203,0.001074130,0.000703842,0.068573205,0.012349354,0.081182247,0.018341574,0.097369918,0.022625828,0.119356514,0.018394319,0.078729862,0.016620926
3,612907_dorsal_d2,0.082940001,0.018707016,38220,0.003015965,2.000000000,0.155851234,0.019351566,0.001138327,0.000765777,0.073147585,0.013848940,0.085526427,0.021102483,0.100570267,0.023643228,0.124982677,0.018041083,0.082940001,0.018707016
4,612907_dorsal_d3,0.079947291,0.017568809,35910,0.003283564,2.000000000,0.216569709,0.015161695,0.000891864,0.000937442,0.072192908,0.013661544,0.082267286,0.019475893,0.095490746,0.022198255,0.116914944,0.014243172,0.079947291,0.017568809
5,612907_side_o1,0.076103729,0.020894555,84970,0.004170622,45.254833888,0.079823398,0.052248115,0.003073419,0.000790071,0.068319669,0.019442707,0.078263556,0.022088130,0.092504908,0.023806773,0.111419604,0.030543461,0.076103729,0.020894555
6,612907_side_w1,0.381443214,0.178566169,66104,0.030392994,45.254833888,0.128102609,0.237255074,0.013956181,0.009041060,0.390420311,0.186716191,0.389456655,0.181340491,0.320762093,0.133635206,0.457102855,0.075887414,0.381443214,0.178566169
7,612907_ventral_t1,0.049912898,0.006282525,156864,0.006737759,127.999999595,0.173301445,0.038878837,0.002286990,0.002157636,0.044017285,0.006904875,0.051291370,0.007456520,0.066941285,0.009264383,0.060880489,0.007690654,0.049912898,0.006282525
8,612907_ventral_v1,0.328386935,0.093686027,1402791,0.015435374,90.509667729,0.095152666,0.162216937,0.009542173,0.003924654,0.329282944,0.098308870,0.330598027,0.094577912,0.297817221,0.075762111,0.387551870,0.105811668,0.328386935,0.093686027
9,612907_ventral_b1,0.406860778,0.038661204,37056,0.004641601,22.627416956,0.089986322,0.051581182,0.003034187,0.001203011,0.420329292,0.038958867,0.410856277,0.040365819,0.345113963,0.037299811,0.376764470,0.053601380,0.406860778,0.038661204
10,612907_ventral_b2,0.414687161,0.042938849,35721,0.006576923,22.627416956,0.114492670,0.057444052,0.003379062,0.002240183,0.415378158,0.045166687,0.414848318,0.044891100,0.372095383,0.038259450,0.501470077,0.044928345,0.414687161,0.042938849
11,612907_ventral_b3,0.433006569,0.032281463,34040,0.005230421,45.254833888,0.108416279,0.048243868,0.002837875,0.001474309,0.437684073,0.034960335,0.436264818,0.035742891,0.378461906,0.029425674,0.469562126,0.031316024,0.433006569,0.032281463
12,612918_dorsal_f1,0.486243830,0.101911739,383044,0.014840516,2.000000000,0.114246843,0.129898698,0.007641100,0.003213478,0.440156472,0.096145996,0.451561221,0.104427201,0.630215139,0.133621487,0.127898879,0.020097329,0.486243830,0.101911739
13,612918_dorsal_d1,0.466015192,0.108552254,34596,0.017407068,2.000000000,0.153826219,0.113160605,0.006656506,0.004568267,0.409517210,0.082718046,0.431102336,0.111038240,0.627495188,0.162716587,0.128500162,0.022785843,0.466015192,0.108552254
14,612918_dorsal_d2,0.511034302,0.090628913,35344,0.014073710,2.000000000,0.157940105,0.089107895,0.005241641,0.003776414,0.463364829,0.077956144,0.474421460,0.095539992,0.657001134,0.124048801,0.136328712,0.016466368,0.511034302,0.090628913
15,612918_dorsal_d3,0.463029333,0.082938080,37056,0.011471518,2.000000000,0.117184103,0.097893124,0.005758419,0.003517427,0.424584522,0.075900356,0.431989991,0.085987884,0.591477241,0.111596357,0.117862501,0.017251293,0.463029333,0.082938080
16,612918_side_w1,0.372254532,0.124837559,47631,0.021713846,45.254833888,0.107541083,0.201912100,0.011877182,0.006283570,0.376281874,0.120636587,0.380328446,0.134072251,0.316105480,0.092469565,0.351064644,0.092818796,0.372254532,0.124837559
17,612918_side_o1,0.077229128,0.018726540,33416,0.003040689,7.999999992,0.126865280,0.023967860,0.001409874,0.000922515,0.069957548,0.014863432,0.078123953,0.020529102,0.097844435,0.026470933,0.114430675,0.029519238,0.077229128,0.018726540
18,612918_ventral_v1,0.295316715,0.083227059,936768,0.013856390,181.019335363,0.103509781,0.133865509,0.007874442,0.003207276,0.299801582,0.089426663,0.296668897,0.084392268,0.268012728,0.064745542,0.325057092,0.082472018,0.295316715,0.083227059
19,612918_ventral_b1,0.346562489,0.045071352,33856,0.005347916,45.254833888,0.088641640,0.060331867,0.003548933,0.001663856,0.357923354,0.049030072,0.348386074,0.047252540,0.301620484,0.038690704,0.354701976,0.042115481,0.346562489,0.045071352
20,612918_ventral_b2,0.384565954,0.043245982,34782,0.005998713,22.627416956,0.097978996,0.061224479,0.003601440,0.001617410,0.394766362,0.047614581,0.384753972,0.046011870,0.336629559,0.036529857,0.418419129,0.045462901,0.384565954,0.043245982
21,612918_ventral_b3,0.345293168,0.037693310,30102,0.004426332,31.999999932,0.091587012,0.048329254,0.002842897,0.001203421,0.350146946,0.040203305,0.346289984,0.040413439,0.309945058,0.033836119,0.382287352,0.035298111,0.345293168,0.037693310
22,612918_ventral_t1,0.051313993,0.005952731,151378,0.008663077,127.999999595,0.184952169,0.046839552,0.002755268,0.002744752,0.046470370,0.006930612,0.052049540,0.007212370,0.070084319,0.009278968,0.061990897,0.006890406,0.051313993,0.005952731
23,612928_dorsal_d1,0.060652157,0.008084165,35910,0.001073472,22.627416956,0.095646275,0.011223352,0.000660197,0.000362212,0.055818510,0.007646898,0.061768606,0.009189222,0.077961573,0.011477171,0.082680607,0.011661451,0.060652157,0.008084165
24,612928_dorsal_d2,0.058319566,0.009979284,36290,0.001604048,31.999999932,0.121521774,0.013199678,0.000776452,0.000470583,0.053310100,0.008797764,0.059440009,0.010848093,0.076083938,0.013330676,0.079328928,0.016294377,0.058319566,0.009979284
25,612928_dorsal_d3,0.067225303,0.011881997,35344,0.001675953,31.999999932,0.107914409,0.015530388,0.000913552,0.000548129,0.062070191,0.010747896,0.068538090,0.012955855,0.083973017,0.014974937,0.095441964,0.017844629,0.067225303,0.011881997
26,612928_dorsal_f1,0.062542823,0.011593461,407002,0.001545707,31.999999932,0.082786199,0.018671073,0.001098298,0.000245550,0.057194464,0.010527664,0.063690090,0.012502534,0.080461763,0.014624662,0.087148884,0.018196522,0.062542823,0.011593461
27,612928_side_w1,0.385995077,0.110674230,48468,0.022540673,63.999999831,0.131666756,0.171194866,0.010070286,0.006978185,0.392422822,0.115361646,0.390351080,0.112509104,0.334646056,0.085802567,0.390259734,0.085381674,0.385995077,0.110674230
28,612928_side_o1,0.072480394,0.013002340,36938,0.005762772,45.254833888,0.106808289,0.053954356,0.003173786,0.001649760,0.066772599,0.010793091,0.073665562,0.013793562,0.089974431,0.018197316,0.104348552,0.026557090,0.072480394,0.013002340
29,612928_ventral_t1,0.051333764,0.006160925,311199,0.012503055,127.999999595,0.197928669,0.063169501,0.003715853,0.004330260,0.046694286,0.006809495,0.052169536,0.007296115,0.069486217,0.008976394,0.064644277,0.007813905,0.051333764,0.006160925
30,612928_ventral_v1,0.318267930,0.076277539,775738,0.010741801,63.999999831,0.089140817,0.120503733,0.007088455,0.002670290,0.320831815,0.081744275,0.320452597,0.077429670,0.288766606,0.059495441,0.340270599,0.073420869,0.318267930,0.076277539
31,612928_ventral_b1,0.392371468,0.034572178,36481,0.004304352,63.999999831,0.088450596,0.048663916,0.002862583,0.001333370,0.404632456,0.036439564,0.395179281,0.037009657,0.336550600,0.032013720,0.384690966,0.043433858,0.392371468,0.034572178
