 ,Label,lumMean,lumSD,area,maxPower,maxFreq,propPower,sumPower,meanPower,powerSD,lwMean,lwSD,mwMean,mwSD,swMean,swSD,uvMean,uvSD,dblMean,dblSD
1,614261_crown_c1,0.062113504,0.018512094,89918,0.004495966,63.999999831,0.085210902,0.052762799,0.003103694,0.000839221,0.051376154,0.018034842,0.066453785,0.019056535,0.076242962,0.021437611,0.128062789,0.051882801,0.062113504,0.018512094
2,614261_dorsal_d1,0.050109836,0.012463986,34225,0.002023700,2.000000000,0.135003597,0.014989968,0.000881763,0.000447041,0.046835819,0.009975799,0.052336310,0.013786493,0.061450434,0.019189475,0.080526560,0.015070050,0.050109836,0.012463986
3,614261_dorsal_d2,0.052351845,0.014076287,35721,0.002134851,2.000000000,0.117558475,0.018159909,0.001068230,0.000546707,0.048856517,0.011341953,0.054538084,0.015529619,0.064234448,0.020588426,0.084346744,0.016590402,0.052351845,0.014076287
4,614261_dorsal_d3,0.058471686,0.013948680,35342,0.002499228,2.000000000,0.169708199,0.014726616,0.000866272,0.000690085,0.055099330,0.011766791,0.060700255,0.015332134,0.069685808,0.020156894,0.093827861,0.013669104,0.058471686,0.013948680
5,614261_side_w1,0.452029130,0.130164711,97849,0.027437902,63.999999831,0.103548004,0.264977602,0.015586918,0.007362884,0.470746119,0.141373365,0.450169806,0.130485768,0.386429553,0.099900647,0.374265799,0.095066864,0.452029130,0.130164711
6,614261_side_o1,0.061157362,0.013347375,8220,0.007815170,15.999999975,0.108808413,0.071825051,0.004225003,0.002369469,0.063874000,0.016881943,0.061963190,0.013588292,0.066863817,0.010725104,0.076093258,0.008641058,0.061157362,0.013347375
7,614261_ventral_b1,0.432837568,0.052302738,33124,0.007364821,11.313708484,0.097390766,0.075621348,0.004448315,0.002258178,0.458278359,0.057424347,0.441730875,0.055290925,0.333374444,0.043175295,0.369475282,0.050514201,0.432837568,0.052302738
8,614261_ventral_b2,0.439116610,0.059211541,33855,0.007620499,31.999999932,0.097677368,0.078017037,0.004589237,0.001925127,0.440806076,0.063343493,0.439039325,0.060921977,0.386453118,0.048011119,0.481638478,0.047223251,0.439116610,0.059211541
9,614261_ventral_b3,0.442671389,0.050177879,33124,0.008077094,45.254833888,0.122987679,0.065674010,0.003863177,0.002181493,0.444155839,0.053699803,0.444046613,0.052619896,0.388499455,0.041235277,0.455008616,0.034807735,0.442671389,0.050177879
10,614261_ventral_t1,0.036367770,0.008676803,147039,0.007139272,90.509667729,0.140406779,0.050847064,0.002991004,0.002255867,0.035768829,0.009034127,0.038218966,0.009472011,0.044862674,0.010225761,0.050398104,0.011209517,0.036367770,0.008676803
11,614262_crown_c1,0.091321312,0.030413107,91717,0.004505835,63.999999831,0.093697880,0.048088978,0.002828763,0.001212062,0.081039066,0.030960878,0.097161163,0.031741328,0.097941242,0.028758796,0.150154873,0.064307229,0.091321312,0.030413107
12,614262_dorsal_d1,0.072633220,0.029532115,35532,0.004802229,2.000000000,0.226030946,0.021245892,0.001249758,0.001130719,0.065417312,0.025693155,0.074815800,0.033236693,0.089382093,0.035580105,0.120679421,0.024878261,0.072633220,0.029532115
13,614262_dorsal_d2,0.070905724,0.028352831,34969,0.004067330,2.000000000,0.181233204,0.022442519,0.001320148,0.001021324,0.063127983,0.024613284,0.072943360,0.031811538,0.089422670,0.033118235,0.116232616,0.028176708,0.070905724,0.028352831
14,614262_dorsal_d3,0.071794916,0.029080473,34596,0.005023030,2.000000000,0.248270844,0.020232056,0.001190121,0.001222446,0.064909957,0.025591935,0.073908431,0.032339116,0.088404737,0.033380792,0.118008913,0.025898106,0.071794916,0.029080473
15,614262_side_w1,0.408390994,0.114190366,40907,0.020081499,45.254833888,0.102407823,0.196093412,0.011534907,0.006194377,0.415768668,0.117943576,0.405188961,0.114643412,0.367429881,0.096539470,0.385412514,0.107004368,0.408390994,0.114190366
16,614262_side_o1,0.071141151,0.024022256,3915,0.005424393,7.999999992,0.083155206,0.065232149,0.003837185,0.001423539,0.076468917,0.027618888,0.071622552,0.024438308,0.072713092,0.018378911,0.082662538,0.012577582,0.071141151,0.024022256
17,614262_ventral_b1,0.510141853,0.071815198,35344,0.009049332,90.509667729,0.100449598,0.090088290,0.005299311,0.002021263,0.524461036,0.077630686,0.514623234,0.073929667,0.417239649,0.054674442,0.514613137,0.061218106,0.510141853,0.071815198
18,614262_ventral_b2,0.449712524,0.041857291,34969,0.006178400,15.999999975,0.107355001,0.057551113,0.003385360,0.001738413,0.450217655,0.043280446,0.449366154,0.045064734,0.393865554,0.039628611,0.523980751,0.045435948,0.449712524,0.041857291
19,614262_ventral_b3,0.410664234,0.050513949,34969,0.005116875,90.509667729,0.077346884,0.066154889,0.003891464,0.000958433,0.412430227,0.052980012,0.412690988,0.053426637,0.360440507,0.043182027,0.444290939,0.033587634,0.410664234,0.050513949
20,614262_ventral_t1,0.041384849,0.018462588,144329,0.005571744,127.999999595,0.121811271,0.045740794,0.002690635,0.001546501,0.043340254,0.023837421,0.043199688,0.018906177,0.045369796,0.011159574,0.048629653,0.010437901,0.041384849,0.018462588
