RefSeq Protein Accession,Gene Symbol
XP_030119284,CD101
XP_030119280,CD101
XP_030119273,IGSF3
XP_002194021,IGSF3
XP_030121534,-
XP_030121558,-
XP_030121548,CLDND1
XP_012425443,CLDND1
XP_002192202,CLDND1
XP_030121569,LOC100222730
XP_030121624,LOC115493810
XP_032602739,-
XP_030122063,-
XP_030122058,-
XP_012425411,LOC101234149
XP_032602813,-
XP_002188241,PLA1A
XP_030122024,-
XP_032602812,-
XP_030122034,PLA1A
XP_030122177,-
XP_002187879,HGD
NP_001232182,LOC100190249
XP_030123094,-
XP_032603022,LAG3
XP_030123103,CD4
XP_030135732,-
XP_030135730,CAB39
XP_032604206,-
XP_030128675,-
XP_030128711,-
XP_012425268,CAB39L
XP_030128681,CAB39L
XP_030128703,CAB39L
XP_030128667,CAB39L
XP_030128654,-
XP_030128646,CAB39L
XP_030128698,CAB39L
XP_030128720,-
XP_002198216,CDADC1
XP_030128624,MLNR
XP_012431137,-
XP_030136359,GHSR
XP_002190989,NMUR1
XP_030135787,FNDC3B
XP_032605955,-
XP_030128306,LOC100223640
XP_030128307,LOC100223640
XP_030128585,FNDC3A
XP_030128595,-
XP_030128609,FNDC3A
XP_030128603,FNDC3A
XP_012425229,FNDC3A
XP_030128557,FNDC3A
XP_030128563,FNDC3A
XP_030128577,FNDC3A
XP_030126756,MYCBP2
XP_030126763,-
XP_030126685,MYCBP2
XP_032607274,-
XP_030126726,MYCBP2
XP_030126663,MYCBP2
XP_030126649,MYCBP2
XP_030126655,MYCBP2
XP_030126738,MYCBP2
XP_030126721,MYCBP2
XP_030126696,MYCBP2
XP_030126732,MYCBP2
XP_030126668,MYCBP2
XP_030126715,-
XP_030126741,-
XP_030126747,MYCBP2
XP_030126774,MYCBP2
XP_030126676,MYCBP2
XP_030126706,MYCBP2
XP_030126670,MYCBP2
XP_030126491,FARP1
XP_030126360,FARP1
XP_030126629,FARP1
XP_030126422,FARP1
XP_030126562,FARP1
NP_001170907,FARP1
XP_002195839,SLC10A2
XP_030137107,PIGA
XP_002197500,VEGFD
XP_002191280,LOC100221249
XP_002190287,LOC100223232
XP_030147322,GNAI1
XP_030147313,GNAI1
XP_002199874,GNAZ
XP_030141547,GNAZ
XP_002197783,GNAT2
XP_004175036,GNAO1
XP_012426396,GNAI3
XP_030138906,GNAT1
XP_002188020,GNAT3
XP_032600616,LOC116806898
XP_002187101,LOC100230245
XP_002190186,GNAO1
XP_012428324,GNAI2
XP_030112394,GNA11
XP_030138484,AMFR
NP_001232732,NUDT21
XP_032606429,-
XP_032606430,-
XP_012425463,LOC105758694
XP_030138386,LOC100220861
XP_002198321,LOC100223250
XP_002196056,LOC100232832
XP_030138284,-
XP_030138751,FAM3D
XP_030112890,FAM3C
XP_030112895,-
XP_002192708,SLC26A2
XP_002192686,-
XP_030114801,SLC26A1
XP_032600433,-
XP_030114802,-
XP_030114800,-
XP_030114803,-
XP_004175905,LOC101234089
XP_030139591,-
XP_030139911,-
XP_030139910,-
XP_030139912,-
XP_012430060,ADRA2A
XP_032603793,LOC115494816
XP_032602760,-
XP_032608601,-
XP_032608604,-
XP_032608603,-
XP_032608602,-
XP_030121738,DRD3
XP_030121733,DRD3
XP_032602762,-
XP_002189176,-
XP_030126507,ADRA2C
XP_030114161,HTR1A
XP_012430000,LOC100225213
XP_032604310,-
XP_002195683,NAA60
XP_012432346,INTS15
XP_030140657,-
XP_002193876,-
XP_032606954,-
XP_032606955,-
XP_032606956,LOC100219720
XP_030140656,-
XP_002193896,-
XP_002193790,DNASE1L3
XP_032606946,-
XP_032606947,-
XP_002195371,BFAR
XP_030141111,BFAR
XP_030141112,BFAR
XP_030141113,BFAR
XP_030141115,BFAR
XP_030141116,-
XP_032606943,-
XP_032606944,-
XP_002197536,PARN
XP_032606942,-
XP_030141110,PARN
XP_030140627,NTAN1
XP_030140625,PDXDC1
XP_002197812,PDXDC1
NP_001232428,DGCR6
XP_030141223,SLC7A4
XP_032603956,-
XP_012428975,-
XP_032603955,-
XP_030127027,-
XP_030127028,-
XP_030127030,-
XP_002193755,-
XP_030127031,SLC7A2
XP_030127034,-
XP_030127035,-
XP_002188199,SLC7A3
XP_030128874,SLC7A3
XP_030128875,SLC7A3
XP_030128876,-
XP_002194181,SLC7A1
XP_032606833,-
XP_002198108,SLC7A14
XP_030135749,SLC7A14
XP_030130603,-
XP_030141841,-
XP_030142888,LOC100230113
XP_012433778,TOR1B
XP_002195220,TOR1B
XP_032607403,-
XP_002194162,TOR2A
XP_002191767,TOR3A
XP_002198575,C17H9orf78
XP_030142864,-
XP_030142865,USP20
XP_030142867,-
XP_032607402,-
XP_030142866,-
XP_002198543,USP20
XP_012430691,USP33
XP_004176928,USP33
XP_002189650,USP33
XP_030142869,FNBP1
XP_030142872,FNBP1
XP_030142496,-
XP_030142497,-
XP_030142499,-
XP_032607568,-
XP_032607572,-
XP_030143352,-
XP_032607571,-
XP_032607570,-
XP_012433961,LOC100219858
XP_030143363,LOC100226551
XP_030143355,LOC105760990
XP_012433973,LOC105760993
XP_030143350,-
XP_030143351,LOC100218875
XP_030121584,-
XP_032601679,-
XP_030121579,-
XP_030141858,MYH15
XP_032607952,-
XP_032607574,-
XP_030144872,-
XP_032607953,-
XP_032607657,-
XP_030141478,WSB2
XP_002196251,TLCD3A
XP_012432126,GEMIN4
XP_030144182,GLOD4
XP_030144179,MRM3
XP_030144180,NXN
XP_030111993,-
XP_030114982,-
XP_002188858,LLPH
XP_032607853,-
NP_001232150,TMBIM4
XP_030115148,HELB
XP_030115166,HELB
XP_030115158,-
XP_030117976,IKBIP
XP_004175934,IKBIP
XP_030117933,IKBIP
XP_030117941,IKBIP
XP_030117960,-
XP_030117968,IKBIP
XP_032602149,APAF1
XP_032602148,APAF1
XP_032602147,APAF1
XP_030117873,APAF1
XP_030117881,-
XP_030117894,APAF1
XP_002190128,APAF1
XP_032602152,-
XP_030118073,ANKS1B
XP_030118447,LOC100220534
XP_030118494,-
XP_030118478,-
XP_030118459,-
XP_030118469,-
XP_030118486,-
XP_032602157,-
XP_030118506,-
XP_030118517,TMEM140
XP_030118526,-
XP_030118530,TMEM140
XP_030118537,TMEM140
XP_030118542,-
XP_030118729,LUC7L2
XP_030118730,LUC7L2
XP_002196306,LUC7L2
XP_012424571,LUC7L2
XP_002196386,LOC100232117
NP_001191171,HBAD
NP_001191172,HBAA
XP_030118733,LOC100223480
XP_032602171,LOC100217693
XP_012424555,LOC100217693
XP_002196467,POLDIP3
XP_030118734,POLDIP3
XP_030118735,POLDIP3
XP_002197796,SLC25A17
XP_030120573,ASNS
XP_030120575,ASNS
XP_012426961,-
XP_032601995,-
XP_002198424,LRATD1
XP_030125895,LRATD1
XP_030122546,-
XP_030122543,LRATD2
XP_030122544,LRATD2
XP_030122545,LRATD2
XP_032607936,-
XP_030144804,-
XP_032607927,LOC100230541
XP_032607836,-
XP_032607837,-
XP_030122048,-
XP_030122049,-
XP_030122050,-
XP_030122051,PCMTD1
XP_032607838,-
XP_002197351,PCMTD1
XP_030144244,LOC100220938
XP_002195491,PXDN
XP_032607731,-
XP_032607685,-
XP_032607688,-
XP_030123663,TPO
XP_032607686,-
XP_032607687,-
XP_030147234,LOC115498426
XP_030147233,-
XP_032608818,-
XP_032608817,-
XP_030147223,APH1A
XP_030147224,-
XP_030147115,PRPF3
XP_030147117,-
XP_032608759,-
XP_032608729,RPRD2
XP_032608730,RPRD2
XP_030112114,P3H4
XP_030121139,-
XP_030121140,CRTAP
XP_030111798,FKBP10
XP_004186158,FKBP9
XP_030112116,NT5C3B
XP_012427167,-
XP_012427168,NT5C3A
XP_030112106,-
XP_030112107,-
XP_030112104,-
XP_030112105,KLHL10
XP_032604835,-
XP_030145454,KLHL17
XP_030112102,KLHL11
XP_030112096,-
XP_030112097,-
XP_030112098,ACLY
XP_030112095,ACLY
XP_032603526,-
XP_032603525,-
XP_002191439,CAPN9
XP_030124446,CAPN11
XP_030124447,CAPN11
XP_030124448,-
XP_030131357,CAPN3
XP_030131358,CAPN3
XP_030131360,CAPN3
XP_030118983,LOC100225408
XP_032603236,-
XP_030124169,AGT
XP_002190600,AGT
XP_030124170,AGT
