 ,Label,lumMean,lumSD,area,maxPower,maxFreq,propPower,sumPower,meanPower,powerSD,lwMean,lwSD,mwMean,mwSD,swMean,swSD,uvMean,uvSD,dblMean,dblSD
1,613606_crown_c1,0.056661256,0.019174164,143889,0.003129146,45.254833888,0.087681154,0.035687789,0.002099282,0.000615117,0.043947144,0.016172049,0.060314118,0.021130472,0.075641153,0.022090141,0.130661398,0.038194471,0.056661256,0.019174164
2,613606_dorsal_d1,0.071704212,0.009335073,33489,0.001737430,2.000000000,0.186056910,0.009338164,0.000549304,0.000468693,0.065536874,0.007960634,0.073929275,0.010468898,0.085723535,0.013521102,0.097264768,0.008028644,0.071704212,0.009335073
3,613606_dorsal_d2,0.074666105,0.010182961,32942,0.001877117,2.000000000,0.206961122,0.009069901,0.000533524,0.000489229,0.067139528,0.007467544,0.077096015,0.011528176,0.090222835,0.015817832,0.107527534,0.009091234,0.074666105,0.010182961
4,613606_dorsal_d3,0.074593799,0.009997723,32400,0.001638859,2.000000000,0.145060541,0.011297761,0.000664574,0.000458405,0.069687526,0.009297521,0.076733351,0.011082098,0.086710959,0.013394863,0.104108155,0.009061657,0.074593799,0.009997723
5,613606_side_w1,0.348749016,0.091928617,37214,0.016064129,45.254833888,0.106917327,0.150248131,0.008838125,0.004706209,0.359849109,0.097722572,0.355396324,0.095948170,0.293127927,0.066652411,0.330651414,0.064685106,0.348749016,0.091928617
6,613606_side_o1,0.089199479,0.017713427,16922,0.006207889,31.999999932,0.091470716,0.067867498,0.003992206,0.001513040,0.091670836,0.020723749,0.090728672,0.018929814,0.090078589,0.013189322,0.102557626,0.010347186,0.089199479,0.017713427
7,613606_ventral_b1,0.436784523,0.063671442,35156,0.009499412,31.999999932,0.115071520,0.082552240,0.004856014,0.002773328,0.466166020,0.070141740,0.444099026,0.066457330,0.340382252,0.050118890,0.342380730,0.057422369,0.436784523,0.063671442
8,613606_ventral_b2,0.449528897,0.031914954,33306,0.004753411,22.627416956,0.107524987,0.044207505,0.002600441,0.001628293,0.466456918,0.036344534,0.452889801,0.035933404,0.377980115,0.030533486,0.428105531,0.036166332,0.449528897,0.031914954
9,613606_ventral_b3,0.397831239,0.028741328,35156,0.003662232,45.254833888,0.094602973,0.038711598,0.002277153,0.000906017,0.411314294,0.032804999,0.401561899,0.032342861,0.337823399,0.027996501,0.385816249,0.034533010,0.397831239,0.028741328
10,613606_ventral_t1,0.048484323,0.008591360,185616,0.005109995,181.019335363,0.130140068,0.039265347,0.002309726,0.001580623,0.044006879,0.009643997,0.050005182,0.009811535,0.062860616,0.010896243,0.058885806,0.008529359,0.048484323,0.008591360
11,613607_crown_c1,0.072876969,0.030212959,134124,0.004731459,127.999999595,0.081014637,0.058402522,0.003435442,0.000941309,0.059260349,0.025812640,0.077042186,0.032311449,0.090325828,0.034120270,0.161461688,0.060014518,0.072876969,0.030212959
12,613607_dorsal_d1,0.076341467,0.019878909,34969,0.003250714,2.000000000,0.189751541,0.017131424,0.001007731,0.000866226,0.068366548,0.019350533,0.078423962,0.022070687,0.093219176,0.019372730,0.108999426,0.017785159,0.076341467,0.019878909
13,613607_dorsal_d2,0.078192664,0.021161556,34039,0.003386041,2.000000000,0.201225804,0.016827072,0.000989828,0.000834850,0.068917041,0.020187927,0.080206371,0.023685178,0.097432241,0.020471239,0.115802247,0.018421009,0.078192664,0.021161556
14,613607_dorsal_d3,0.079611554,0.022789247,34782,0.003868423,2.000000000,0.242669187,0.015941138,0.000937714,0.000971663,0.071554005,0.022305244,0.081701477,0.025308561,0.096633573,0.021521682,0.115965731,0.017922508,0.079611554,0.022789247
15,613607_side_o1,0.067539159,0.010843988,39916,0.009837594,45.254833888,0.106980541,0.091956857,0.005409227,0.002479673,0.064828560,0.011156379,0.068609529,0.011778027,0.079881651,0.012319037,0.090346507,0.012914892,0.067539159,0.010843988
16,613607_side_w1,0.313538392,0.091032560,73214,0.015764398,90.509667729,0.089789427,0.175570764,0.010327692,0.004742013,0.317627749,0.089942245,0.314598166,0.091941805,0.286660788,0.081632648,0.352170204,0.108623590,0.313538392,0.091032560
17,613607_ventral_b1,0.518650452,0.025277559,34040,0.003415264,15.999999975,0.105836277,0.032269318,0.001898195,0.001046844,0.546176131,0.027344934,0.524196310,0.029926041,0.415136198,0.028728698,0.459779926,0.029318194,0.518650452,0.025277559
18,613607_ventral_b2,0.446647719,0.038922791,34410,0.004663425,31.999999932,0.087424875,0.053342083,0.003137770,0.001170957,0.459712950,0.042461993,0.448755532,0.041721069,0.381823218,0.034880642,0.456016617,0.041824092,0.446647719,0.038922791
19,613607_ventral_b3,0.340177582,0.038120989,33672,0.004982374,31.999999932,0.103499414,0.048139153,0.002831715,0.001283314,0.348173792,0.039992495,0.344105850,0.040944496,0.297418805,0.034412774,0.325067344,0.029631453,0.340177582,0.038120989
20,613607_ventral_t1,0.046677833,0.006248451,164402,0.007282662,127.999999595,0.144795004,0.050296361,0.002958609,0.002510076,0.041764940,0.007256439,0.048096675,0.007475445,0.062244765,0.009222341,0.058309511,0.007999193,0.046677833,0.006248451
21,613608_crown_c1,0.071398513,0.025052162,130986,0.003285367,63.999999831,0.081816928,0.040155100,0.002362065,0.000599058,0.056631545,0.019906937,0.075475346,0.026864684,0.091434085,0.031469865,0.160531088,0.047960806,0.071398513,0.025052162
22,613608_dorsal_d1,0.073955610,0.013990173,33854,0.002485575,2.000000000,0.164355628,0.015123151,0.000889597,0.000654849,0.068298892,0.011686389,0.076286462,0.015771751,0.086416964,0.018511058,0.103876977,0.011909313,0.073955610,0.013990173
23,613608_dorsal_d2,0.072572089,0.014872642,32942,0.002453268,2.000000000,0.157193646,0.015606659,0.000918039,0.000623021,0.066328646,0.011880427,0.074868034,0.017033921,0.086437111,0.019917497,0.101001672,0.012941935,0.072572089,0.014872642
24,613608_dorsal_d3,0.077141192,0.015259046,34040,0.002538263,2.000000000,0.192404836,0.013192301,0.000776018,0.000688512,0.070735539,0.011669740,0.079539267,0.017747274,0.090533170,0.020587855,0.110395820,0.010553832,0.077141192,0.015259046
25,613608_side_w1,0.295523301,0.095696867,20894,0.014819785,31.999999932,0.111459510,0.132961156,0.007821244,0.004805216,0.294335275,0.095875249,0.298337051,0.098876381,0.273034492,0.083177431,0.356848878,0.081553467,0.295523301,0.095696867
