 ,Label,lumMean,lumSD,area,maxPower,maxFreq,propPower,sumPower,meanPower,powerSD,lwMean,lwSD,mwMean,mwSD,swMean,swSD,uvMean,uvSD,dblMean,dblSD
1,608618_crown_c1,0.068909237,0.022177032,87770,0.003197239,45.254833888,0.080934937,0.039503815,0.002323754,0.000594916,0.056681258,0.018239957,0.072624888,0.023353266,0.085846672,0.028105939,0.126249738,0.037553851,0.068909237,0.022177032
2,608618_dorsal_d1,0.079654391,0.020560393,33306,0.003514136,2.000000000,0.215579566,0.016300877,0.000958875,0.000886662,0.070460969,0.020242474,0.082255437,0.022868254,0.095792015,0.017336874,0.116833369,0.020033611,0.079654391,0.020560393
3,608618_dorsal_d2,0.086270797,0.022669941,32580,0.003552406,2.000000000,0.184824413,0.019220435,0.001130614,0.000891561,0.076656881,0.022401245,0.089063274,0.025131374,0.102402387,0.018447020,0.127505613,0.024091024,0.086270797,0.022669941
4,608618_dorsal_d3,0.082343892,0.022192701,32942,0.003651094,2.000000000,0.210482806,0.017346283,0.001020370,0.000946332,0.072238770,0.021763422,0.085266145,0.024894460,0.099018435,0.018273020,0.121153566,0.020049804,0.082343892,0.022192701
5,608618_side_w1,0.431725879,0.106410697,64177,0.021951730,63.999999831,0.112000533,0.195996652,0.011529215,0.006126828,0.440030939,0.112010871,0.435036524,0.108568942,0.374180820,0.083216648,0.461584328,0.087543041,0.431725879,0.106410697
6,608618_side_o1,0.094356173,0.047483734,12870,0.013811244,63.999999831,0.093630500,0.147507955,0.008676939,0.004102444,0.091863932,0.051186567,0.096003323,0.048263988,0.101373081,0.037176485,0.121199369,0.038723143,0.094356173,0.047483734
7,608618_ventral_b1,0.409100619,0.035458946,34596,0.004981075,45.254833888,0.096561242,0.051584624,0.003034390,0.001266456,0.420352124,0.036075939,0.412650465,0.037469553,0.349839893,0.035198907,0.433562765,0.064508507,0.409100619,0.035458946
8,608618_ventral_b2,0.493221986,0.043232607,34410,0.006722642,31.999999932,0.117958733,0.056991476,0.003352440,0.001943451,0.507992979,0.044027458,0.497084405,0.044672711,0.411745207,0.042238183,0.522308697,0.068807860,0.493221986,0.043232607
9,608618_ventral_b3,0.436252042,0.050276203,34225,0.006918500,45.254833888,0.104199007,0.066396989,0.003905705,0.001859064,0.449283484,0.054818772,0.441969476,0.053087009,0.366442895,0.039376219,0.428965144,0.038961221,0.436252042,0.050276203
10,608618_ventral_t1,0.055220140,0.011889368,173493,0.003918346,127.999999595,0.129532124,0.030249991,0.001779411,0.000906215,0.049418958,0.013810134,0.056922498,0.012779217,0.070177131,0.010706444,0.065973282,0.010691362,0.055220140,0.011889368
