 ,Label,lumMean,lumSD,area,maxPower,maxFreq,propPower,sumPower,meanPower,powerSD,lwMean,lwSD,mwMean,mwSD,swMean,swSD,uvMean,uvSD,dblMean,dblSD
1,612897_crown_c1,0.074439635,0.027411351,100661,0.003353723,11.313708484,0.085476344,0.039235683,0.002307981,0.001109531,0.060407566,0.022802423,0.078095361,0.028250792,0.094082596,0.035138526,0.151512960,0.051559132,0.074439635,0.027411351
2,612897_dorsal_d1,0.053751721,0.009587615,33306,0.001228823,2.000000000,0.095023787,0.012931744,0.000760691,0.000337276,0.048455396,0.009119516,0.054669401,0.011088567,0.071971524,0.014663384,0.076032466,0.012756846,0.053751721,0.009587615
3,612897_dorsal_d2,0.053231059,0.011036114,34040,0.001561640,2.000000000,0.120337301,0.012977190,0.000763364,0.000428079,0.047231139,0.010001216,0.054142640,0.012600121,0.072566721,0.015906968,0.076644535,0.014665855,0.053231059,0.011036114
4,612897_dorsal_d3,0.061560028,0.015033355,34040,0.001714461,2.000000000,0.095280224,0.017993882,0.001058464,0.000495164,0.055585560,0.014353498,0.062529125,0.016581050,0.080032169,0.019223856,0.094193417,0.022038802,0.061560028,0.015033355
5,612897_side_w1,0.347154530,0.071548134,17093,0.012946975,15.999999975,0.103006781,0.125690514,0.007393560,0.004022245,0.343951538,0.069050953,0.346942998,0.072135905,0.328654356,0.070312416,0.389515621,0.078474547,0.347154530,0.071548134
6,612897_side_o1,0.069709387,0.010885839,1199,0.004830112,7.999999992,0.105915008,0.045603658,0.002682568,0.001232636,0.067915378,0.012633107,0.070098306,0.011858657,0.082660263,0.011834469,0.084274602,0.006406242,0.069709387,0.010885839
7,612897_ventral_b1,0.451447327,0.024519466,34596,0.002573675,22.627416956,0.075407607,0.034130180,0.002007658,0.000460203,0.473517399,0.027113430,0.454419922,0.028523450,0.374216881,0.028530340,0.387645008,0.027409265,0.451447327,0.024519466
8,612897_ventral_b2,0.493179576,0.023154888,33489,0.003294834,15.999999975,0.106705872,0.030877720,0.001816336,0.000752371,0.508827142,0.025823456,0.491598344,0.028064165,0.423800681,0.028412477,0.501153578,0.025587474,0.493179576,0.023154888
9,612897_ventral_b3,0.395509687,0.041367685,32942,0.004818903,63.999999831,0.090402095,0.053305213,0.003135601,0.001269469,0.404580219,0.045346766,0.395665574,0.044065739,0.349914029,0.035328692,0.407801366,0.029799587,0.395509687,0.041367685
10,612897_ventral_t1,0.051475169,0.007338077,191404,0.005171604,127.999999595,0.155383854,0.033282766,0.001957810,0.001641247,0.046574969,0.008586373,0.052660650,0.008680658,0.067665107,0.010790048,0.064070940,0.008701824,0.051475169,0.007338077
11,612898_crown_c1,0.057055706,0.023238048,71560,0.002941361,15.999999975,0.076910559,0.038243921,0.002249642,0.000738276,0.046292413,0.020810286,0.060651908,0.024715390,0.072392027,0.025545376,0.105465130,0.044709898,0.057055706,0.023238048
12,612898_dorsal_d1,0.060326861,0.011767227,32942,0.001636620,11.313708484,0.108519713,0.015081317,0.000887136,0.000584165,0.053873644,0.009964752,0.061454440,0.012774159,0.079222743,0.016485632,0.086440206,0.018159285,0.060326861,0.011767227
13,612898_dorsal_d2,0.058264793,0.008048225,33855,0.001039373,2.828427124,0.098146412,0.010590024,0.000622943,0.000358590,0.052202111,0.007232361,0.059464209,0.009240094,0.076335158,0.012628591,0.081487904,0.010975067,0.058264793,0.008048225
14,612898_dorsal_d3,0.063669049,0.010956112,36100,0.001401345,2.000000000,0.101135339,0.013856136,0.000815067,0.000455693,0.058033898,0.009856612,0.065053929,0.012127266,0.080126779,0.014925129,0.089401583,0.013758513,0.063669049,0.010956112
15,612898_side_w1,0.428528508,0.121059086,56393,0.022313818,45.254833888,0.110444392,0.202036675,0.011884510,0.006462556,0.434101596,0.124201669,0.428466363,0.122365017,0.380554130,0.101576557,0.473013853,0.120147503,0.428528508,0.121059086
16,612898_side_o1,0.070706049,0.009633861,3906,0.003839411,15.999999975,0.108741653,0.035307641,0.002076920,0.000907405,0.067426411,0.009691870,0.072227635,0.010957001,0.082561625,0.012548535,0.093974420,0.011688927,0.070706049,0.009633861
17,612898_ventral_b1,0.449997372,0.059600854,34596,0.007323811,45.254833888,0.099765390,0.073410335,0.004318255,0.001719127,0.467501546,0.061161098,0.448730806,0.058507677,0.386101052,0.055315473,0.454517736,0.099040687,0.449997372,0.059600854
18,612898_ventral_b2,0.398811471,0.059464162,33489,0.008242032,45.254833888,0.104449912,0.078908940,0.004641702,0.002567198,0.403128453,0.063362501,0.395544811,0.060467450,0.363171566,0.048994044,0.496671685,0.054656244,0.398811471,0.059464162
19,612898_ventral_b3,0.354183798,0.034196473,32761,0.003861524,63.999999831,0.089123596,0.043327741,0.002548691,0.001139838,0.359862472,0.037802046,0.353884977,0.037203984,0.321708234,0.029303003,0.385034292,0.028842881,0.354183798,0.034196473
20,612898_ventral_t1,0.054896116,0.011401196,135390,0.004810900,127.999999595,0.124734547,0.038569108,0.002268771,0.001471017,0.050122362,0.013386151,0.055998347,0.012033065,0.070948520,0.011202961,0.067052608,0.011277461,0.054896116,0.011401196
21,612911_crown_c1,0.068507531,0.021863900,79041,0.002780356,2.000000000,0.092174093,0.030164178,0.001774363,0.000864703,0.057593395,0.021607554,0.071603404,0.022614632,0.085562735,0.022614530,0.124859092,0.043403795,0.068507531,0.021863900
