 ,Label,lumMean,lumSD,area,maxPower,maxFreq,propPower,sumPower,meanPower,powerSD,lwMean,lwSD,mwMean,mwSD,swMean,swSD,uvMean,uvSD,dblMean,dblSD
1,608313_crown_c1,0.066189287,0.024517074,78131,0.003519593,45.254833888,0.078362093,0.044914489,0.002642029,0.000544897,0.057810022,0.020715362,0.070282399,0.027276958,0.076360990,0.027508546,0.107118186,0.031592475,0.066189287,0.024517074
2,608313_dorsal_d1,0.081747173,0.013663495,30624,0.002407314,2.000000000,0.152827649,0.015751824,0.000926578,0.000648697,0.074790011,0.015715357,0.084155016,0.014419954,0.095298484,0.011873484,0.112778302,0.016733416,0.081747173,0.013663495
3,608313_dorsal_d2,0.084751844,0.012814698,32580,0.002157376,2.000000000,0.167754207,0.012860338,0.000756490,0.000662556,0.076433367,0.015165920,0.087487091,0.013533766,0.099506208,0.011356554,0.116639088,0.016699490,0.084751844,0.012814698
4,608313_dorsal_d3,0.080535165,0.011232340,32942,0.001706173,2.828427124,0.121780188,0.014010265,0.000824133,0.000532221,0.075368878,0.012849515,0.082866782,0.011870460,0.091629982,0.010222246,0.115905432,0.016022939,0.080535165,0.011232340
5,608313_side_whole_image,0.441916525,0.255663970,18453816,0.036361985,362.038670535,0.125350751,0.290081907,0.017063642,0.012284116,0.433577453,0.259971081,0.445071462,0.252601229,0.397306965,0.220392158,0.346720546,0.238301970,0.441916525,0.255663970
6,608313_ventral_b1,0.417384232,0.036425712,32761,0.005723032,63.999999831,0.101223066,0.056538812,0.003325812,0.001591114,0.437568170,0.039893608,0.426848593,0.039284751,0.331854911,0.032181231,0.366664634,0.045254458,0.417384232,0.036425712
7,608313_ventral_b2,0.362544381,0.045066769,33122,0.005554954,15.999999975,0.091875002,0.060462084,0.003556593,0.001184924,0.366660139,0.047415310,0.367463109,0.047013150,0.317531083,0.038644507,0.401055671,0.040501437,0.362544381,0.045066769
8,608313_ventral_b3,0.359497104,0.038901760,33672,0.004461188,63.999999831,0.087120295,0.051207217,0.003012189,0.000922398,0.366881044,0.043574756,0.366207979,0.041468558,0.307159235,0.030661146,0.358591603,0.026191326,0.359497104,0.038901760
9,608313_ventral_t1,0.059368927,0.009253373,179236,0.004979873,127.999999595,0.139740298,0.035636632,0.002096272,0.001364448,0.054408385,0.011010400,0.061450601,0.010260966,0.071463079,0.010159289,0.071269429,0.009455040,0.059368927,0.009253373
10,608314_crown_c1,0.088405828,0.032345093,72505,0.004029892,45.254833888,0.090554550,0.044502367,0.002617786,0.001302752,0.073194123,0.024468791,0.093128776,0.035416585,0.105976403,0.041719327,0.176051661,0.053406699,0.088405828,0.032345093
11,608314_dorsal_d1,0.085465806,0.021630339,32942,0.003528463,2.000000000,0.210532576,0.016759703,0.000985865,0.000934877,0.080838224,0.019556321,0.088019144,0.024716103,0.094616222,0.021152711,0.107918984,0.012596990,0.085465806,0.021630339
12,608314_dorsal_d2,0.085737501,0.019485468,33124,0.003009405,2.000000000,0.191773998,0.015692457,0.000923086,0.000769246,0.082452836,0.019355871,0.088141110,0.022132589,0.093404124,0.017014173,0.109106866,0.013388264,0.085737501,0.019485468
13,608314_dorsal_d3,0.083596831,0.023629940,33487,0.004262694,2.000000000,0.264090015,0.016141064,0.000949474,0.001089727,0.078867464,0.022118929,0.086215789,0.026672029,0.092999501,0.020641939,0.110183547,0.013801092,0.083596831,0.023629940
14,608314_side_w1,0.296435522,0.085435327,17479,0.015891869,7.999999992,0.120773126,0.131584483,0.007740264,0.005167358,0.308409487,0.092600390,0.302001604,0.087414718,0.250487121,0.065447549,0.285879794,0.072370810,0.296435522,0.085435327
15,608314_side_o1,0.096666156,0.010548875,2746,0.006394015,15.999999975,0.111372305,0.057411174,0.003377128,0.001574879,0.099810991,0.014002530,0.098872807,0.011858675,0.093668479,0.010721551,0.110911941,0.011431096,0.096666156,0.010548875
16,608314_ventral_b1,0.361171788,0.046389269,32760,0.005304129,45.254833888,0.086565900,0.061272732,0.003604278,0.001259439,0.382240982,0.049746964,0.371316383,0.049069401,0.279679835,0.038307222,0.303277277,0.055248691,0.361171788,0.046389269
