 ,Label,lumMean,lumSD,area,maxPower,maxFreq,propPower,sumPower,meanPower,powerSD,lwMean,lwSD,mwMean,mwSD,swMean,swSD,uvMean,uvSD,dblMean,dblSD
1,608406_crown_c1,0.070968304,0.014436336,75407,0.002409249,31.999999932,0.088536584,0.027211903,0.001600700,0.000585966,0.059046439,0.012389101,0.075303939,0.015491949,0.086131125,0.020325247,0.145656676,0.028998160,0.070968304,0.014436336
2,608406_dorsal_d1,0.084252068,0.017588367,24180,0.002666377,2.000000000,0.166918649,0.015974112,0.000939654,0.000686142,0.077364750,0.017646242,0.087264123,0.019943950,0.095524175,0.018039769,0.122417681,0.019866678,0.084252068,0.017588367
3,608406_dorsal_d2,0.082692511,0.017642437,24180,0.002650090,2.000000000,0.192996246,0.013731303,0.000807724,0.000697442,0.075647245,0.017823328,0.085541054,0.020237106,0.094885529,0.018023963,0.115791588,0.016598756,0.082692511,0.017642437
4,608406_dorsal_d3,0.081642320,0.017191027,24180,0.002710511,2.000000000,0.192276383,0.014096952,0.000829232,0.000718561,0.074285050,0.017124308,0.084683840,0.019669641,0.093772276,0.018015463,0.115356266,0.016485342,0.081642320,0.017191027
5,608406_side_w1,0.346755689,0.107055065,23387,0.016967795,5.656854245,0.098381313,0.172469699,0.010145276,0.005991482,0.360283968,0.111278817,0.353167183,0.110704710,0.292141759,0.088555966,0.339719927,0.075197859,0.346755689,0.107055065
6,608406_side_o1,0.109703686,0.021617333,4250,0.007467223,11.313708484,0.104540350,0.071429102,0.004201712,0.001903760,0.118766858,0.026916881,0.112076020,0.022842673,0.094930238,0.015904276,0.108578210,0.010356799,0.109703686,0.021617333
7,608406_ventral_b1,0.410559180,0.038914574,24180,0.005905300,22.627416956,0.115500188,0.051128057,0.003007533,0.001768952,0.423511762,0.042771226,0.414953368,0.041013103,0.348300612,0.034177872,0.426506613,0.046202233,0.410559180,0.038914574
8,608406_ventral_b2,0.372042381,0.030572191,23104,0.003865292,15.999999975,0.090070224,0.042914200,0.002524365,0.000961021,0.379301593,0.033533334,0.376097459,0.032912523,0.324139933,0.027864168,0.406760367,0.024745316,0.372042381,0.030572191
9,608406_ventral_b3,0.306170343,0.046591214,24806,0.005186029,45.254833888,0.090181061,0.057506850,0.003382756,0.001311399,0.306440712,0.049208677,0.309270235,0.047925661,0.279788338,0.039197353,0.364242544,0.050702529,0.306170343,0.046591214
10,608406_ventral_t1,0.051449659,0.006128095,130899,0.005986022,127.999999595,0.156492622,0.038251147,0.002250067,0.001912367,0.045326986,0.006955699,0.053148468,0.007300666,0.067673959,0.009295971,0.065839915,0.007791785,0.051449659,0.006128095
11,608409_crown_c1,0.064643698,0.019003903,53279,0.002464284,2.000000000,0.106507546,0.023137176,0.001361010,0.000685511,0.056610262,0.016724195,0.068550674,0.020745579,0.074491949,0.022579777,0.105508596,0.027293392,0.064643698,0.019003903
12,608409_dorsal_d1,0.085821920,0.017207632,24180,0.002320465,15.999999975,0.100843760,0.023010499,0.001353559,0.000813535,0.081268875,0.017879834,0.088775409,0.018123644,0.093979240,0.016531001,0.120681303,0.022074294,0.085821920,0.017207632
13,608409_dorsal_d2,0.077995702,0.011397173,23107,0.001663557,2.000000000,0.118699905,0.014014813,0.000824401,0.000462074,0.071576252,0.010448122,0.080823964,0.012386912,0.090102668,0.014753022,0.107730130,0.012619664,0.077995702,0.011397173
14,608409_dorsal_d3,0.077857113,0.009519148,24336,0.001546531,2.000000000,0.148226349,0.010433577,0.000613740,0.000391022,0.070582858,0.007456719,0.080761810,0.010679450,0.091303039,0.014252286,0.110709096,0.010268944,0.077857113,0.009519148
15,608409_side_w1,0.415337608,0.113329397,21077,0.020540302,45.254833888,0.109331655,0.187871498,0.011051265,0.006333789,0.426162084,0.119184791,0.424650182,0.116869906,0.344745579,0.088497611,0.376967795,0.076300910,0.415337608,0.113329397
16,608409_side_o1,0.110499915,0.035786842,2752,0.010084439,15.999999975,0.110776669,0.091033961,0.005354939,0.002897947,0.117960520,0.041073677,0.112796072,0.036646158,0.099234727,0.024882570,0.106947740,0.013471532,0.110499915,0.035786842
17,608409_ventral_b1,0.383903476,0.052878492,23103,0.008076086,31.999999932,0.113597267,0.071094020,0.004182001,0.002223609,0.398076497,0.058258468,0.393163902,0.055651543,0.311383143,0.037801845,0.362083659,0.047675382,0.383903476,0.052878492
18,608409_ventral_b2,0.407537417,0.045748236,24025,0.005483457,11.313708484,0.089796294,0.061065516,0.003592089,0.001662782,0.419046722,0.048926317,0.418329750,0.048548418,0.330492786,0.037577397,0.389957396,0.054512193,0.407537417,0.045748236
19,608409_ventral_t1,0.052645316,0.009224283,65870,0.006111571,90.509667729,0.153972833,0.039692527,0.002334855,0.001649149,0.047648698,0.010732682,0.054468963,0.009936197,0.066736217,0.009129524,0.063326975,0.010811771,0.052645316,0.009224283
20,608411_crown_c1,0.073645141,0.027670957,77385,0.003331114,63.999999831,0.077151539,0.043176245,0.002539779,0.000887298,0.060660514,0.023249882,0.077398670,0.029803355,0.091351443,0.034173770,0.142036413,0.049179069,0.073645141,0.027670957
21,608411_dorsal_d1,0.085826961,0.020592670,23103,0.002602968,2.000000000,0.153453699,0.016962566,0.000997798,0.000590364,0.076966275,0.016149104,0.089231998,0.023559298,0.099623806,0.025478057,0.124366511,0.016925848,0.085826961,0.020592670
22,608411_dorsal_d2,0.085137861,0.022433754,23408,0.003333153,2.000000000,0.222731483,0.014964893,0.000880288,0.000875349,0.076662290,0.017795310,0.088275993,0.025150375,0.099171398,0.026945309,0.121024634,0.017126174,0.085137861,0.022433754
23,608411_dorsal_d3,0.084966732,0.020886795,23715,0.002958295,2.000000000,0.170839943,0.017316179,0.001018599,0.000692465,0.076623255,0.016648283,0.088185210,0.023637694,0.098662293,0.024329173,0.121749970,0.016698693,0.084966732,0.020886795
24,608411_side_w1,0.324431316,0.091145610,21518,0.014444654,45.254833888,0.093861053,0.153894013,0.009052589,0.004511471,0.331975828,0.092285573,0.331116913,0.094912451,0.278649022,0.074445419,0.312422013,0.065416759,0.324431316,0.091145610
25,608411_side_o1,0.087072846,0.014752170,5140,0.007292406,15.999999975,0.102606051,0.071071889,0.004180699,0.002164046,0.087632211,0.016765627,0.089740041,0.016520582,0.087473280,0.012296632,0.102961670,0.013135154,0.087072846,0.014752170
26,608411_ventral_b1,0.404555220,0.053396798,24336,0.007786098,45.254833888,0.114607203,0.067937250,0.003996309,0.002384216,0.414456780,0.061246225,0.413843491,0.056775956,0.334823731,0.035605862,0.427200479,0.032685492,0.404555220,0.053396798
27,608411_ventral_b2,0.291187680,0.038406448,24180,0.006179523,31.999999932,0.113773563,0.054314226,0.003194954,0.001867566,0.287200160,0.039662324,0.296957912,0.039968107,0.265762026,0.034047197,0.388811432,0.048470724,0.291187680,0.038406448
28,608411_ventral_b3,0.310253513,0.041625546,24024,0.005649876,45.254833888,0.105816411,0.053393192,0.003140776,0.001551318,0.313115181,0.045080975,0.317559891,0.043775203,0.269879535,0.032661962,0.332332606,0.036048030,0.310253513,0.041625546
29,608411_ventral_t1,0.053047264,0.006614157,60755,0.006374758,90.509667729,0.136849923,0.046582108,0.002740124,0.002085371,0.046710918,0.007616739,0.055083176,0.007710527,0.068423353,0.009023438,0.066476282,0.008934301,0.053047264,0.006614157
30,608417_crown_c1,0.074912161,0.019750921,31513,0.002709423,7.999999992,0.095173128,0.028468361,0.001674609,0.000936440,0.062717626,0.017040088,0.078691819,0.020798535,0.091617421,0.026929460,0.147777008,0.037525039,0.074912161,0.019750921
31,608417_dorsal_d1,0.070190248,0.013535856,23409,0.001837395,2.000000000,0.138658174,0.013251255,0.000779486,0.000447024,0.065439357,0.014831419,0.072491544,0.014992369,0.081657582,0.013077459,0.094277638,0.014035250,0.070190248,0.013535856
32,608417_dorsal_d2,0.069010923,0.012286250,23562,0.001808642,2.000000000,0.154652530,0.011694875,0.000687934,0.000525345,0.064232954,0.012989910,0.071352219,0.013850522,0.080255145,0.012247405,0.095208330,0.014324272,0.069010923,0.012286250
33,608417_dorsal_d3,0.077005432,0.013404592,23409,0.001885677,2.000000000,0.122205182,0.015430419,0.000907672,0.000514139,0.072881566,0.014831224,0.079509077,0.014747058,0.086141284,0.012926022,0.110465594,0.015657047,0.077005432,0.013404592
34,608417_side_w1,0.387741025,0.095190919,30991,0.019880124,45.254833888,0.119140519,0.166862833,0.009815461,0.005760815,0.397324813,0.099777930,0.396647297,0.097847694,0.322871761,0.074685473,0.393182061,0.067077231,0.387741025,0.095190919
35,608417_side_o1,0.139482088,0.044280106,2473,0.009966998,22.627416956,0.137652890,0.072406745,0.004259220,0.003054856,0.150799112,0.050834333,0.142285599,0.045303002,0.118600742,0.029897890,0.134949316,0.026337266,0.139482088,0.044280106
36,608417_ventral_b1,0.407180942,0.043897010,24025,0.005814319,15.999999975,0.100252867,0.057996531,0.003411561,0.001731017,0.414798402,0.049048366,0.411794005,0.046001037,0.350535907,0.033869719,0.439192230,0.036006588,0.407180942,0.043897010
37,608417_ventral_b2,0.323574546,0.029589370,24336,0.004339692,31.999999932,0.112521044,0.038567826,0.002268696,0.001350880,0.330386184,0.033181912,0.328973107,0.031777306,0.281308983,0.025132943,0.308917543,0.023975876,0.323574546,0.029589370
