 ,Label,lumMean,lumSD,area,maxPower,maxFreq,propPower,sumPower,meanPower,powerSD,lwMean,lwSD,mwMean,mwSD,swMean,swSD,uvMean,uvSD,dblMean,dblSD
1,608406_crown_c1,0.070970799,0.014557603,104537,0.002471518,31.999999932,0.088829226,0.027823254,0.001636662,0.000546769,0.059048280,0.012540031,0.075309358,0.015747874,0.086126705,0.020653307,0.145660093,0.029063547,0.070970799,0.014557603
2,608406_dorsal_d1,0.061907315,0.012300933,33124,0.001745136,2.828427124,0.105988312,0.016465365,0.000968551,0.000612912,0.051096645,0.011913209,0.058048155,0.014621702,0.103833766,0.013953903,0.116448398,0.014661080,0.061907315,0.012300933
3,608406_dorsal_d2,0.056872585,0.011087268,33856,0.001406561,2.828427124,0.099698551,0.014108136,0.000829890,0.000444164,0.045646252,0.011262736,0.052680194,0.013252083,0.101048151,0.013145431,0.108787940,0.012975244,0.056872585,0.011087268
4,608406_dorsal_d3,0.057835885,0.011801873,33856,0.001777692,2.828427124,0.122126718,0.014556128,0.000856243,0.000606594,0.046265684,0.011586935,0.053775223,0.014053149,0.101853328,0.013801277,0.112847817,0.012597555,0.057835885,0.011801873
5,608406_crown_c1,0.070970799,0.014557603,104537,0.002471518,31.999999932,0.088829226,0.027823254,0.001636662,0.000546769,0.059048280,0.012540031,0.075309358,0.015747874,0.086126705,0.020653307,0.145660093,0.029063547,0.070970799,0.014557603
6,608406_dorsal_d1,0.061907315,0.012300933,33124,0.001745136,2.828427124,0.105988312,0.016465365,0.000968551,0.000612912,0.051096645,0.011913209,0.058048155,0.014621702,0.103833766,0.013953903,0.116448398,0.014661080,0.061907315,0.012300933
7,608406_dorsal_d2,0.056872585,0.011087268,33856,0.001406561,2.828427124,0.099698551,0.014108136,0.000829890,0.000444164,0.045646252,0.011262736,0.052680194,0.013252083,0.101048151,0.013145431,0.108787940,0.012975244,0.056872585,0.011087268
8,608406_dorsal_d3,0.057835885,0.011801873,33856,0.001777692,2.828427124,0.122126718,0.014556128,0.000856243,0.000606594,0.046265684,0.011586935,0.053775223,0.014053149,0.101853328,0.013801277,0.112847817,0.012597555,0.057835885,0.011801873
9,608406_side_w1,0.365898339,0.097278034,29799,0.017186771,5.656854245,0.099154557,0.173333143,0.010196067,0.005948799,0.366771873,0.094570700,0.381433776,0.105453419,0.294943328,0.075336126,0.352139834,0.078394065,0.365898339,0.097278034
10,608406_side_o1,0.096196379,0.019810826,6165,0.006812883,15.999999975,0.112043501,0.060805697,0.003576806,0.001905931,0.106923915,0.023298919,0.092694364,0.022077832,0.100407016,0.017413938,0.101361288,0.013270544,0.096196379,0.019810826
11,608406_ventral_b1,0.458239187,0.044276222,33306,0.007177355,31.999999932,0.123482351,0.058124539,0.003419091,0.002306928,0.476709757,0.049040371,0.476985576,0.049334948,0.345710835,0.032354202,0.466759525,0.049828126,0.458239187,0.044276222
12,608406_ventral_b2,0.442276473,0.028945725,33856,0.004404897,15.999999975,0.116474132,0.037818676,0.002224628,0.001137501,0.455102615,0.032254088,0.460621240,0.034581845,0.340350832,0.024501881,0.473826037,0.030632900,0.442276473,0.028945725
13,608406_ventral_b3,0.268669194,0.037611852,35156,0.006818207,22.627416956,0.130265440,0.052340872,0.003078875,0.002143468,0.274709332,0.041409791,0.276529471,0.041169326,0.228131519,0.027463436,0.278143305,0.036983178,0.268669194,0.037611852
