 ,Label,lumMean,lumSD,area,maxPower,maxFreq,propPower,sumPower,meanPower,powerSD,lwMean,lwSD,mwMean,mwSD,swMean,swSD,uvMean,uvSD,dblMean,dblSD
1,613585_dorsal_d1,0.052424659,0.012403962,34225,0.001712876,22.627416956,0.096354532,0.017776810,0.001045695,0.000551002,0.047299767,0.010404444,0.054635308,0.013483689,0.067041463,0.017867179,0.086456233,0.021370583,0.052424659,0.012403962
2,613585_dorsal_d2,0.053093745,0.011576078,32400,0.001679191,15.999999975,0.105497562,0.015916868,0.000936286,0.000530876,0.047730748,0.009621856,0.055400582,0.012868862,0.067789539,0.017056687,0.087164949,0.019299026,0.053093745,0.011576078
3,613585_dorsal_d3,0.051695781,0.011314768,34595,0.001817809,22.627416956,0.121651333,0.014942778,0.000878987,0.000583107,0.046028354,0.009310140,0.053856207,0.012349481,0.067477778,0.017413843,0.086748381,0.020741279,0.051695781,0.011314768
4,613585_side_w1,0.355286627,0.080939320,49351,0.017620089,63.999999831,0.116183068,0.151657980,0.008921058,0.005070305,0.284717760,0.066937282,0.342529585,0.075772271,0.423109936,0.096324748,0.556277033,0.119653547,0.355286627,0.080939320
5,613585_side_o1,0.042942272,0.015772323,6455,0.005303270,15.999999975,0.095317119,0.055638165,0.003272833,0.001130729,0.033689752,0.012688017,0.046453885,0.016706392,0.060508112,0.022687356,0.085138184,0.027730239,0.042942272,0.015772323
6,613585_ventral_b1,0.465444868,0.048423805,33124,0.005834949,90.509667729,0.100542779,0.058034495,0.003413794,0.001473472,0.490986350,0.051984108,0.469523491,0.050505425,0.376671891,0.042343995,0.367667687,0.043136186,0.465444868,0.048423805
7,613585_ventral_b2,0.515662531,0.030384221,33124,0.004056493,22.627416956,0.093453160,0.043406697,0.002553335,0.000936109,0.532504583,0.034607327,0.515778771,0.035366573,0.435654364,0.035030655,0.471831586,0.052915046,0.515662531,0.030384221
8,613585_ventral_b3,0.398048498,0.039345101,33855,0.006176298,63.999999831,0.118326621,0.052197030,0.003070414,0.001671816,0.399043119,0.042142429,0.400209547,0.042388521,0.358848966,0.036088142,0.373389587,0.027455926,0.398048498,0.039345101
9,613585_ventral_t1,0.034000648,0.007248347,206518,0.008705844,90.509667729,0.124499868,0.069926530,0.004113325,0.003254985,0.032798772,0.007769720,0.035670731,0.008251365,0.044304197,0.010214236,0.045913529,0.009542642,0.034000648,0.007248347
10,613586_dorsal_d1,0.061946328,0.012065311,33855,0.002056563,22.627416956,0.123663857,0.016630263,0.000978251,0.000628043,0.056230049,0.009937227,0.064608322,0.013038281,0.075491805,0.015933585,0.099461086,0.022613897,0.061946328,0.012065311
11,613586_dorsal_d2,0.057894477,0.008868800,33488,0.001385905,22.627416956,0.120397459,0.011511080,0.000677122,0.000433748,0.053769138,0.007813345,0.060366615,0.009897857,0.069648373,0.012019928,0.092451332,0.016354845,0.057894477,0.008868800
12,613586_dorsal_d3,0.061223318,0.009816374,33489,0.001272428,31.999999932,0.099282143,0.012816286,0.000753899,0.000400279,0.055757852,0.008509860,0.063903488,0.010718475,0.074343159,0.013526456,0.098688039,0.018762680,0.061223318,0.009816374
13,613586_side_w1,0.533481496,0.142556670,62102,0.032259466,63.999999831,0.125409724,0.257232570,0.015131328,0.009471645,0.544280242,0.148426057,0.531264158,0.142197734,0.455039416,0.113954225,0.521690293,0.125368922,0.533481496,0.142556670
14,613586_side_o1,0.078911665,0.051573602,7990,0.013598052,11.313708484,0.103098845,0.131893348,0.007758432,0.003909138,0.083647728,0.057035732,0.080562534,0.052062871,0.077040575,0.039024343,0.089180346,0.021349871,0.078911665,0.051573602
15,613586_ventral_b1,0.547068101,0.036077614,34968,0.005442188,22.627416956,0.111566417,0.048779804,0.002869400,0.001435900,0.562499193,0.036395851,0.541764027,0.038802202,0.470578961,0.042702442,0.527361818,0.060051294,0.547068101,0.036077614
16,613586_ventral_b2,0.563016891,0.036146668,33856,0.005168671,45.254833888,0.106925626,0.048338940,0.002843467,0.001558740,0.575320172,0.040279554,0.558647769,0.041256537,0.480671556,0.037225068,0.574493002,0.037412160,0.563016891,0.036146668
17,613586_ventral_b3,0.547409978,0.037603321,34225,0.004467632,63.999999831,0.086878236,0.051424066,0.003024945,0.001010847,0.553160291,0.041708855,0.539051382,0.042544218,0.480860234,0.037138831,0.591329630,0.029262814,0.547409978,0.037603321
18,613586_ventral_t1,0.036237340,0.010763026,191441,0.001772701,45.254833888,0.081108483,0.021855924,0.001285643,0.000301186,0.035982021,0.012067930,0.038742356,0.011791090,0.041950488,0.011882803,0.048368685,0.010805284,0.036237340,0.010763026
19,613591_dorsal_d1,0.065245121,0.006171752,33489,0.000794585,7.999999992,0.110831906,0.007169276,0.000421722,0.000281705,0.058763584,0.006891308,0.067598436,0.008022119,0.080682918,0.011170700,0.107121957,0.008752984,0.065245121,0.006171752
20,613591_dorsal_d2,0.065009988,0.007234491,34225,0.000987628,11.313708484,0.109465401,0.009022286,0.000530723,0.000337537,0.056835221,0.006932086,0.067384204,0.008814451,0.083289570,0.013056169,0.108461555,0.012526235,0.065009988,0.007234491
21,613591_dorsal_d3,0.063576230,0.005934085,33856,0.000715903,7.999999992,0.101077930,0.007082681,0.000416628,0.000245025,0.058008823,0.006498431,0.065730783,0.007691326,0.078319623,0.011178440,0.103952377,0.008779361,0.063576230,0.005934085
22,613591_side_w1,0.512302858,0.121563990,66052,0.027248969,63.999999831,0.133723563,0.203770884,0.011986523,0.008608956,0.512534825,0.125305884,0.506737837,0.119724331,0.452753410,0.096000857,0.576292359,0.113095271,0.512302858,0.121563990
23,613591_side_o1,0.066819926,0.018231535,8964,0.011537938,15.999999975,0.105406759,0.109461085,0.006438887,0.003156429,0.068165184,0.020620857,0.068807982,0.018500375,0.070510538,0.014913732,0.095300421,0.020015611,0.066819926,0.018231535
