 ,Label,lumMean,lumSD,area,maxPower,maxFreq,propPower,sumPower,meanPower,powerSD,lwMean,lwSD,mwMean,mwSD,swMean,swSD,uvMean,uvSD,dblMean,dblSD
1,612854_crown_c1,0.065102428,0.026787402,108885,0.002983679,11.313708484,0.087914539,0.033938401,0.001996377,0.000927042,0.051313317,0.023316864,0.069363705,0.028836404,0.083524411,0.029554556,0.137545435,0.045837540,0.065102428,0.026787402
2,612854_dorsal_d1,0.047040214,0.014711600,34782,0.001819869,31.999999932,0.097819576,0.018604340,0.001094373,0.000612104,0.044155665,0.015040296,0.049413720,0.015663452,0.056872053,0.015955162,0.071261087,0.024208130,0.047040214,0.014711600
3,612854_dorsal_d2,0.059615575,0.017685385,32220,0.002767847,31.999999932,0.129543948,0.021366083,0.001256828,0.000874369,0.056265463,0.018180503,0.062283374,0.018832093,0.068642694,0.018347305,0.090916937,0.027838489,0.059615575,0.017685385
4,612854_dorsal_d3,0.055053262,0.013983662,32580,0.001803407,2.000000000,0.106944573,0.016863009,0.000991942,0.000581000,0.053088839,0.015198911,0.057647489,0.015069069,0.062237901,0.014728519,0.081767195,0.023316346,0.055053262,0.013983662
5,612854_side_w1,0.477823833,0.122394473,64886,0.026878119,63.999999831,0.124954961,0.215102458,0.012653086,0.007626294,0.491147190,0.129311104,0.479731481,0.123513128,0.404720803,0.094865634,0.457219554,0.097722716,0.477823833,0.122394473
6,612854_side_o1,0.051293605,0.005266523,11351,0.002082545,22.627416956,0.092892813,0.022418793,0.001318753,0.000436653,0.051384176,0.006222443,0.053357041,0.006193383,0.056998678,0.007493038,0.073995944,0.006861294,0.051293605,0.005266523
7,612854_ventral_b1,0.431296291,0.029625785,32761,0.003985546,31.999999932,0.097014540,0.041081941,0.002416585,0.001235038,0.441150428,0.030910196,0.434922438,0.031599628,0.368079888,0.030531020,0.425302982,0.049906122,0.431296291,0.029625785
8,612854_ventral_b2,0.444670556,0.059183306,35156,0.009151420,31.999999932,0.125544115,0.072894058,0.004287886,0.002902772,0.445195367,0.064675494,0.441686984,0.060328949,0.399113370,0.046316714,0.538364654,0.048686535,0.444670556,0.059183306
9,612854_ventral_b3,0.383054836,0.049839136,33491,0.008853719,45.254833888,0.113081042,0.078295340,0.004605608,0.002444041,0.378392770,0.052610057,0.379962630,0.050061481,0.357630230,0.042922130,0.479921697,0.047400846,0.383054836,0.049839136
10,612854_ventral_t1,0.031633886,0.005316516,232861,0.008805772,127.999999595,0.181684285,0.048467437,0.002851026,0.002942778,0.030560172,0.005857615,0.033803540,0.005971058,0.039272287,0.007036519,0.041094888,0.008440614,0.031633886,0.005316516
11,612855_dorsal_d1,0.068647706,0.007731144,33856,0.001044826,31.999999932,0.106755345,0.009787109,0.000575712,0.000312013,0.062961647,0.008068896,0.069936601,0.009120231,0.085151644,0.011516814,0.096614249,0.012518016,0.068647706,0.007731144
