 ,Label,lumMean,lumSD,area,maxPower,maxFreq,propPower,sumPower,meanPower,powerSD,lwMean,lwSD,mwMean,mwSD,swMean,swSD,uvMean,uvSD,dblMean,dblSD
1,614287_crown_c1,0.065497888,0.027525533,92695,0.003073344,7.999999992,0.085289277,0.036034357,0.002119668,0.000762958,0.053811569,0.025263533,0.069162479,0.028729735,0.081854133,0.031869877,0.137417718,0.051269261,0.065497888,0.027525533
2,614287_side_w1,0.363777469,0.100126672,32467,0.020064623,63.999999831,0.117572759,0.170657072,0.010038651,0.006041943,0.358034328,0.097216243,0.370568777,0.102520440,0.322469378,0.089494507,0.444604453,0.109772354,0.363777469,0.100126672
3,614287_side_o1,0.068324144,0.024785002,7893,0.004091133,7.999999992,0.141089320,0.028996755,0.001705691,0.001481099,0.065801502,0.021769018,0.071525760,0.026701650,0.073784091,0.030339241,0.101881555,0.036039002,0.068324144,0.024785002
4,614287_ventral_b1,0.434632329,0.044773552,33488,0.006128127,31.999999932,0.100649998,0.060885511,0.003581501,0.001645235,0.461140015,0.046282876,0.444427264,0.047463906,0.336087965,0.043939199,0.332450807,0.056144170,0.434632329,0.044773552
5,614287_ventral_b2,0.481338872,0.060852791,33124,0.008409272,31.999999932,0.107108526,0.078511695,0.004618335,0.002769874,0.487620478,0.066411845,0.485430109,0.063463730,0.410222175,0.049392411,0.515364831,0.053416699,0.481338872,0.060852791
6,614287_ventral_b3,0.355851122,0.044210279,34596,0.006861990,45.254833888,0.111248469,0.061681658,0.003628333,0.002229414,0.357793665,0.047633037,0.362447450,0.046891183,0.311166622,0.038021398,0.372599920,0.027317652,0.355851122,0.044210279
7,614287_ventral_t1,0.039689068,0.012913699,165605,0.010855579,90.509667729,0.133409171,0.081370564,0.004786504,0.003542680,0.040046209,0.015313196,0.041943113,0.013767779,0.044628486,0.011484409,0.047814763,0.009442572,0.039689068,0.012913699
8,614288_crown_c1,0.055932204,0.020109837,159336,0.002745963,22.627416956,0.080228366,0.034226836,0.002013343,0.000745673,0.044427568,0.018909144,0.059302686,0.020546385,0.074434220,0.024083937,0.129533204,0.052473934,0.055932204,0.020109837
9,614288_dorsal_d1,0.067262879,0.016393834,31862,0.002803653,2.000000000,0.200013838,0.014017295,0.000824547,0.000694687,0.060292805,0.011681043,0.070214973,0.018200389,0.080879838,0.024835738,0.109693852,0.013301194,0.067262879,0.016393834
10,614288_dorsal_d2,0.071294981,0.018680017,33489,0.003038990,2.000000000,0.184575995,0.016464706,0.000968512,0.000854326,0.063502341,0.013643781,0.074313421,0.020602723,0.085833363,0.027804690,0.119653491,0.017621814,0.071294981,0.018680017
11,614288_dorsal_d3,0.065873472,0.015840849,33306,0.002747808,2.000000000,0.202092533,0.013596784,0.000799811,0.000712496,0.058815711,0.010994817,0.068909308,0.017504032,0.079543133,0.024921551,0.110227058,0.014178553,0.065873472,0.015840849
12,614288_side_w1,0.349781941,0.070306253,39681,0.015054257,45.254833888,0.108730818,0.138454370,0.008144375,0.004597300,0.347691665,0.069638019,0.351528216,0.072165289,0.322829437,0.066266435,0.386312827,0.066821443,0.349781941,0.070306253
