 ,Label,lumMean,lumSD,area,maxPower,maxFreq,propPower,sumPower,meanPower,powerSD,lwMean,lwSD,mwMean,mwSD,swMean,swSD,uvMean,uvSD,dblMean,dblSD
1,608335_crown_c1,0.067,0.021,84689,0.005,90.510,0.083,0.062,0.004,0.001,0.054,0.016,0.071,0.022,0.088,0.030,0.146,0.044,0.067,0.021
2,608335_dorsal_d1,0.076,0.009,30800,0.002,2.000,0.165,0.010,5.822E-4,4.788E-4,0.068,0.007,0.078,0.010,0.092,0.014,0.108,0.010,0.076,0.009
3,608335_dorsal_d2,0.081,0.010,30800,0.002,2.000,0.148,0.011,6.526E-4,4.855E-4,0.072,0.008,0.083,0.011,0.097,0.015,0.117,0.011,0.081,0.010
4,608335_dorsal_d3,0.080,0.011,28730,0.002,2.000,0.179,0.011,6.499E-4,5.840E-4,0.071,0.008,0.082,0.012,0.096,0.016,0.114,0.011,0.080,0.011
5,608335_side_w1,0.470,0.115,35232,0.022,45.255,0.124,0.173,0.010,0.006,0.487,0.125,0.478,0.120,0.383,0.080,0.410,0.103,0.470,0.115
6,608335_side_o1,0.086,0.011,18029,0.004,45.255,0.109,0.041,0.002,0.001,0.087,0.012,0.087,0.013,0.091,0.011,0.102,0.011,0.086,0.011
7,608335_ventral_b1,0.358,0.044,32220,0.006,11.314,0.094,0.065,0.004,0.002,0.379,0.046,0.366,0.047,0.280,0.042,0.300,0.057,0.358,0.044
8,608335_ventral_b2,0.381,0.065,31152,0.008,45.255,0.095,0.085,0.005,0.002,0.392,0.069,0.386,0.066,0.323,0.052,0.385,0.076,0.381,0.065
9,608335_ventral_b3,0.383,0.060,33124,0.010,45.255,0.122,0.078,0.005,0.003,0.388,0.064,0.389,0.063,0.330,0.046,0.407,0.039,0.383,0.060
10,608335_ventral_t1,0.048,0.006,87733,0.001,64.000,0.095,0.014,8.460E-4,3.291E-4,0.043,0.007,0.050,0.007,0.061,0.008,0.057,0.008,0.048,0.006
11,608336_crown_c1,0.072,0.030,115372,0.004,64.000,0.086,0.043,0.003,0.001,0.057,0.024,0.076,0.033,0.092,0.037,0.154,0.052,0.072,0.030
12,608336_dorsal_d1,0.079,0.012,33124,0.002,8.000,0.108,0.016,9.509E-4,6.180E-4,0.073,0.011,0.082,0.013,0.093,0.013,0.113,0.015,0.079,0.012
13,608336_dorsal_d2,0.082,0.017,35344,0.002,11.314,0.094,0.024,0.001,8.001E-4,0.077,0.016,0.084,0.018,0.095,0.018,0.110,0.022,0.082,0.017
14,608336_dorsal_d3,0.074,0.013,33489,0.002,11.314,0.106,0.018,0.001,6.021E-4,0.069,0.012,0.077,0.014,0.086,0.014,0.103,0.015,0.074,0.013
15,608336_side_w1,0.453,0.106,67042,0.020,64.000,0.104,0.193,0.011,0.006,0.478,0.115,0.463,0.110,0.353,0.071,0.354,0.082,0.453,0.106
16,608336_side_o1,0.081,0.006,7739,0.003,22.627,0.107,0.032,0.002,9.428E-4,0.081,0.008,0.082,0.007,0.088,0.008,0.095,0.005,0.081,0.006
17,608336_ventral_b1,0.444,0.033,30102,0.005,45.255,0.118,0.046,0.003,0.002,0.468,0.036,0.448,0.037,0.361,0.032,0.381,0.045,0.444,0.033
18,608336_ventral_b2,0.472,0.047,31152,0.006,32.000,0.092,0.065,0.004,0.002,0.488,0.051,0.471,0.050,0.408,0.043,0.473,0.049,0.472,0.047
19,608336_ventral_b3,0.405,0.048,35719,0.006,45.255,0.101,0.061,0.004,0.001,0.411,0.051,0.403,0.050,0.366,0.040,0.454,0.038,0.405,0.048
20,608336_ventral_t1,0.048,0.005,77405,6.030E-4,2.000,0.095,0.006,3.718E-4,1.674E-4,0.042,0.006,0.048,0.006,0.067,0.009,0.055,0.005,0.048,0.005
21,608338_crown_c1,0.081,0.028,76993,0.003,2.000,0.086,0.036,0.002,9.805E-4,0.066,0.024,0.086,0.031,0.100,0.033,0.170,0.045,0.081,0.028
22,608338_dorsal_d1,0.077,0.010,34225,0.001,2.000,0.110,0.013,7.416E-4,4.480E-4,0.071,0.009,0.080,0.011,0.091,0.013,0.110,0.013,0.077,0.010
23,608338_dorsal_d2,0.085,0.008,31152,0.001,2.828,0.123,0.011,6.207E-4,3.722E-4,0.075,0.007,0.088,0.010,0.100,0.013,0.124,0.012,0.085,0.008
24,608338_dorsal_d3,0.078,0.008,33306,0.001,2.000,0.124,0.010,5.610E-4,4.094E-4,0.070,0.008,0.080,0.009,0.093,0.012,0.106,0.009,0.078,0.008
25,608338_side_w1,0.511,0.102,59852,0.023,45.255,0.109,0.211,0.012,0.007,0.529,0.109,0.522,0.107,0.410,0.068,0.433,0.086,0.511,0.102
26,608338_side_o1,0.078,0.010,4366,0.007,16.000,0.121,0.055,0.003,0.002,0.076,0.013,0.080,0.011,0.087,0.008,0.100,0.012,0.078,0.010
27,608338_ventral_b1,0.387,0.042,32220,0.006,32.000,0.107,0.057,0.003,0.001,0.402,0.045,0.394,0.045,0.322,0.034,0.346,0.046,0.387,0.042
28,608338_ventral_b2,0.467,0.041,32400,0.006,32.000,0.124,0.053,0.003,0.002,0.473,0.044,0.472,0.044,0.400,0.034,0.547,0.040,0.467,0.041
29,608338_ventral_b3,0.395,0.046,34225,0.007,22.627,0.113,0.061,0.004,0.002,0.402,0.050,0.402,0.049,0.337,0.038,0.417,0.048,0.395,0.046
30,608338_ventral_t1,0.052,0.005,101278,5.879E-4,45.255,0.077,0.008,4.485E-4,1.560E-4,0.047,0.006,0.054,0.007,0.067,0.009,0.062,0.006,0.052,0.005
31,608340_crown_c1,0.062,0.021,109825,0.004,90.510,0.094,0.040,0.002,8.684E-4,0.052,0.018,0.066,0.021,0.074,0.024,0.111,0.038,0.062,0.021
32,608340_dorsal_d1,0.084,0.010,32041,0.002,2.000,0.153,0.011,6.663E-4,5.159E-4,0.079,0.008,0.086,0.011,0.096,0.013,0.114,0.010,0.084,0.010
33,608340_dorsal_d2,0.081,0.010,32041,0.002,2.000,0.127,0.012,7.329E-4,4.605E-4,0.075,0.008,0.083,0.011,0.094,0.013,0.103,0.016,0.081,0.010
34,608340_dorsal_d3,0.084,0.011,38612,0.002,2.828,0.108,0.015,8.593E-4,4.880E-4,0.080,0.011,0.086,0.012,0.094,0.013,0.113,0.013,0.084,0.011
35,608340_side_w1,0.414,0.099,27006,0.015,45.255,0.095,0.162,0.010,0.006,0.434,0.106,0.426,0.104,0.321,0.069,0.356,0.088,0.414,0.099
36,608340_side_o1,0.089,0.009,19914,0.010,32.000,0.126,0.079,0.005,0.003,0.088,0.009,0.091,0.011,0.094,0.011,0.109,0.009,0.089,0.009
37,608340_ventral_b1,0.443,0.034,33306,0.005,32.000,0.118,0.043,0.003,0.002,0.474,0.039,0.458,0.037,0.325,0.033,0.363,0.043,0.443,0.034
38,608340_ventral_b2,0.422,0.025,33487,0.003,32.000,0.088,0.036,0.002,8.254E-4,0.443,0.030,0.434,0.030,0.327,0.024,0.360,0.027,0.422,0.025
39,608340_ventral_b3,0.372,0.051,33306,0.007,32.000,0.110,0.068,0.004,0.002,0.378,0.056,0.377,0.054,0.321,0.038,0.406,0.039,0.372,0.051
40,608340_ventral_t1,0.050,0.006,153773,8.810E-4,90.510,0.085,0.010,6.064E-4,1.327E-4,0.044,0.007,0.052,0.007,0.066,0.009,0.061,0.007,0.050,0.006
41,608346_crown_c1,0.086,0.033,103706,0.004,90.510,0.081,0.048,0.003,7.680E-4,0.071,0.030,0.090,0.036,0.105,0.032,0.174,0.051,0.086,0.033
42,608346_dorsal_d1,0.087,0.015,35532,0.002,2.000,0.131,0.018,0.001,5.762E-4,0.082,0.017,0.089,0.016,0.099,0.012,0.119,0.021,0.087,0.015
43,608346_dorsal_d2,0.086,0.015,33488,0.002,2.000,0.141,0.018,0.001,5.562E-4,0.081,0.017,0.088,0.016,0.097,0.012,0.112,0.021,0.086,0.015
44,608346_dorsal_d3,0.092,0.017,35344,0.003,2.000,0.153,0.018,0.001,8.598E-4,0.088,0.021,0.095,0.017,0.101,0.012,0.114,0.024,0.092,0.017
45,608346_side_w1,0.417,0.069,36463,0.016,45.255,0.111,0.140,0.008,0.005,0.427,0.072,0.424,0.072,0.350,0.058,0.410,0.093,0.417,0.069
46,608346_side_o1,0.084,0.009,19147,0.008,32.000,0.111,0.072,0.004,0.002,0.085,0.011,0.086,0.010,0.089,0.010,0.105,0.011,0.084,0.009
47,608346_ventral_b1,0.388,0.032,34225,0.005,32.000,0.108,0.043,0.003,0.001,0.403,0.031,0.394,0.033,0.321,0.037,0.388,0.069,0.388,0.032
48,608346_ventral_b2,0.394,0.048,29412,0.008,45.255,0.125,0.064,0.004,0.002,0.406,0.053,0.400,0.051,0.328,0.037,0.376,0.037,0.394,0.048
49,608346_ventral_b3,0.310,0.043,32761,0.008,45.255,0.128,0.058,0.003,0.002,0.318,0.047,0.316,0.045,0.264,0.032,0.281,0.028,0.310,0.043
