 ,Label,lumMean,lumSD,area,maxPower,maxFreq,propPower,sumPower,meanPower,powerSD,lwMean,lwSD,mwMean,mwSD,swMean,swSD,uvMean,uvSD,dblMean,dblSD
1,608335_crown_c1,0.067446952,0.021136959,84689,0.005185652,90.509667729,0.083429478,0.062156118,0.003656242,0.001073565,0.053847931,0.015500224,0.070684350,0.022289344,0.088293172,0.030238670,0.146269956,0.043681760,0.067446952,0.021136959
2,608335_dorsal_d1,0.075631812,0.009068486,30800,0.001632187,2.000000000,0.164904617,0.009897762,0.000582221,0.000478824,0.067534274,0.006861297,0.077946282,0.010042533,0.092127690,0.013880100,0.107924219,0.010140982,0.075631812,0.009068486
3,608335_dorsal_d2,0.080707168,0.009887107,30800,0.001644507,2.000000000,0.148222186,0.011094878,0.000652640,0.000485496,0.071969087,0.007744081,0.083236615,0.010861149,0.097471107,0.015126025,0.117251263,0.010894064,0.080707168,0.009887107
4,608335_dorsal_d3,0.079604481,0.010797761,28730,0.001980441,2.000000000,0.179264086,0.011047615,0.000649860,0.000584036,0.071070923,0.007735048,0.082166405,0.011847261,0.096006189,0.016063011,0.114456906,0.011003256,0.079604481,0.010797761
5,608335_side_w1,0.469940241,0.115264057,35232,0.021584871,45.254833888,0.124488987,0.173387797,0.010199282,0.006340271,0.487130171,0.125268867,0.477512983,0.119558565,0.383089998,0.079755644,0.409536983,0.103391464,0.469940241,0.115264057
6,608335_side_o1,0.086129318,0.011384470,18029,0.004433225,45.254833888,0.109161990,0.040611431,0.002388908,0.001091553,0.086957220,0.012180372,0.087399729,0.012975435,0.090630281,0.010952210,0.101998516,0.011180547,0.086129318,0.011384470
7,608335_ventral_b1,0.328391041,0.040820912,32220,0.005600956,11.313708484,0.094190760,0.059463970,0.003497881,0.001551957,0.347676723,0.042283274,0.337056250,0.043559238,0.258418010,0.038404322,0.298620657,0.056418801,0.328391041,0.040820912
8,608335_ventral_b2,0.349792821,0.059467918,31152,0.007447489,45.254833888,0.094901472,0.078476009,0.004616236,0.002131493,0.359423460,0.063327908,0.355746074,0.060684680,0.297827265,0.047522399,0.383295775,0.075633333,0.349792821,0.059467918
9,608335_ventral_b3,0.351584777,0.055349842,33124,0.008776211,45.254833888,0.121937835,0.071972831,0.004233696,0.002383012,0.355690749,0.059092580,0.358773077,0.057944380,0.304363351,0.042130380,0.405786542,0.039016474,0.351584777,0.055349842
10,608335_ventral_t1,0.043719250,0.005831298,87733,0.001255716,63.999999831,0.095116790,0.013201834,0.000776578,0.000301939,0.039004482,0.006780565,0.045848405,0.006637009,0.056822516,0.007331161,0.056699822,0.007497069,0.043719250,0.005831298
11,608336_crown_c1,0.071878689,0.030350860,115372,0.003709358,63.999999831,0.085990016,0.043137081,0.002537475,0.001030380,0.056603424,0.024458370,0.075814374,0.033348989,0.092466907,0.036872382,0.154088834,0.052099143,0.071878689,0.030350860
12,608336_dorsal_d1,0.079393867,0.011998271,33124,0.001749028,7.999999992,0.108199523,0.016164840,0.000950873,0.000618030,0.073127532,0.011349231,0.081747429,0.012671964,0.092763444,0.013218194,0.113384103,0.015156250,0.079393867,0.011998271
13,608336_dorsal_d2,0.082205722,0.017389763,35344,0.002263527,11.313708484,0.093748245,0.024144740,0.001420279,0.000800107,0.076607505,0.016253157,0.084380749,0.018006194,0.094725134,0.018377984,0.109698752,0.022350407,0.082205722,0.017389763
14,608336_dorsal_d3,0.074281658,0.013000807,33489,0.001933711,11.313708484,0.106030032,0.018237390,0.001072788,0.000602083,0.069026077,0.012499457,0.076619535,0.013663674,0.086342745,0.013830378,0.103266693,0.014561055,0.074281658,0.013000807
15,608336_side_w1,0.452717358,0.105755492,67042,0.020086921,63.999999831,0.103907720,0.193315001,0.011371471,0.006026239,0.477749325,0.114800980,0.462578367,0.110371083,0.353451322,0.070695726,0.353924578,0.082182102,0.452717358,0.105755492
16,608336_side_o1,0.080961213,0.006033192,7739,0.003424814,22.627416956,0.106906666,0.032035548,0.001884444,0.000942787,0.080823493,0.007503503,0.082035513,0.007228500,0.088324597,0.007546547,0.094560115,0.005078852,0.080961213,0.006033192
17,608336_ventral_b1,0.353021779,0.026423450,30102,0.004299631,45.254833888,0.118282684,0.036350467,0.002138263,0.001280484,0.371608901,0.028842889,0.359419425,0.029247290,0.289946997,0.025325384,0.376995143,0.044633225,0.353021779,0.026423450
18,608336_ventral_b2,0.375193263,0.037701643,31152,0.004778774,31.999999932,0.092260025,0.051796804,0.003046871,0.001556980,0.385808367,0.040825735,0.377536099,0.040010766,0.327465300,0.034071564,0.467733108,0.048451354,0.375193263,0.037701643
19,608336_ventral_b3,0.322045129,0.037837309,35719,0.004913711,45.254833888,0.100635762,0.048826683,0.002872158,0.001190275,0.324681351,0.040369420,0.323897563,0.039814843,0.293732028,0.032307280,0.449152840,0.037203319,0.322045129,0.037837309
