 ,Label,lumMean,lumSD,area,maxPower,maxFreq,propPower,sumPower,meanPower,powerSD,lwMean,lwSD,mwMean,mwSD,swMean,swSD,uvMean,uvSD,dblMean,dblSD
1,606681_crown_c1,0.061744498,0.021473359,70838,0.003162314,45.254833888,0.075509320,0.041879784,0.002463517,0.000567298,0.051111349,0.017502975,0.065835389,0.022488496,0.075412891,0.027529564,0.120368363,0.041229392,0.061744498,0.021473359
2,606681_dorsal_d1,0.053731812,0.007647197,35156,0.001204534,31.999999932,0.118029987,0.010205326,0.000600313,0.000371911,0.047277440,0.006435827,0.055425715,0.008215664,0.071063056,0.010359419,0.078263828,0.014688338,0.053731812,0.007647197
3,606681_dorsal_d2,0.051972000,0.007243488,33489,0.001106816,22.627416956,0.104341067,0.010607676,0.000623981,0.000345668,0.046452775,0.006595936,0.053629265,0.007810297,0.068076574,0.009450467,0.072977250,0.012011484,0.051972000,0.007243488
4,606681_dorsal_d3,0.058952267,0.010614381,35342,0.001618423,22.627416956,0.112471246,0.014389662,0.000846451,0.000492795,0.052839984,0.009072851,0.060814399,0.011240122,0.074927709,0.013082120,0.085681802,0.018105159,0.058952267,0.010614381
5,606681_side_w1,0.444919546,0.109530776,83816,0.025095506,90.509667729,0.124443023,0.201662619,0.011862507,0.007312403,0.445949011,0.115925593,0.447195288,0.110853687,0.393588171,0.084211097,0.501309288,0.116829690,0.444919546,0.109530776
6,606681_side_o1,0.070666674,0.016267627,15569,0.010520547,22.627416956,0.108886921,0.096619014,0.005683471,0.002965218,0.067471238,0.018399158,0.072199672,0.016687962,0.082083436,0.014124358,0.090365725,0.016353047,0.070666674,0.016267627
7,606681_ventral_b1,0.390163635,0.038622384,33672,0.005125182,45.254833888,0.098028105,0.052282783,0.003075458,0.001490420,0.403850557,0.042212275,0.393398977,0.040994804,0.334169620,0.037662642,0.394368051,0.074389708,0.390163635,0.038622384
8,606681_ventral_b2,0.515228633,0.038001888,34040,0.005577446,31.999999932,0.107600773,0.051834631,0.003049096,0.001443383,0.536168994,0.041309817,0.519211335,0.041248629,0.427057987,0.034984256,0.488907719,0.035219196,0.515228633,0.038001888
9,606681_ventral_b3,0.443678976,0.039569686,33854,0.004572631,45.254833888,0.093166131,0.049080396,0.002887082,0.001253894,0.456342602,0.044255152,0.447361220,0.042946417,0.379993975,0.033062869,0.425592415,0.029003850,0.443678976,0.039569686
10,606681_ventral_t1,0.055293431,0.012741897,158381,0.006091075,90.509667729,0.115417998,0.052774046,0.003104356,0.001883579,0.051197899,0.015910084,0.056837790,0.013437562,0.068084025,0.011757124,0.062929966,0.011685273,0.055293431,0.012741897
11,606682_crown_c1,0.066986760,0.022159488,79042,0.002675863,2.000000000,0.090453654,0.029582699,0.001740159,0.000749951,0.056525529,0.022810320,0.070843180,0.023464919,0.081086005,0.021197791,0.122452204,0.041276900,0.066986760,0.022159488
12,606682_dorsal_d1,0.046765638,0.004042175,34782,0.000503183,7.999999992,0.108063269,0.004656377,0.000273905,0.000211054,0.042261501,0.004556187,0.048595940,0.004983330,0.060611359,0.006504954,0.064328737,0.005435927,0.046765638,0.004042175
13,606682_dorsal_d2,0.044957481,0.003665817,33487,0.000452947,15.999999975,0.108164404,0.004187581,0.000246328,0.000180962,0.040528572,0.004134543,0.046639336,0.004638689,0.059347312,0.006330511,0.061061472,0.005206092,0.044957481,0.003665817
14,606682_dorsal_d3,0.049801255,0.005660026,33487,0.000645235,3.999999998,0.087927316,0.007338277,0.000431663,0.000186067,0.046044210,0.006276659,0.051585849,0.006508740,0.062478136,0.007010855,0.068147473,0.007380279,0.049801255,0.005660026
15,606682_side_w1,0.464043615,0.108390251,32301,0.025203382,45.254833888,0.132405962,0.190349300,0.011197018,0.007673922,0.476577533,0.113090491,0.469605794,0.110435906,0.389204506,0.085427255,0.452022255,0.102624962,0.464043615,0.108390251
16,606682_side_o1,0.068498638,0.021159137,16857,0.007422131,31.999999932,0.087874032,0.084463306,0.004968430,0.002013141,0.066971387,0.023944139,0.069896475,0.021560233,0.077617734,0.016332508,0.083715953,0.014907036,0.068498638,0.021159137
17,606682_ventral_b1,0.430267949,0.039883432,31329,0.005406468,22.627416956,0.098796387,0.054723342,0.003219020,0.001787424,0.447774818,0.043304448,0.434571082,0.042417235,0.358760418,0.033919394,0.420373711,0.037457971,0.430267949,0.039883432
18,606682_ventral_b2,0.438116982,0.043119765,33124,0.004530656,31.999999932,0.083346991,0.054358969,0.003197586,0.001016122,0.454733638,0.048180029,0.441986433,0.046068018,0.366125371,0.034176287,0.444613753,0.043740806,0.438116982,0.043119765
19,606682_ventral_b3,0.342676721,0.034711034,33123,0.004506552,63.999999831,0.089713147,0.050232900,0.002954876,0.000892338,0.356517261,0.034283419,0.347479103,0.036598622,0.289237218,0.035256177,0.312483119,0.048792377,0.342676721,0.034711034
20,606682_ventral_t1,0.047137593,0.006676019,71618,0.000761886,2.000000000,0.075034583,0.010153804,0.000597283,0.000134294,0.041628160,0.007649910,0.048816256,0.007623575,0.062602648,0.008118241,0.056203294,0.006233179,0.047137593,0.006676019
21,606683_crown_c1,0.060305005,0.021703116,115843,0.002848595,2.000000000,0.079906091,0.035649287,0.002097017,0.000656466,0.052399603,0.021124907,0.064057635,0.023151919,0.070830545,0.021123388,0.102622912,0.034406157,0.060305005,0.021703116
22,606683_dorsal_d1,0.063574227,0.014218239,33856,0.001996017,2.000000000,0.134913778,0.014794758,0.000870280,0.000509672,0.054986592,0.011140715,0.065339555,0.016127271,0.083452010,0.020806320,0.100478665,0.016665187,0.063574227,0.014218239
23,606683_dorsal_d2,0.064974711,0.014970168,32399,0.001977757,2.000000000,0.112534369,0.017574689,0.001033805,0.000486470,0.056096191,0.012139019,0.066599379,0.016950274,0.085820231,0.021093326,0.101290125,0.019343562,0.064974711,0.014970168
24,606683_dorsal_d3,0.072761188,0.015795809,34410,0.002361399,2.000000000,0.193913336,0.012177601,0.000716329,0.000614095,0.063255574,0.012360587,0.074576057,0.018444979,0.093447854,0.021368259,0.115277469,0.013419477,0.072761188,0.015795809
25,606683_side_w1,0.403346661,0.120186351,40466,0.021624816,45.254833888,0.116286624,0.185961334,0.010938902,0.006612665,0.410743308,0.126372706,0.406119276,0.122111927,0.355076873,0.094647805,0.422432177,0.087543557,0.403346661,0.120186351
26,606683_side_o1,0.070209248,0.017290096,14956,0.007642564,31.999999932,0.096423210,0.079260621,0.004662389,0.001910019,0.066807285,0.019346143,0.071528307,0.017891232,0.082666801,0.014996678,0.088307151,0.013337718,0.070209248,0.017290096
27,606683_ventral_b1,0.486267771,0.029871783,32760,0.004261060,31.999999932,0.106328620,0.040074437,0.002357320,0.001053332,0.508793209,0.032288990,0.493001796,0.032968259,0.393022319,0.031741488,0.435106998,0.047939450,0.486267771,0.029871783
28,606683_ventral_b2,0.492467071,0.025917136,31684,0.004127546,31.999999932,0.125822187,0.032804593,0.001929682,0.001225792,0.510105711,0.029688225,0.497191975,0.030129226,0.407527277,0.027617571,0.489087980,0.034097386,0.492467071,0.025917136
29,606683_ventral_b3,0.367186285,0.029905044,33489,0.003721220,45.254833888,0.087782421,0.042391405,0.002493612,0.000900393,0.381982716,0.030410420,0.372224263,0.032070039,0.306436468,0.037649470,0.346581156,0.072720054,0.367186285,0.029905044
30,606683_ventral_t1,0.045921044,0.006874306,111407,0.003132370,181.019335363,0.120279182,0.026042491,0.001531911,0.000885097,0.040959151,0.007988227,0.047562174,0.007962628,0.060804982,0.009122384,0.055151913,0.006720312,0.045921044,0.006874306
31,606684_crown_c1,0.075286716,0.029554125,58168,0.003418526,45.254833888,0.080448088,0.042493563,0.002499621,0.000932455,0.065966901,0.025572849,0.079125546,0.032077019,0.087026245,0.033080774,0.137711841,0.050050134,0.075286716,0.029554125
32,606684_dorsal_d1,0.071181939,0.008120279,33854,0.000953427,45.254833888,0.090393120,0.010547556,0.000620444,0.000308039,0.065866298,0.008975884,0.073062687,0.008926280,0.084792149,0.009894110,0.100599192,0.012038476,0.071181939,0.008120279
33,606684_dorsal_d2,0.071375106,0.006406604,33489,0.000801726,5.656854245,0.103942909,0.007713139,0.000453714,0.000283642,0.064520932,0.006343755,0.073318865,0.007463178,0.087554161,0.009778935,0.103090243,0.009799259,0.071375106,0.006406604
34,606684_dorsal_d3,0.078834494,0.010831564,34596,0.001560070,31.999999932,0.113208156,0.013780546,0.000810620,0.000455396,0.073974122,0.011880654,0.080917795,0.011561657,0.090660510,0.011271417,0.115156444,0.016306734,0.078834494,0.010831564
35,606684_side_w1,0.235513043,0.070769908,43032,0.011882603,63.999999831,0.104134143,0.114108613,0.006712271,0.004076969,0.237209088,0.070414287,0.236979411,0.070727384,0.221069201,0.064751748,0.279792741,0.106768185,0.235513043,0.070769908
36,606684_side_o1,0.066684927,0.014096207,22112,0.002090062,31.999999932,0.124637814,0.016769087,0.000986417,0.000641355,0.063244344,0.015076040,0.068061093,0.014839353,0.079073952,0.015023468,0.092458583,0.021353232,0.066684927,0.014096207
37,606684_ventral_b1,0.434946910,0.068787679,33124,0.011310465,45.254833888,0.130899226,0.086405899,0.005082700,0.003140028,0.457556015,0.074300131,0.442208520,0.071237961,0.348303041,0.053780522,0.388134061,0.076377638,0.434946910,0.068787679
38,606684_ventral_b2,0.419531490,0.045702625,33856,0.005952204,63.999999831,0.093394668,0.063731734,0.003748926,0.001513708,0.434035941,0.048470023,0.425280706,0.048711820,0.350942211,0.037879882,0.404342410,0.042337950,0.419531490,0.045702625
39,606684_ventral_b3,0.425103734,0.034273615,33124,0.005646485,31.999999932,0.121670168,0.046408134,0.002729890,0.001649589,0.442753050,0.036595722,0.431319810,0.036923593,0.349885973,0.031236526,0.392638200,0.034292786,0.425103734,0.034273615
40,606684_ventral_t1,0.055072068,0.008805348,194040,0.011629673,90.509667729,0.151681457,0.076671684,0.004510099,0.003942867,0.050956401,0.010182278,0.056890269,0.009943865,0.067292981,0.009750937,0.065433991,0.008891093,0.055072068,0.008805348
41,606690_crown_c1,0.070221893,0.024145731,68828,0.003964627,31.999999932,0.094162116,0.042104272,0.002476722,0.001040761,0.060722090,0.023192535,0.073844639,0.025311389,0.083221817,0.025310386,0.136597732,0.049413739,0.070221893,0.024145731
42,606690_dorsal_d1,0.078869466,0.010631031,34596,0.001380047,31.999999932,0.093526392,0.014755694,0.000867982,0.000335769,0.073192869,0.011573853,0.080770026,0.011223274,0.092512599,0.010625615,0.112183802,0.015451243,0.078869466,0.010631031
43,606690_dorsal_d2,0.074419701,0.007209277,32942,0.000941994,5.656854245,0.096300555,0.009781812,0.000575401,0.000345451,0.069120987,0.007510990,0.076291982,0.007947963,0.087948246,0.009224166,0.104644803,0.010052045,0.074419701,0.007209277
44,606690_dorsal_d3,0.078596340,0.009207730,32399,0.001216229,31.999999932,0.092741397,0.013114201,0.000771424,0.000323191,0.073543196,0.010104187,0.080501978,0.009828785,0.091402739,0.009810911,0.107911204,0.013558259,0.078596340,0.009207730
45,606690_side_w1,0.412886301,0.077902137,19075,0.014639913,31.999999932,0.109943860,0.133158076,0.007832828,0.004539811,0.422836302,0.082699453,0.415224683,0.079856661,0.360248454,0.061862831,0.418348884,0.069360659,0.412886301,0.077902137
46,606690_side_o1,0.087282315,0.021204208,14952,0.006418020,45.254833888,0.107203914,0.059867403,0.003521612,0.001438956,0.088015255,0.023046266,0.088496016,0.022142002,0.092282068,0.017685625,0.101678893,0.021764042,0.087282315,0.021204208
47,606690_ventral_b1,0.421184929,0.051065701,34595,0.007941105,45.254833888,0.112857640,0.070363908,0.004139053,0.002272719,0.434514143,0.055473435,0.423468531,0.053063772,0.362038533,0.041779617,0.445303953,0.042808081,0.421184929,0.051065701
48,606690_ventral_b2,0.364562479,0.041863747,34225,0.005612802,31.999999932,0.093524186,0.060014440,0.003530261,0.001420936,0.372539339,0.044818168,0.366258787,0.043803554,0.323503957,0.036664036,0.382522887,0.037714911,0.364562479,0.041863747
49,606690_ventral_b3,0.378438242,0.054451106,33124,0.006951187,45.254833888,0.103007034,0.067482644,0.003969567,0.001835801,0.387347405,0.061531675,0.381100162,0.056703322,0.331861934,0.040634655,0.382564727,0.037211496,0.378438242,0.054451106
50,606690_ventral_t1,0.053588621,0.008284811,98741,0.008470753,63.999999831,0.112978449,0.074976714,0.004410395,0.002850724,0.048085835,0.009302304,0.055213619,0.009437651,0.068312081,0.010754190,0.063545062,0.009460970,0.053588621,0.008284811
51,606695_crown_c1,0.064293570,0.021115844,61936,0.002472326,5.656854245,0.086601655,0.028548259,0.001679309,0.000690409,0.054990905,0.018456047,0.068020234,0.022728069,0.077068536,0.025259588,0.124007461,0.037482980,0.064293570,0.021115844
52,606695_dorsal_d1,0.064520083,0.012979974,32942,0.001947643,2.000000000,0.142798311,0.013639116,0.000802301,0.000649309,0.060595300,0.013040946,0.066168424,0.014384902,0.076931073,0.014092021,0.082296860,0.011119839,0.064520083,0.012979974
53,606695_dorsal_d2,0.072089617,0.016027963,33489,0.002322380,2.828427124,0.119188584,0.019484919,0.001146172,0.000804495,0.068809189,0.016775272,0.073934639,0.017229591,0.082386594,0.015987172,0.093728057,0.016332840,0.072089617,0.016027963
54,606695_dorsal_d3,0.070782521,0.015916086,34410,0.002212488,2.000000000,0.121324847,0.018236068,0.001072710,0.000481699,0.067002318,0.015596080,0.072532673,0.017358049,0.082383050,0.016808349,0.094847852,0.016927735,0.070782521,0.015916086
