 ,Label,lumMean,lumSD,area,maxPower,maxFreq,propPower,sumPower,meanPower,powerSD,lwMean,lwSD,mwMean,mwSD,swMean,swSD,uvMean,uvSD,dblMean,dblSD
1,612890_ventral_b1,0.404765059,0.038063853,34596,0.006110918,31.999999932,0.117340619,0.052078453,0.003063438,0.001572901,0.425184693,0.041543413,0.412064145,0.040365041,0.326289040,0.034126892,0.384560067,0.053186427,0.404765059,0.038063853
2,612890_ventral_b2,0.478912248,0.032739617,33856,0.005109381,15.999999975,0.114319875,0.044693727,0.002629043,0.001216320,0.499851245,0.037615696,0.486243324,0.036475216,0.387869349,0.029885289,0.469264715,0.033665779,0.478912248,0.032739617
3,612890_ventral_b3,0.405938275,0.057734397,34595,0.007749905,45.254833888,0.104983992,0.073819877,0.004342346,0.001996140,0.420723468,0.063614571,0.411659028,0.059541847,0.339301119,0.045333091,0.416630101,0.055897326,0.405938275,0.057734397
4,612890_ventral_t1,0.030938624,0.009464060,130893,0.007889769,127.999999595,0.163515870,0.048250782,0.002838281,0.002233707,0.030690371,0.010770297,0.033217904,0.010110895,0.036851091,0.009478157,0.038852024,0.011419607,0.030938624,0.009464060
5,613652_crown_c1,0.063808800,0.023761084,80987,0.002699513,11.313708484,0.082294797,0.032802955,0.001929586,0.000781962,0.051376181,0.023712974,0.069178066,0.024973935,0.076661294,0.025667347,0.126934211,0.052017545,0.063808800,0.023761084
6,613652_dorsal_d1,0.054257895,0.020636173,33856,0.003341000,2.000000000,0.160546395,0.020810182,0.001224128,0.000906868,0.050540113,0.021074769,0.057112110,0.022404153,0.063108688,0.020032898,0.083943466,0.027004284,0.054257895,0.020636173
7,613652_dorsal_d2,0.060699686,0.022040099,34596,0.003274218,2.000000000,0.145285716,0.022536405,0.001325671,0.000913092,0.054860065,0.022401983,0.063962597,0.023959446,0.071456269,0.021875188,0.094104959,0.029628864,0.060699686,0.022040099
8,613652_dorsal_d3,0.060020314,0.019517522,35721,0.002946807,2.000000000,0.142003602,0.020751637,0.001220685,0.000743129,0.054051429,0.020416976,0.063197349,0.021286338,0.071406166,0.019587377,0.092496512,0.026444712,0.060020314,0.019517522
9,613652_side_w1,0.494259383,0.142917143,55303,0.033422709,63.999999831,0.137912637,0.242346966,0.014255704,0.009992482,0.505886504,0.149222397,0.495657002,0.143831073,0.421703951,0.110822333,0.483651747,0.127583258,0.494259383,0.142917143
10,613652_side_o1,0.048901873,0.017518055,15299,0.004207693,31.999999932,0.099917632,0.042111613,0.002477154,0.000910080,0.048838042,0.020597888,0.051124875,0.017744449,0.054045456,0.012789811,0.067607741,0.016964557,0.048901873,0.017518055
11,613652_ventral_b1,0.445196717,0.069613980,33856,0.008757653,31.999999932,0.097068573,0.090221306,0.005307136,0.001896430,0.451366352,0.073694249,0.441380569,0.070609364,0.400093964,0.058757481,0.502004255,0.057674366,0.445196717,0.069613980
