 ,Label,lumMean,lumSD,area,maxPower,maxFreq,propPower,sumPower,meanPower,powerSD,lwMean,lwSD,mwMean,mwSD,swMean,swSD,uvMean,uvSD,dblMean,dblSD
1,612890_crown_c1,0.041364713,0.017049146,83531,0.003894724,31.999999932,0.087939858,0.044288497,0.002605206,0.001053268,0.035044487,0.014760102,0.045333533,0.018626819,0.050324528,0.019482037,0.072709427,0.025880528,0.041364713,0.017049146
2,612890_side_w1,0.358106408,0.099863674,56529,0.018365723,63.999999831,0.097076334,0.189188469,0.011128733,0.005466404,0.360364062,0.098112987,0.364349860,0.101871934,0.310238905,0.092887779,0.379530213,0.100797970,0.358106408,0.099863674
3,612890_side_o1,0.047650269,0.012494669,32030,0.007594408,22.627416956,0.090686197,0.083743812,0.004926107,0.002376359,0.048321190,0.014098507,0.049977357,0.014033356,0.051477547,0.015064818,0.064414799,0.012771562,0.047650269,0.012494669
4,612890_ventral_b1,0.404623200,0.038223352,33854,0.006088347,31.999999932,0.117583392,0.051778974,0.003045822,0.001578626,0.425024172,0.041731014,0.411921311,0.040487796,0.326201015,0.034180787,0.384447129,0.053182299,0.404623200,0.038223352
5,612890_ventral_b2,0.478911131,0.032742669,32762,0.005124575,15.999999975,0.114534174,0.044742756,0.002631927,0.001201613,0.499857849,0.037623040,0.486260078,0.036400974,0.387814539,0.029799735,0.469199664,0.033671260,0.478911131,0.032742669
6,612890_ventral_b3,0.405628557,0.057796459,33489,0.007723748,45.254833888,0.105090861,0.073495907,0.004323289,0.002002348,0.420378334,0.063660688,0.411341159,0.059566229,0.339113302,0.045367461,0.416375786,0.055898573,0.405628557,0.057796459
7,612890_ventral_t1,0.030939007,0.009465071,127388,0.007854984,127.999999595,0.163114795,0.048156170,0.002832716,0.002217985,0.030690436,0.010766540,0.033218395,0.010105204,0.036851660,0.009459377,0.038854990,0.011429750,0.030939007,0.009465071
8,613652_crown_c1,0.063793912,0.023714426,78771,0.002693058,7.999999992,0.083367723,0.032303370,0.001900198,0.000804606,0.051352436,0.023639633,0.069163217,0.024917689,0.076659820,0.025640602,0.126903657,0.051988108,0.063793912,0.023714426
9,613652_dorsal_d1,0.054216143,0.020591123,32761,0.003326935,2.000000000,0.161452768,0.020606242,0.001212132,0.000911943,0.050522467,0.021034512,0.057066276,0.022338644,0.063040703,0.019916723,0.083836965,0.026951378,0.054216143,0.020591123
10,613652_dorsal_d2,0.060708881,0.021982610,33672,0.003238795,2.000000000,0.144283601,0.022447420,0.001320436,0.000906754,0.054871948,0.022336424,0.063972798,0.023881475,0.071458740,0.021808910,0.094113542,0.029586800,0.060708881,0.021982610
11,613652_dorsal_d3,0.059959040,0.019496070,34596,0.002927673,2.000000000,0.140818668,0.020790374,0.001222963,0.000736421,0.054012268,0.020386251,0.063135953,0.021254245,0.071315922,0.019518071,0.092373191,0.026418426,0.059959040,0.019496070
12,613652_side_w1,0.494388708,0.142610165,53831,0.033383852,63.999999831,0.137799760,0.242263496,0.014250794,0.010028495,0.506021652,0.148900496,0.495782112,0.143533846,0.421794647,0.110570549,0.482860426,0.128814184,0.494388708,0.142610165
13,613652_side_o1,0.048865336,0.017499363,14870,0.004143901,31.999999932,0.100725713,0.041140449,0.002420026,0.000902117,0.048789017,0.020563530,0.051088517,0.017723299,0.054033118,0.012800854,0.067624551,0.017090337,0.048865336,0.017499363
14,613652_ventral_b1,0.445190275,0.069510031,32761,0.008765278,31.999999932,0.097226591,0.090153093,0.005303123,0.001904370,0.451341481,0.073564359,0.441369173,0.070456337,0.400122801,0.058640827,0.502051906,0.057680083,0.445190275,0.069510031
15,613652_ventral_b2,0.398454159,0.056677027,33124,0.008503069,45.254833888,0.102347028,0.083080759,0.004887103,0.002050019,0.395976329,0.059806915,0.393904267,0.058095059,0.371386390,0.049574988,0.520221667,0.043707492,0.398454159,0.056677027
16,613652_ventral_b3,0.375793962,0.044797181,34596,0.005242403,45.254833888,0.087743595,0.059746847,0.003514520,0.001098198,0.376981434,0.045628436,0.373909740,0.047098763,0.348262516,0.043407126,0.422684253,0.046652129,0.375793962,0.044797181
17,613652_ventral_t1,0.035779169,0.010787783,208536,0.006454904,127.999999595,0.139543641,0.046257244,0.002721014,0.001976875,0.035538041,0.012099090,0.037970171,0.011595573,0.041498617,0.010908773,0.047008726,0.011363396,0.035779169,0.010787783
18,613654_crown_c1,0.065774060,0.028217621,107918,0.003869684,90.509667729,0.083740589,0.046210379,0.002718258,0.000942051,0.054439208,0.023730996,0.070412509,0.030934634,0.078765658,0.032715357,0.124024745,0.039199307,0.065774060,0.028217621
19,613654_dorsal_d1,0.069351352,0.019642819,32761,0.002932966,2.000000000,0.123875908,0.023676644,0.001392744,0.000639205,0.059999460,0.020675451,0.072632360,0.021204306,0.085176773,0.018956041,0.119755070,0.030563031,0.069351352,0.019642819
20,613654_dorsal_d2,0.067076023,0.017420995,33489,0.002720693,2.000000000,0.140539940,0.019358863,0.001138757,0.000708607,0.060909921,0.019149208,0.070322821,0.018585943,0.078039439,0.016005007,0.107993485,0.026029752,0.067076023,0.017420995
21,613654_dorsal_d3,0.069409770,0.020014420,34040,0.002798284,2.000000000,0.121156999,0.023096348,0.001358609,0.000829805,0.063975004,0.021675134,0.072427383,0.021218570,0.079810114,0.017912954,0.110393991,0.028146650,0.069409770,0.020014420
22,613654_side_w1,0.437644750,0.146642344,30000,0.027878059,31.999999932,0.129034892,0.216050547,0.012708856,0.008916567,0.437457940,0.148763716,0.436043262,0.144743003,0.396068780,0.129745873,0.496939275,0.137230099,0.437644750,0.146642344
23,613654_side_o1,0.044726938,0.007317653,5319,0.009717197,45.254833888,0.082761018,0.117412732,0.006906631,0.002285852,0.043086377,0.008463398,0.046981448,0.008625963,0.052683911,0.011412709,0.070212843,0.009458477,0.044726938,0.007317653
24,613654_ventral_b1,0.475095452,0.037928508,33124,0.004855851,22.627416956,0.090725970,0.053522177,0.003148363,0.001101025,0.486756879,0.040791359,0.476168321,0.041589791,0.407001434,0.037556935,0.486488943,0.059219648,0.475095452,0.037928508
25,613654_ventral_b2,0.480554123,0.052378193,33306,0.008226966,22.627416956,0.117220145,0.070183893,0.004128464,0.002289853,0.484723511,0.057356918,0.477601811,0.055201090,0.427708351,0.043864017,0.537844463,0.036700297,0.480554123,0.052378193
26,613654_ventral_b3,0.420907515,0.042149270,33489,0.005551224,22.627416956,0.093189166,0.059569419,0.003504083,0.001430049,0.418993413,0.044145718,0.418079273,0.044975790,0.388428379,0.039561192,0.497128615,0.039683268,0.420907515,0.042149270
27,613654_ventral_t1,0.027845827,0.009181768,143165,0.007349834,127.999999595,0.142571375,0.051551964,0.003032468,0.002322069,0.026883792,0.010296443,0.030011667,0.010144300,0.035209447,0.010226606,0.036303835,0.008754618,0.027845827,0.009181768
28,613657_crown_c1,0.059659576,0.024562488,110915,0.002751615,2.000000000,0.080927662,0.034000926,0.002000054,0.000503938,0.045161681,0.022160577,0.063130966,0.025807463,0.081115993,0.028702616,0.146474831,0.048533835,0.059659576,0.024562488
29,613657_dorsal_d1,0.052617181,0.017352440,34410,0.002366655,2.000000000,0.127218675,0.018603047,0.001094297,0.000593417,0.046300558,0.016278191,0.055159177,0.019216985,0.066976005,0.020152973,0.084326217,0.020661415,0.052617181,0.017352440
30,613657_dorsal_d2,0.057899266,0.021500480,33856,0.002730105,2.000000000,0.128393384,0.021263597,0.001250800,0.000846076,0.050121173,0.019698351,0.060654307,0.023787846,0.073585614,0.023964726,0.094798084,0.028774368,0.057899266,0.021500480
