 ,Label,lumMean,lumSD,area,maxPower,maxFreq,propPower,sumPower,meanPower,powerSD,lwMean,lwSD,mwMean,mwSD,swMean,swSD,uvMean,uvSD,dblMean,dblSD
1,608370_crown_c1,0.081608272,0.027385462,88993,0.003818236,15.999999975,0.076236371,0.050084180,0.002946128,0.000820487,0.068537839,0.021170615,0.085693489,0.030193550,0.097940055,0.036384880,0.157312659,0.046725418,0.081608272,0.027385462
2,608370_dorsal_d1,0.075841357,0.015667159,33856,0.002692633,2.000000000,0.202032998,0.013327688,0.000783982,0.000745252,0.069545188,0.012833916,0.078090875,0.018229078,0.089434561,0.020904167,0.105647797,0.011334543,0.075841357,0.015667159
3,608370_dorsal_d2,0.074688118,0.016896013,34596,0.002302625,2.000000000,0.126009641,0.018273401,0.001074906,0.000655868,0.068933619,0.014815139,0.077175937,0.019451252,0.086842494,0.021144447,0.103334663,0.016233509,0.074688118,0.016896013
4,608370_dorsal_d3,0.075964333,0.016913566,34225,0.002801178,2.000000000,0.185678112,0.015086203,0.000887424,0.000726405,0.069601275,0.014244677,0.078368256,0.019837309,0.089279857,0.021782642,0.107578705,0.012238426,0.075964333,0.016913566
5,608370_side_w1,0.386703604,0.147929226,71840,0.026476667,63.999999831,0.120483032,0.219754322,0.012926725,0.007686574,0.398949326,0.158798958,0.393866069,0.151614811,0.321428754,0.105235469,0.357791840,0.086880452,0.386703604,0.147929226
6,608370_side_o1,0.071244292,0.014341569,9488,0.008467452,22.627416956,0.104643215,0.080917353,0.004759844,0.002444285,0.069092118,0.017776737,0.072897603,0.015076413,0.080378082,0.011170456,0.087944039,0.012557566,0.071244292,0.014341569
7,608370_ventral_b1,0.447090356,0.045336539,35532,0.006708075,22.627416956,0.102390860,0.065514394,0.003853788,0.002198091,0.459370475,0.048274378,0.453440038,0.047053068,0.373269226,0.038095318,0.450917501,0.062588263,0.447090356,0.045336539
8,608370_ventral_b2,0.458886230,0.039869724,34040,0.005073498,63.999999831,0.092995444,0.054556415,0.003209201,0.001122545,0.469036673,0.042664559,0.464372460,0.042447605,0.387438749,0.033609650,0.487522074,0.046662822,0.458886230,0.039869724
9,608370_ventral_b3,0.352670088,0.050457448,34410,0.006919874,45.254833888,0.103861626,0.066625901,0.003919171,0.001610904,0.353200202,0.054989916,0.357028086,0.053303522,0.315049628,0.037145753,0.396311173,0.027384545,0.352670088,0.050457448
10,608370_ventral_t1,0.053201122,0.007241594,161222,0.002249091,255.999999054,0.109150009,0.020605502,0.001212088,0.000543871,0.048114063,0.008411535,0.054901568,0.008069141,0.067675505,0.008456599,0.064518017,0.008987177,0.053201122,0.007241594
11,608371_crown_c1,0.077072002,0.024672854,101890,0.003356809,22.627416956,0.081921549,0.040975899,0.002410347,0.000760695,0.062779826,0.024988554,0.080636162,0.026355944,0.097765440,0.025383654,0.157821371,0.046318844,0.077072002,0.024672854
12,608371_dorsal_d1,0.076776265,0.012351314,35910,0.001862944,2.000000000,0.111658641,0.016684282,0.000981428,0.000442003,0.067125409,0.009177117,0.079630889,0.013675237,0.093988635,0.018450091,0.121896285,0.017553231,0.076776265,0.012351314
13,608371_dorsal_d2,0.073769102,0.012057932,33856,0.002046250,2.000000000,0.147047246,0.013915596,0.000818564,0.000612312,0.065105756,0.009193371,0.076454471,0.013310229,0.089976617,0.017070484,0.111091449,0.013883564,0.073769102,0.012057932
14,608371_dorsal_d3,0.069214840,0.012312696,34224,0.001739389,2.000000000,0.112998886,0.015392977,0.000905469,0.000570087,0.061668039,0.009758608,0.071776733,0.013546000,0.084480812,0.016653659,0.104195794,0.017182124,0.069214840,0.012312696
15,608371_side_w1,0.363187639,0.116532332,69995,0.020732688,90.509667729,0.099488824,0.208392134,0.012258361,0.006482495,0.371999698,0.118306616,0.370404234,0.119305301,0.306437245,0.094537742,0.349034013,0.113895358,0.363187639,0.116532332
16,608371_side_o1,0.103366570,0.018958777,5711,0.003094620,63.999999831,0.095812967,0.032298551,0.001899915,0.000732534,0.104790985,0.022672627,0.105115395,0.019508076,0.104159273,0.013871120,0.124052872,0.012297331,0.103366570,0.018958777
17,608371_ventral_b1,0.431305563,0.043601562,33306,0.005880296,45.254833888,0.112964562,0.052054339,0.003062020,0.001624707,0.450506260,0.045073667,0.436240715,0.044804853,0.356042131,0.042458889,0.382558314,0.078916177,0.431305563,0.043601562
18,608371_ventral_b2,0.533244532,0.030937923,34596,0.004060780,31.999999932,0.087249599,0.046542108,0.002737771,0.000721041,0.557918593,0.033877908,0.539687020,0.035511547,0.426598163,0.030203585,0.516658424,0.043183936,0.533244532,0.030937923
19,608371_ventral_b3,0.403997668,0.057844797,33672,0.008824136,45.254833888,0.117284941,0.075236737,0.004425690,0.002563312,0.407932955,0.061985004,0.407042532,0.059752285,0.356915650,0.045826171,0.437617255,0.048991634,0.403997668,0.057844797
20,608371_ventral_t1,0.049489072,0.005035624,106350,0.000802588,127.999999595,0.089387903,0.008978712,0.000528160,0.000190524,0.043506252,0.006316721,0.050962878,0.006369446,0.066207340,0.008440165,0.061762947,0.006875581,0.049489072,0.005035624
21,608372_crown_c1,0.083716610,0.026921195,96971,0.004182623,22.627416956,0.081140028,0.051548208,0.003032248,0.000816039,0.067876686,0.021482057,0.087429846,0.028894968,0.105971731,0.036780599,0.187772696,0.050019245,0.083716610,0.026921195
22,608372_dorsal_d1,0.082219695,0.010705967,34225,0.001639694,2.000000000,0.137938039,0.011887180,0.000699246,0.000515313,0.074078568,0.008385443,0.084371131,0.011872011,0.098654447,0.017280805,0.125505125,0.015131121,0.082219695,0.010705967
23,608372_dorsal_d2,0.083400279,0.013019911,33856,0.001988799,2.000000000,0.125115786,0.015895668,0.000935039,0.000542924,0.076390449,0.012759949,0.085552077,0.013908251,0.097797135,0.016519738,0.124785715,0.014939082,0.083400279,0.013019911
24,608372_dorsal_d3,0.081979882,0.010833011,34968,0.001868936,2.000000000,0.150892216,0.012385900,0.000728582,0.000488208,0.074525611,0.009235574,0.084176760,0.012009577,0.097316422,0.016431989,0.120240490,0.012465173,0.081979882,0.010833011
25,608372_side_w1,0.390710929,0.081700396,70416,0.017608072,45.254833888,0.111277204,0.158236112,0.009308007,0.004662112,0.393234744,0.082625896,0.397274226,0.083723730,0.340724533,0.069573700,0.416295982,0.074370859,0.390710929,0.081700396
26,608372_side_o1,0.094856615,0.021750374,4253,0.005985976,11.313708484,0.100473765,0.059577506,0.003504559,0.001603035,0.094994232,0.024816756,0.096681655,0.022361327,0.098203333,0.017019467,0.117616114,0.016596561,0.094856615,0.021750374
27,608372_ventral_b1,0.464784176,0.045038028,34224,0.006920398,45.254833888,0.122023774,0.056713523,0.003336090,0.001916511,0.475431392,0.046480494,0.467234024,0.046199492,0.399297316,0.042031471,0.480643186,0.074043842,0.464784176,0.045038028
28,608372_ventral_b2,0.466030213,0.051927648,34225,0.006589156,45.254833888,0.102835290,0.064074851,0.003769109,0.001976480,0.469191242,0.056294003,0.465116977,0.053915563,0.413725710,0.042281264,0.570627707,0.047235810,0.466030213,0.051927648
29,608372_ventral_b3,0.341097343,0.048482271,33855,0.006881799,31.999999932,0.109644759,0.062764505,0.003692030,0.002070416,0.338374179,0.050786241,0.342614144,0.049814786,0.315860710,0.042567191,0.438843182,0.047282056,0.341097343,0.048482271
30,608372_ventral_t1,0.051427315,0.007582605,159749,0.003982257,181.019335363,0.120808851,0.032963287,0.001939017,0.001290131,0.045289782,0.008572878,0.052832301,0.008644078,0.068634173,0.009841099,0.064468613,0.009547510,0.051427315,0.007582605
31,608373_crown_c1,0.082397395,0.020823802,68375,0.003077188,15.999999975,0.093102627,0.033051567,0.001944210,0.000870513,0.069396623,0.021493820,0.086703762,0.021558468,0.098329290,0.021260378,0.151494221,0.043017903,0.082397395,0.020823802
32,608373_dorsal_d1,0.085563879,0.021203933,34596,0.002970779,2.000000000,0.209775524,0.014161704,0.000833041,0.000738476,0.075290159,0.019884002,0.088948668,0.025229658,0.101683856,0.022341774,0.129730781,0.018577601,0.085563879,0.021203933
33,608373_dorsal_d2,0.079816333,0.023051331,35344,0.003860171,2.000000000,0.206841688,0.018662442,0.001097791,0.000841866,0.070343395,0.020473680,0.082762857,0.026792418,0.096173396,0.025266946,0.121624735,0.018815768,0.079816333,0.023051331
34,608373_dorsal_d3,0.082777516,0.022810728,33855,0.003619390,2.000000000,0.231678763,0.015622450,0.000918968,0.000862170,0.072561607,0.021518219,0.085945524,0.026751081,0.099710439,0.023113752,0.123324775,0.019364742,0.082777516,0.022810728
35,608373_side_w1,0.357109874,0.103477661,41668,0.021744929,45.254833888,0.114683240,0.189608601,0.011153447,0.006395356,0.365485473,0.105978807,0.363750962,0.106686544,0.304108393,0.081711774,0.358205931,0.089438060,0.357109874,0.103477661
36,608373_side_o1,0.102195063,0.027855704,6668,0.008010754,15.999999975,0.092046078,0.087029820,0.005119401,0.002292325,0.104945505,0.032613817,0.103938092,0.028555109,0.100871513,0.018963444,0.115174895,0.013397327,0.102195063,0.027855704
37,608373_ventral_b1,0.442211696,0.030683263,33856,0.004077039,31.999999932,0.105155241,0.038771616,0.002280683,0.001430643,0.458862720,0.031683115,0.449793866,0.033985533,0.362975081,0.031747330,0.408924969,0.046093721,0.442211696,0.030683263
38,608373_ventral_b2,0.357529652,0.049808970,35156,0.006300707,31.999999932,0.096201317,0.065495022,0.003852648,0.001283001,0.355444863,0.052380930,0.361824098,0.051913757,0.321441828,0.041733780,0.459441303,0.048529770,0.357529652,0.049808970
39,608373_ventral_b3,0.350181218,0.042803686,34223,0.006129147,31.999999932,0.108434735,0.056523832,0.003324931,0.001758111,0.354295805,0.045300860,0.357313204,0.045222814,0.303550313,0.036256818,0.357916371,0.042125074,0.350181218,0.042803686
40,608373_ventral_t1,0.056106473,0.008010968,140155,0.004287970,63.999999831,0.113169909,0.037889666,0.002228804,0.001370952,0.051021321,0.009384006,0.057948787,0.009213043,0.069924717,0.009616856,0.068395639,0.007506627,0.056106473,0.008010968
41,608374_crown_c1,0.089622540,0.024083654,85099,0.003923797,15.999999975,0.074313166,0.052800834,0.003105931,0.000828557,0.074069916,0.019314123,0.093710754,0.025833814,0.109656322,0.032044202,0.183624960,0.040797814,0.089622540,0.024083654
42,608374_dorsal_d1,0.079000151,0.016591616,34225,0.002205373,2.000000000,0.130049804,0.016957911,0.000997524,0.000645296,0.069469596,0.013143982,0.081932276,0.019940921,0.095589175,0.023595949,0.119987210,0.018632465,0.079000151,0.016591616
43,608374_dorsal_d2,0.076617939,0.016747972,34225,0.002740648,2.000000000,0.158239680,0.017319602,0.001018800,0.000719651,0.067522687,0.013041713,0.079385344,0.019336044,0.093150519,0.024075637,0.114932566,0.017465885,0.076617939,0.016747972
44,608374_dorsal_d3,0.080242514,0.016402257,34969,0.002255770,2.000000000,0.140936689,0.016005555,0.000941503,0.000634775,0.070586904,0.012836891,0.083248825,0.019519852,0.096838469,0.024362935,0.120788789,0.018475968,0.080242514,0.016402257
45,608374_side_w1,0.436025931,0.098451297,76677,0.021007815,63.999999831,0.112275145,0.187110110,0.011006477,0.005832602,0.447367515,0.102741998,0.442015468,0.101800225,0.367922562,0.077154722,0.430443519,0.088876641,0.436025931,0.098451297
46,608374_side_o1,0.077519103,0.018103895,9251,0.008497017,15.999999975,0.102850571,0.082615169,0.004859716,0.002285664,0.076204519,0.021490231,0.079241371,0.018846270,0.084687588,0.013481822,0.093420006,0.011009796,0.077519103,0.018103895
47,608374_ventral_b1,0.461308329,0.043818782,34596,0.006758429,31.999999932,0.115618370,0.058454628,0.003438508,0.001821496,0.470008614,0.045891584,0.463005028,0.045945327,0.398997768,0.038777610,0.510928253,0.059080277,0.461308329,0.043818782
48,608374_ventral_b2,0.415678177,0.040681162,34968,0.005904923,15.999999975,0.112027642,0.052709514,0.003100560,0.001555007,0.423623929,0.044050428,0.418986336,0.043053941,0.360683803,0.034120954,0.446517739,0.032625112,0.415678177,0.040681162
49,608374_ventral_b3,0.364345205,0.037229485,34225,0.004578921,63.999999831,0.091441379,0.050074936,0.002945584,0.001089628,0.369181140,0.040735428,0.367912336,0.039543021,0.321452864,0.031073371,0.391724672,0.034736825,0.364345205,0.037229485
50,608374_ventral_t1,0.057611364,0.010972619,133422,0.004246227,127.999999595,0.121001294,0.035092408,0.002064259,0.001224645,0.053283154,0.013130742,0.059059666,0.011773571,0.071323258,0.010540859,0.067365682,0.009863496,0.057611364,0.010972619
51,608375_crown_c1,0.085645136,0.028170581,92302,0.003279290,2.000000000,0.081253138,0.040358932,0.002374055,0.000951515,0.071740052,0.029074905,0.089943336,0.029957276,0.102813905,0.029001392,0.166611123,0.057198644,0.085645136,0.028170581
52,608375_dorsal_d1,0.078618847,0.011077633,32760,0.001780653,2.000000000,0.143280858,0.012427713,0.000731042,0.000545961,0.069112345,0.008546559,0.080911461,0.012433924,0.097028449,0.017678763,0.117367529,0.013012403,0.078618847,0.011077633
53,608375_dorsal_d2,0.079019147,0.010184307,35343,0.001836933,2.000000000,0.155798089,0.011790470,0.000693557,0.000506550,0.070787337,0.008378966,0.081372303,0.011599105,0.094881662,0.016185983,0.117735600,0.010360004,0.079019147,0.010184307
54,608375_dorsal_d3,0.079295591,0.010988930,34969,0.002012870,2.000000000,0.180948740,0.011123981,0.000654352,0.000583568,0.070880553,0.009073054,0.081630835,0.012426613,0.095616606,0.016618116,0.120342226,0.012223757,0.079295591,0.010988930
55,608375_side_w1,0.422109456,0.123660083,66010,0.022212651,63.999999831,0.105725629,0.210097124,0.012358654,0.006490091,0.437247885,0.132718461,0.430247069,0.127624475,0.345813856,0.088261218,0.378527783,0.100228016,0.422109456,0.123660083
56,608375_side_o1,0.070776966,0.011463663,5895,0.011328472,22.627416956,0.111909721,0.101228665,0.005954627,0.003428349,0.067448809,0.014344158,0.072551366,0.012166379,0.081521262,0.009905615,0.091086262,0.009522871,0.070776966,0.011463663
57,608375_ventral_b1,0.427478012,0.048763316,33124,0.008322140,31.999999932,0.134644652,0.061808174,0.003635775,0.002581909,0.440604830,0.050596791,0.433762708,0.051098203,0.356732100,0.042430810,0.417685923,0.051483449,0.427478012,0.048763316
58,608375_ventral_b2,0.512894479,0.035327315,33670,0.005089584,22.627416956,0.110157905,0.046202623,0.002717801,0.001686999,0.527215973,0.037702931,0.520391819,0.038702897,0.418450995,0.034205783,0.545567875,0.050072013,0.512894479,0.035327315
59,608375_ventral_b3,0.439725274,0.043226210,34969,0.007086683,45.254833888,0.121998355,0.058088345,0.003416961,0.002086046,0.450868574,0.046941704,0.448347766,0.046198928,0.361964179,0.037295524,0.440843996,0.054712036,0.439725274,0.043226210
60,608375_ventral_t1,0.049434621,0.006367387,122619,0.001323159,63.999999831,0.089764312,0.014740369,0.000867081,0.000275870,0.044360066,0.007312178,0.051187294,0.007661606,0.064038123,0.008929166,0.062102192,0.007865113,0.049434621,0.006367387
61,608376_crown_c1,0.091426043,0.028209769,60378,0.004048997,11.313708484,0.085400022,0.047412132,0.002788949,0.000998892,0.076869151,0.030344573,0.095674156,0.029858848,0.109511806,0.027847473,0.174064296,0.056563988,0.091426043,0.028209769
62,608376_dorsal_d1,0.076952967,0.016046448,34225,0.002712958,2.000000000,0.190440572,0.014245692,0.000837982,0.000700393,0.069630748,0.012063133,0.079199405,0.017892170,0.092457060,0.021012268,0.106527476,0.015246017,0.076952967,0.016046448
63,608376_dorsal_d2,0.074701677,0.015182839,35720,0.002426752,2.000000000,0.135366153,0.017927317,0.001054548,0.000597611,0.068265698,0.012775844,0.076935011,0.016631186,0.088742416,0.018460283,0.104899452,0.015686547,0.074701677,0.015182839
