 ,Label,lumMean,lumSD,area,maxPower,maxFreq,propPower,sumPower,meanPower,powerSD,lwMean,lwSD,mwMean,mwSD,swMean,swSD,uvMean,uvSD,dblMean,dblSD
1,608370_crown_c1,0.081612785,0.027326689,86607,0.003855127,11.313708484,0.076559905,0.050354390,0.002962023,0.000806938,0.068534621,0.021133753,0.085700403,0.030103083,0.097948072,0.036285489,0.157289896,0.046707115,0.081612785,0.027326689
2,608370_dorsal_d1,0.075827995,0.015642988,32942,0.002671647,2.000000000,0.196437469,0.013600497,0.000800029,0.000721505,0.069534110,0.012814252,0.078076788,0.018197092,0.089421775,0.020900867,0.105648652,0.011320743,0.075827995,0.015642988
3,608370_dorsal_d2,0.074688599,0.016912651,33489,0.002277706,2.000000000,0.125787889,0.018107517,0.001065148,0.000643211,0.068932633,0.014816134,0.077179917,0.019470541,0.086833585,0.021164819,0.103298046,0.016204444,0.074688599,0.016912651
4,608370_dorsal_d3,0.075972753,0.016886933,33306,0.002772747,2.000000000,0.185438082,0.014952412,0.000879554,0.000716530,0.069611641,0.014219210,0.078378834,0.019801632,0.089276687,0.021716890,0.107571418,0.012225171,0.075972753,0.016886933
5,608370_side_w1,0.386738539,0.147880800,69929,0.026552503,63.999999831,0.120603917,0.220162854,0.012950756,0.007728754,0.398988984,0.158748116,0.393899843,0.151557341,0.321454836,0.105188338,0.357775834,0.086862241,0.386738539,0.147880800
6,608370_side_o1,0.071204601,0.014286816,9253,0.008421297,22.627416956,0.104464705,0.080613803,0.004741988,0.002431637,0.069038799,0.017704021,0.072855628,0.015015368,0.080370240,0.011142358,0.087900173,0.012546185,0.071204601,0.014286816
7,608370_ventral_b1,0.447364348,0.045167270,34410,0.006717352,22.627416956,0.102815709,0.065333905,0.003843171,0.002178245,0.459671749,0.048081793,0.453726028,0.046812390,0.373417909,0.037983129,0.450915485,0.062300766,0.447364348,0.045167270
8,608370_ventral_b2,0.458938022,0.039793827,33124,0.005094917,63.999999831,0.091884197,0.055449324,0.003261725,0.001066884,0.469081338,0.042597312,0.464421060,0.042357068,0.387492618,0.033542948,0.487660155,0.046587733,0.458938022,0.039793827
9,608370_ventral_b3,0.352535169,0.050540715,33489,0.006964663,45.254833888,0.104154364,0.066868667,0.003933451,0.001608819,0.353051731,0.055062439,0.356886791,0.053418928,0.314963502,0.037228458,0.396314454,0.027478401,0.352535169,0.050540715
10,608370_ventral_t1,0.053202188,0.007218128,156917,0.002266753,181.019335363,0.107732484,0.021040575,0.001237681,0.000582265,0.048114896,0.008386011,0.054902679,0.008037691,0.067676541,0.008420630,0.064511618,0.008950616,0.053202188,0.007218128
11,608371_crown_c1,0.077098981,0.024616775,99140,0.003382237,22.627416956,0.082305548,0.041093665,0.002417274,0.000774343,0.062805550,0.024916473,0.080666446,0.026282930,0.097782526,0.025336740,0.157861865,0.046269793,0.077098981,0.024616775
12,608371_dorsal_d1,0.076759442,0.012337547,34969,0.001855070,2.000000000,0.112144910,0.016541724,0.000973043,0.000445555,0.067114919,0.009174792,0.079611408,0.013643094,0.093971327,0.018397181,0.121870779,0.017558185,0.076759442,0.012337547
13,608371_dorsal_d2,0.073767528,0.012066508,32761,0.002045411,2.000000000,0.142609705,0.014342717,0.000843689,0.000588015,0.065102160,0.009201111,0.076453437,0.013314875,0.089977664,0.017073659,0.111089367,0.013894655,0.073767528,0.012066508
14,608371_dorsal_d3,0.069199023,0.012302083,33489,0.001726945,2.000000000,0.114350993,0.015102142,0.000888361,0.000573876,0.061655412,0.009746775,0.071759012,0.013536625,0.084467019,0.016617898,0.104158031,0.017152963,0.069199023,0.012302083
15,608371_side_w1,0.363616575,0.115990567,68098,0.020702309,63.999999831,0.099365181,0.208345708,0.012255630,0.006500210,0.372395842,0.117798858,0.370843114,0.118734892,0.306819798,0.094072170,0.349111247,0.113852317,0.363616575,0.115990567
16,608371_side_o1,0.103241063,0.018940688,5551,0.003009055,63.999999831,0.092904718,0.032388614,0.001905213,0.000692436,0.104649863,0.022657746,0.104983495,0.019511642,0.104094325,0.013901032,0.123978599,0.012349964,0.103241063,0.018940688
17,608371_ventral_b1,0.431227698,0.043699821,32400,0.005915698,45.254833888,0.114391456,0.051714512,0.003042030,0.001643869,0.450405794,0.045181840,0.436162763,0.044883011,0.356003984,0.042483752,0.382577655,0.078922969,0.431227698,0.043699821
18,608371_ventral_b2,0.533328705,0.030953293,33856,0.004299325,31.999999932,0.087866851,0.048929996,0.002878235,0.000715309,0.557987645,0.033874002,0.539775975,0.035476397,0.426677183,0.030204052,0.516681186,0.043096642,0.533328705,0.030953293
19,608371_ventral_b3,0.404009401,0.057914064,32760,0.008770900,45.254833888,0.117734927,0.074497009,0.004382177,0.002570770,0.407950083,0.062052682,0.407062373,0.059765909,0.356899104,0.045901756,0.437579286,0.049162623,0.404009401,0.057914064
20,608371_ventral_t1,0.049490956,0.005018058,103509,0.000750606,127.999999595,0.086419982,0.008685558,0.000510915,0.000176884,0.043507854,0.006302314,0.050964537,0.006338775,0.066209765,0.008415013,0.061758030,0.006831091,0.049490956,0.005018058
21,608372_crown_c1,0.083708704,0.026889030,94394,0.004183772,22.627416956,0.081510004,0.051328328,0.003019313,0.000802812,0.067868417,0.021468733,0.087425385,0.028830312,0.105953857,0.036710229,0.187723080,0.050073521,0.083708704,0.026889030
22,608372_dorsal_d1,0.082234210,0.010695337,33124,0.001630399,2.000000000,0.137384014,0.011867460,0.000698086,0.000509237,0.074096637,0.008368628,0.084385295,0.011854388,0.098664714,0.017259660,0.125511673,0.015125421,0.082234210,0.010695337
23,608372_dorsal_d2,0.083385699,0.013006733,32761,0.001991178,2.000000000,0.125170421,0.015907738,0.000935749,0.000550321,0.076372539,0.012737138,0.085538268,0.013886805,0.097787050,0.016511160,0.124771629,0.014920342,0.083385699,0.013006733
24,608372_dorsal_d3,0.081949928,0.010796289,33856,0.001862310,2.000000000,0.150734281,0.012354922,0.000726760,0.000480672,0.074491369,0.009200180,0.084146231,0.011964202,0.097296425,0.016361982,0.120185178,0.012455067,0.081949928,0.010796289
25,608372_side_w1,0.390820849,0.081426490,68529,0.017775293,45.254833888,0.111756203,0.159054199,0.009356129,0.004686688,0.393338626,0.082368278,0.397382025,0.083447931,0.340831690,0.069321678,0.416318032,0.074304160,0.390820849,0.081426490
26,608372_side_o1,0.095076497,0.021947057,4157,0.005939248,11.313708484,0.101374449,0.058587226,0.003446307,0.001568640,0.095222876,0.024987213,0.096915413,0.022581821,0.098349647,0.017148330,0.117802895,0.016746581,0.095076497,0.021947057
27,608372_ventral_b1,0.464980670,0.045057258,33124,0.006901123,45.254833888,0.121163503,0.056957109,0.003350418,0.001909852,0.475606811,0.046517740,0.467426566,0.046184965,0.399472403,0.042017608,0.481177752,0.074015760,0.464980670,0.045057258
28,608372_ventral_b2,0.465611508,0.052047234,33489,0.006581034,31.999999932,0.102274743,0.064346621,0.003785095,0.001967360,0.468722464,0.056420379,0.464697737,0.054003798,0.413454967,0.042350794,0.570355194,0.047368557,0.465611508,0.052047234
29,608372_ventral_b3,0.341116607,0.048488571,32761,0.006826076,31.999999932,0.108258316,0.063053599,0.003709035,0.001998184,0.338393361,0.050791794,0.342633711,0.049781331,0.315878723,0.042536736,0.438823224,0.047295687,0.341116607,0.048488571
30,608372_ventral_t1,0.051431637,0.007607423,155459,0.004039977,181.019335363,0.121325015,0.033298800,0.001958753,0.001306916,0.045295193,0.008605138,0.052836620,0.008659359,0.068636535,0.009833482,0.064459522,0.009495858,0.051431637,0.007607423
31,608373_crown_c1,0.082400834,0.020805889,66542,0.003078550,15.999999975,0.093028519,0.033092538,0.001946620,0.000875177,0.069393201,0.021460831,0.086707563,0.021538959,0.098341699,0.021227242,0.151498996,0.042948070,0.082400834,0.020805889
32,608373_dorsal_d1,0.085569975,0.021022709,33489,0.002921837,2.000000000,0.218744687,0.013357295,0.000785723,0.000744387,0.075293695,0.019740942,0.088958491,0.024966319,0.101677778,0.022147949,0.129742518,0.018532866,0.085569975,0.021022709
