 ,Label,lumMean,lumSD,area,maxPower,maxFreq,propPower,sumPower,meanPower,powerSD,lwMean,lwSD,mwMean,mwSD,swMean,swSD,uvMean,uvSD,dblMean,dblSD
1,608568_crown_c1,0.073911560,0.028814228,99945,0.003577889,11.313708484,0.091276229,0.039198474,0.002305793,0.001068595,0.059031966,0.023813108,0.077854884,0.030696395,0.094345672,0.035620968,0.165333204,0.056201742,0.073911560,0.028814228
2,608568_dorsal_d1,0.070526032,0.014237226,32041,0.002343833,2.000000000,0.185022232,0.012667846,0.000745167,0.000628062,0.062455133,0.010849639,0.072526269,0.016255051,0.088554796,0.020243932,0.104023969,0.012793202,0.070526032,0.014237226
3,608568_dorsal_d2,0.076222258,0.014070876,32400,0.002060067,2.000000000,0.134921303,0.015268654,0.000898156,0.000498324,0.067597831,0.010955737,0.078430292,0.016446745,0.094171387,0.020343117,0.113264256,0.014610727,0.076222258,0.014070876
4,608568_dorsal_d3,0.075663819,0.014673179,33489,0.002407077,2.000000000,0.186777226,0.012887422,0.000758084,0.000621695,0.068362633,0.011673977,0.077723406,0.016758146,0.091971978,0.021000433,0.111393825,0.011389930,0.075663819,0.014673179
5,608568_side_w1,0.299298444,0.085288041,42721,0.014840920,45.254833888,0.106941782,0.138775698,0.008163276,0.004737230,0.302504872,0.087729844,0.301905157,0.087921716,0.272165417,0.074354786,0.329731992,0.075951191,0.299298444,0.085288041
6,608568_side_o1,0.082502496,0.010875738,7935,0.006913416,15.999999975,0.108897883,0.063485307,0.003734430,0.001983317,0.084001823,0.012256150,0.083881546,0.013241930,0.086121121,0.013675606,0.097377954,0.008846778,0.082502496,0.010875738
7,608568_ventral_b1,0.455998223,0.034069865,31328,0.004237628,45.254833888,0.092418970,0.045852360,0.002697198,0.001134554,0.473080915,0.035970079,0.461077815,0.036889036,0.377620865,0.034326744,0.439155212,0.039623162,0.455998223,0.034069865
8,608568_ventral_b2,0.431311819,0.031567514,32760,0.004683889,22.627416956,0.104376920,0.044874759,0.002639692,0.001315855,0.438568293,0.033917548,0.434038083,0.035062636,0.374447392,0.031040730,0.470611231,0.029114592,0.431311819,0.031567514
9,608568_ventral_b3,0.311113875,0.045632423,34040,0.005706604,63.999999831,0.093355918,0.061127395,0.003595729,0.001538360,0.311538348,0.048395631,0.315345874,0.047866754,0.281990252,0.038212111,0.330468704,0.032120982,0.311113875,0.045632423
10,608568_ventral_t1,0.051339630,0.006745775,113454,0.006438060,90.509667729,0.134846622,0.047743577,0.002808446,0.002160724,0.046071434,0.007736036,0.052990638,0.008187133,0.066490708,0.009840914,0.062650331,0.006192752,0.051339630,0.006745775
11,608573_crown_c1,0.074024968,0.020701393,105168,0.005395936,45.254833888,0.086566588,0.062332784,0.003666634,0.001091338,0.061152894,0.021366236,0.078180220,0.021518807,0.091350881,0.022487448,0.141780836,0.048543708,0.074024968,0.020701393
12,608573_dorsal_d1,0.070275350,0.019581920,32041,0.002468157,2.000000000,0.133277939,0.018518869,0.001089345,0.000679554,0.061897482,0.017446395,0.072328959,0.022214880,0.088525440,0.020507875,0.102577252,0.022102168,0.070275350,0.019581920
