 ,Label,lumMean,lumSD,area,maxPower,maxFreq,propPower,sumPower,meanPower,powerSD,lwMean,lwSD,mwMean,mwSD,swMean,swSD,uvMean,uvSD,dblMean,dblSD
1,612907_crown_c1,0.077719991,0.030088036,112608,0.003635865,15.999999975,0.081397760,0.044667877,0.002627522,0.000976447,0.063122290,0.025632460,0.081873252,0.032829474,0.096596575,0.037973294,0.163661328,0.048380835,0.077719991,0.030088036
2,612907_dorsal_d1,0.080855142,0.018663920,33306,0.003091491,2.000000000,0.166723821,0.018542589,0.001090741,0.000797474,0.071729900,0.013998629,0.083102991,0.020798048,0.098737829,0.023761811,0.122767187,0.018783824,0.080855142,0.018663920
3,612907_dorsal_d2,0.081541017,0.017512177,33672,0.003342167,2.000000000,0.212661233,0.015715918,0.000924466,0.000946320,0.073724626,0.013716431,0.083648791,0.019216044,0.097707584,0.022534500,0.122698676,0.014542087,0.081541017,0.017512177
4,612907_dorsal_d3,0.079394433,0.017369729,33489,0.003128628,2.000000000,0.192072999,0.016288747,0.000958162,0.000792940,0.070897052,0.013007966,0.081487150,0.019387662,0.096976942,0.022531906,0.119550571,0.014750761,0.079394433,0.017369729
5,612907_side_w1,0.479520358,0.104655501,66149,0.025307087,45.254833888,0.124472558,0.203314586,0.011959682,0.007288208,0.494877505,0.111316510,0.488852086,0.108785227,0.389465001,0.074576604,0.454189902,0.075582583,0.479520358,0.104655501
6,612907_side_o1,0.107092172,0.028398586,2375,0.008162888,7.999999992,0.089659602,0.091043095,0.005355476,0.002280227,0.111139911,0.034166494,0.108446531,0.029082651,0.104458443,0.019331601,0.110580120,0.017478446,0.107092172,0.028398586
7,612907_ventral_b1,0.391012266,0.025868257,34592,0.003974859,31.999999932,0.102249839,0.038873983,0.002286705,0.001025329,0.401372710,0.026992649,0.396016275,0.028649962,0.333651189,0.028186189,0.379908677,0.045385174,0.391012266,0.025868257
8,612907_ventral_b2,0.435352698,0.041523027,33856,0.005632582,15.999999975,0.094974036,0.059306543,0.003488620,0.001551569,0.437972864,0.044907755,0.439411757,0.044418317,0.379826031,0.034929520,0.517881836,0.034712268,0.435352698,0.041523027
9,612907_ventral_b3,0.434364483,0.032444273,33122,0.004788936,45.254833888,0.105538300,0.045376290,0.002669194,0.001476557,0.437920213,0.035020174,0.439470048,0.036037846,0.376757802,0.029466009,0.465206766,0.030327679,0.434364483,0.032444273
10,612907_ventral_t1,0.049171213,0.005134355,116277,0.002044318,181.019335363,0.123846572,0.016506860,0.000970992,0.000537391,0.043287802,0.005799766,0.050687459,0.006475109,0.065800235,0.008591228,0.059858376,0.006862354,0.049171213,0.005134355
11,612912_crown_c1,0.070388452,0.024217103,82532,0.002774833,2.000000000,0.090707203,0.030591096,0.001799476,0.000710610,0.057151434,0.019524560,0.074459514,0.027241663,0.087562746,0.029632908,0.138231467,0.034203898,0.070388452,0.024217103
12,612916_crown_c1,0.080831156,0.025439631,73398,0.002993880,5.656854245,0.075962270,0.039412728,0.002318396,0.000631640,0.067173312,0.026020234,0.084308325,0.026314912,0.100462647,0.028112192,0.159011995,0.056799573,0.080831156,0.025439631
13,612917_crown_c1,0.072380010,0.029009527,90094,0.003287474,2.000000000,0.099867621,0.032918315,0.001936371,0.000889656,0.059411001,0.024451349,0.076338027,0.031850495,0.090032329,0.035651540,0.143250709,0.043074031,0.072380010,0.029009527
14,612918_crown_c1,0.062372452,0.024358411,67264,0.002910076,2.000000000,0.104440771,0.027863408,0.001639024,0.000784188,0.052118942,0.021887862,0.066295444,0.027206938,0.075905055,0.028326181,0.112929847,0.028101136,0.062372452,0.024358411
15,612918_dorsal_d1,0.074915838,0.012054905,33856,0.001853239,2.000000000,0.149506212,0.012395735,0.000729161,0.000487376,0.069487155,0.010634180,0.076422685,0.013607538,0.090985447,0.015396844,0.106986677,0.012692544,0.074915838,0.012054905
16,612918_dorsal_d2,0.074685207,0.012262899,33856,0.001866827,2.000000000,0.147694634,0.012639772,0.000743516,0.000528816,0.069739004,0.010884223,0.076029673,0.013765908,0.090626303,0.015333444,0.103549786,0.012850051,0.074685207,0.012262899
17,612918_dorsal_d3,0.070239231,0.015424315,34224,0.001838052,2.000000000,0.090601648,0.020287178,0.001193363,0.000401921,0.068988810,0.018054469,0.071068404,0.016217836,0.082196894,0.014452708,0.086090908,0.014141869,0.070239231,0.015424315
18,612918_side_w1,0.372728780,0.119630659,47580,0.021558188,45.254833888,0.108781215,0.198179326,0.011657607,0.006210149,0.386098175,0.127221759,0.375802214,0.121896723,0.317548315,0.090465161,0.350289423,0.088604367,0.372728780,0.119630659
19,612918_side_o1,0.099694256,0.023599463,6176,0.006661218,63.999999831,0.104439122,0.063780868,0.003751816,0.001982512,0.105097709,0.028429958,0.100314973,0.024560865,0.098786538,0.016670776,0.105612880,0.010633173,0.099694256,0.023599463
20,612918_ventral_b1,0.405877702,0.030203059,34782,0.004105955,22.627416956,0.088804975,0.046235638,0.002719743,0.000856770,0.425416001,0.033028220,0.411157557,0.034149879,0.330296299,0.030466970,0.388287327,0.042208488,0.405877702,0.030203059
21,612918_ventral_b2,0.339068114,0.040047839,33306,0.005341185,31.999999932,0.108552810,0.049203566,0.002894327,0.001597492,0.342843918,0.042343616,0.342482637,0.042495922,0.300046623,0.035422266,0.376279125,0.036584603,0.339068114,0.040047839
22,612918_ventral_b3,0.371525987,0.055561954,35344,0.009475313,22.627416956,0.116720738,0.081179348,0.004775256,0.002420773,0.372693849,0.058392153,0.372723755,0.057981834,0.332404445,0.045439302,0.456432698,0.054175465,0.371525987,0.055561954
23,612918_ventral_t1,0.050706745,0.005718153,105374,0.002242207,127.999999595,0.132873348,0.016874766,0.000992633,0.000537706,0.045940392,0.006787715,0.051660927,0.006996633,0.068718294,0.008960699,0.061550592,0.006069236,0.050706745,0.005718153
24,612928_crown_c1,0.073010737,0.030064465,78305,0.003826860,15.999999975,0.082700461,0.046273745,0.002721985,0.000962507,0.059664204,0.025419902,0.076909370,0.032613087,0.090746465,0.035574705,0.144214142,0.052201666,0.073010737,0.030064465
25,612928_dorsal_d1,0.064559099,0.009023788,33856,0.001148370,22.627416956,0.095528228,0.012021261,0.000707133,0.000387597,0.059308341,0.008221241,0.066249567,0.010127572,0.080422301,0.012513880,0.088966170,0.013179655,0.064559099,0.009023788
26,612928_dorsal_d2,0.066029005,0.011822000,32760,0.001757072,31.999999932,0.115840982,0.015167962,0.000892233,0.000543514,0.060530644,0.010655000,0.067690784,0.012894031,0.082244539,0.014872611,0.093461833,0.018502512,0.066029005,0.011822000
27,612928_dorsal_d3,0.058069588,0.009696337,34410,0.001491013,31.999999932,0.116483485,0.012800205,0.000752953,0.000497872,0.052780529,0.008536988,0.059468379,0.010741860,0.075417164,0.012849246,0.079332072,0.015502111,0.058069588,0.009696337
28,612928_side_w1,0.389235524,0.107277410,46392,0.022888875,63.999999831,0.135602787,0.168793548,0.009929032,0.007036147,0.395354340,0.111787679,0.394846812,0.109205072,0.334842636,0.082151363,0.393214263,0.079684964,0.389235524,0.107277410
29,612928_side_o1,0.068326668,0.013820760,4361,0.004815993,11.313708484,0.091709049,0.052513828,0.003089049,0.001461644,0.065581301,0.015623047,0.069417494,0.014100808,0.081516704,0.011819735,0.087175759,0.008881960,0.068326668,0.013820760
30,612928_ventral_b1,0.382213591,0.039608282,32580,0.005447281,15.999999975,0.098796683,0.055136277,0.003243310,0.001329166,0.388253073,0.041822993,0.387795639,0.042437334,0.329265500,0.033726219,0.399409714,0.038003973,0.382213591,0.039608282
