 ,Label,lumMean,lumSD,area,maxPower,maxFreq,propPower,sumPower,meanPower,powerSD,lwMean,lwSD,mwMean,mwSD,swMean,swSD,uvMean,uvSD,dblMean,dblSD
1,612879_crown_c1,0.074404994,0.030857093,76732,0.003554944,7.999999992,0.078156661,0.045484846,0.002675579,0.000717016,0.060246013,0.026522329,0.079016751,0.033552155,0.091312014,0.033916846,0.160872212,0.054226380,0.074404994,0.030857093
2,612879_dorsal_d1,0.049400243,0.017142595,34225,0.002716706,2.000000000,0.154811274,0.017548505,0.001032265,0.000676520,0.045345439,0.016610954,0.052224868,0.019161047,0.059314996,0.021928841,0.078078991,0.017655651,0.049400243,0.017142595
3,612879_dorsal_d2,0.054419494,0.018722565,33124,0.002527063,2.000000000,0.139523255,0.018112131,0.001065419,0.000674728,0.048463509,0.015728387,0.057446474,0.021467256,0.066706370,0.022687898,0.089111657,0.019855552,0.054419494,0.018722565
4,612879_dorsal_d3,0.053034593,0.018491468,34782,0.002928268,2.000000000,0.170537770,0.017170788,0.001010046,0.000732700,0.048729911,0.015955371,0.055887940,0.020897009,0.063204693,0.022311744,0.085758579,0.018575668,0.053034593,0.018491468
5,612879_side_w1,0.363575675,0.099923242,37274,0.019644357,45.254833888,0.123283684,0.159342717,0.009373101,0.006154189,0.367468830,0.102421487,0.368415276,0.100732131,0.317750675,0.085307920,0.392411649,0.099552223,0.363575675,0.099923242
6,612879_side_o1,0.067356215,0.022915328,14933,0.008095976,127.999999595,0.094031521,0.086098536,0.005064620,0.002330801,0.069119061,0.027279754,0.070239071,0.023875245,0.066913829,0.016717081,0.091028322,0.023379058,0.067356215,0.022915328
7,612879_ventral_b1,0.095244499,0.070905619,30976,0.008652740,63.999999831,0.090589267,0.095516171,0.005618598,0.002067760,0.092199321,0.068843486,0.097599558,0.070802655,0.100375209,0.066730988,0.140300020,0.095102136,0.095244499,0.070905619
8,612879_ventral_b2,0.268191804,0.114290082,32761,0.015946564,45.254833888,0.111876135,0.142537672,0.008384569,0.004263129,0.265495313,0.115006920,0.270180500,0.113694798,0.250417383,0.099296947,0.342259426,0.118198476,0.268191804,0.114290082
9,612879_ventral_b3,0.385804445,0.086570107,32218,0.010635517,90.509667729,0.096270466,0.110475392,0.006498552,0.002837227,0.384443409,0.090799801,0.386728868,0.087331842,0.350709231,0.068816445,0.426247667,0.066570605,0.385804445,0.086570107
10,612879_ventral_t1,0.034620587,0.026644705,196102,0.010392264,127.999999595,0.111586546,0.093131872,0.005478345,0.003227036,0.032754196,0.025154070,0.036695620,0.026399632,0.043432694,0.026670555,0.046737965,0.037228646,0.034620587,0.026644705
