 ,Label,lumMean,lumSD,area,maxPower,maxFreq,propPower,sumPower,meanPower,powerSD,lwMean,lwSD,mwMean,mwSD,swMean,swSD,uvMean,uvSD,dblMean,dblSD
1,606673_crown_c1,0.065174131,0.029567051,74736,0.006332751,90.509667729,0.094682290,0.066884222,0.003934366,0.000982031,0.052843861,0.024408841,0.068912958,0.031362830,0.082270951,0.035558569,0.137390590,0.047178614,0.065174131,0.029567051
2,606673_dorsal_d1,0.039511967,0.007861454,34223,0.000902043,11.313708484,0.079379460,0.011363682,0.000668452,0.000289592,0.036632898,0.006685826,0.041257789,0.008459635,0.052639126,0.010976293,0.063464337,0.013940492,0.039511967,0.007861454
3,606673_dorsal_d2,0.039142820,0.007423762,32942,0.001144080,15.999999975,0.117870698,0.009706228,0.000570955,0.000374839,0.036323943,0.006393833,0.040932323,0.007933208,0.051918964,0.010545111,0.062591531,0.013043865,0.039142820,0.007423762
4,606673_dorsal_d3,0.039852191,0.007367131,34040,0.000963342,31.999999932,0.092731492,0.010388508,0.000611089,0.000337538,0.037259809,0.006602834,0.041574462,0.007931303,0.052536195,0.010053182,0.063732919,0.011958314,0.039852191,0.007367131
5,606673_side_w1,0.388298153,0.089629249,45318,0.020434899,63.999999831,0.125620387,0.162671840,0.009568932,0.005981969,0.391328404,0.094293643,0.388340484,0.091037387,0.347037491,0.073400174,0.411711069,0.079076912,0.388298153,0.089629249
6,606673_side_o1,0.054440430,0.012321395,4779,0.006897802,7.999999992,0.091664610,0.075250434,0.004426496,0.001958228,0.055478946,0.014808612,0.056273944,0.013545485,0.059833587,0.012056764,0.077496067,0.012643088,0.054440430,0.012321395
7,606673_ventral_b1,0.488636846,0.054422752,34225,0.007325045,63.999999831,0.100483448,0.072898024,0.004288119,0.002016668,0.498720060,0.059397373,0.484507988,0.056797702,0.423309837,0.045310411,0.525396406,0.039720334,0.488636846,0.054422752
8,606673_ventral_b2,0.493157093,0.037261835,34225,0.005090620,31.999999932,0.100867587,0.050468342,0.002968726,0.001262666,0.504396036,0.038423441,0.489842400,0.039746786,0.424802963,0.039123732,0.517683769,0.044971269,0.493157093,0.037261835
9,606673_ventral_b3,0.376936078,0.041378413,34224,0.005236282,31.999999932,0.090648392,0.057764758,0.003397927,0.001433084,0.373145184,0.044284475,0.372458024,0.043424670,0.349764597,0.038571582,0.480460063,0.036605035,0.376936078,0.041378413
10,606673_ventral_t1,0.031140979,0.007081209,149924,0.006662245,181.019335363,0.142730507,0.046677090,0.002745711,0.002236644,0.030266079,0.007577697,0.032861587,0.008048564,0.040907581,0.009593897,0.045123247,0.010033812,0.031140979,0.007081209
11,606674_crown_c1,0.069478536,0.023900865,99720,0.004286923,22.627416956,0.083369338,0.051420856,0.003024756,0.000662959,0.056224191,0.018636804,0.072762734,0.024686186,0.089148456,0.033574244,0.146046917,0.040603657,0.069478536,0.023900865
12,606674_dorsal_d1,0.056906235,0.017092561,34969,0.002600646,2.000000000,0.153928367,0.016895169,0.000993833,0.000668276,0.050861484,0.013919984,0.059003896,0.019227535,0.073120679,0.025172628,0.095711439,0.020077612,0.056906235,0.017092561
13,606674_dorsal_d2,0.054529013,0.015405735,34594,0.002295182,2.000000000,0.149498450,0.015352546,0.000903091,0.000615062,0.049101325,0.012546301,0.056586599,0.017253542,0.070127865,0.022946244,0.089235774,0.018020413,0.054529013,0.015405735
14,606674_dorsal_d3,0.058225607,0.017889300,34040,0.002991461,2.000000000,0.161379732,0.018536784,0.001090399,0.000725674,0.051699482,0.014195772,0.060409868,0.019858083,0.074869765,0.025931184,0.100046849,0.018991797,0.058225607,0.017889300
15,606674_side_w1,0.485069325,0.118366914,75257,0.027038185,63.999999831,0.123964835,0.218111734,0.012830102,0.007953948,0.488350200,0.122807757,0.481130957,0.118960350,0.429649913,0.096995317,0.503646002,0.097733259,0.485069325,0.118366914
16,606674_side_o1,0.061522579,0.015380789,5986,0.009781963,11.313708484,0.101426289,0.096444060,0.005673180,0.002724608,0.062832581,0.017801574,0.063324959,0.016320919,0.066073020,0.015072153,0.082731768,0.012064247,0.061522579,0.015380789
17,606674_ventral_b1,0.565506845,0.038211792,33855,0.004505675,15.999999975,0.085759639,0.052538405,0.003090494,0.001238660,0.587076975,0.038464457,0.565026459,0.039933150,0.466750972,0.041219245,0.514549571,0.062164612,0.565506845,0.038211792
18,606674_ventral_b2,0.420299692,0.046714681,33308,0.006849482,31.999999932,0.099643882,0.068739615,0.004043507,0.002339493,0.417431035,0.048330570,0.416572611,0.048203158,0.385605939,0.043944666,0.488068908,0.033666389,0.420299692,0.046714681
19,606674_ventral_b3,0.461573779,0.043561080,33123,0.005402307,15.999999975,0.090673533,0.059579758,0.003504692,0.001292930,0.461532819,0.044851794,0.456522535,0.044861042,0.416832797,0.041502023,0.507721624,0.050325961,0.461573779,0.043561080
20,606674_ventral_t1,0.034017142,0.009832687,168069,0.008463117,181.019335363,0.134310414,0.063011623,0.003706566,0.002723327,0.033125718,0.010387881,0.035779687,0.010631692,0.043415822,0.010942033,0.047064452,0.011134004,0.034017142,0.009832687
21,606675_crown_c1,0.071166615,0.026920562,108714,0.003030918,2.000000000,0.092724111,0.032687482,0.001922793,0.000908035,0.055707439,0.025738888,0.073972302,0.027922659,0.095753682,0.029699270,0.161142384,0.063858021,0.071166615,0.026920562
22,606675_dorsal_d1,0.061679208,0.009679323,34596,0.001396985,2.000000000,0.116904813,0.011949768,0.000702928,0.000414977,0.057031597,0.009089370,0.064348599,0.011109263,0.073503066,0.016050876,0.102483865,0.013706969,0.061679208,0.009679323
23,606675_dorsal_d2,0.060866479,0.009815794,33856,0.001518686,2.828427124,0.129361549,0.011739854,0.000690580,0.000462406,0.054142940,0.008354153,0.063574146,0.011248594,0.076166133,0.016858774,0.105313844,0.012700268,0.060866479,0.009815794
24,606675_dorsal_d3,0.060674796,0.010366790,33489,0.001463204,2.000000000,0.112549683,0.013000515,0.000764736,0.000416609,0.053001047,0.008470822,0.063401274,0.011746021,0.077330934,0.018060140,0.107087743,0.015871567,0.060674796,0.010366790
25,606675_side_w1,0.414641418,0.119620962,59119,0.026645559,63.999999831,0.130657876,0.203933817,0.011996107,0.007912181,0.429104615,0.126552429,0.418680792,0.120694538,0.346057727,0.097796163,0.378936097,0.092402576,0.414641418,0.119620962
