 ,Label,lumMean,lumSD,area,maxPower,maxFreq,propPower,sumPower,meanPower,powerSD,lwMean,lwSD,mwMean,mwSD,swMean,swSD,uvMean,uvSD,dblMean,dblSD
1,606673_crown_c1,0.065161263,0.029507601,72752,0.006322695,90.509667729,0.095023359,0.066538326,0.003914019,0.000985068,0.052831270,0.024359570,0.068900196,0.031281338,0.082257205,0.035484596,0.137366205,0.047156111,0.065161263,0.029507601
2,606673_dorsal_d1,0.039500094,0.007826593,33124,0.000904877,11.313708484,0.080329784,0.011264527,0.000662619,0.000298564,0.036625359,0.006655609,0.041242878,0.008409901,0.052633224,0.010920202,0.063428310,0.013876143,0.039500094,0.007826593
3,606673_dorsal_d2,0.039151419,0.007417094,32041,0.001145749,15.999999975,0.119318315,0.009602453,0.000564850,0.000383240,0.036334445,0.006383363,0.040941287,0.007921009,0.051923727,0.010539142,0.062595223,0.013042607,0.039151419,0.007417094
4,606673_dorsal_d3,0.039839023,0.007370412,33124,0.000963086,31.999999932,0.092860838,0.010371286,0.000610076,0.000342472,0.037247709,0.006599560,0.041562754,0.007932949,0.052515729,0.010058616,0.063705958,0.011975434,0.039839023,0.007370412
5,606673_side_w1,0.388312411,0.089570850,44107,0.020297676,63.999999831,0.125868660,0.161260760,0.009485927,0.006042325,0.391345837,0.094236624,0.388356637,0.090983080,0.347039917,0.073343503,0.411792763,0.078866211,0.388312411,0.089570850
6,606673_side_o1,0.054477299,0.012327911,4657,0.006899708,7.999999992,0.092095667,0.074918925,0.004406996,0.001968315,0.055535100,0.014822979,0.056305406,0.013527531,0.059853597,0.011978540,0.077554051,0.012670764,0.054477299,0.012327911
7,606673_ventral_b1,0.488689959,0.054464512,33487,0.007210663,45.254833888,0.099123104,0.072744527,0.004279090,0.001998496,0.498775545,0.059437119,0.484569796,0.056814210,0.423329999,0.045318163,0.525396977,0.039815444,0.488689959,0.054464512
8,606673_ventral_b2,0.493038137,0.037197896,33124,0.005116082,31.999999932,0.101459131,0.050425054,0.002966180,0.001309210,0.504263692,0.038364222,0.489732241,0.039573095,0.424709258,0.039017884,0.517556818,0.044933421,0.493038137,0.037197896
9,606673_ventral_b3,0.376791421,0.041470565,33306,0.005226736,15.999999975,0.090453071,0.057783950,0.003399056,0.001374548,0.372991144,0.044376670,0.372309354,0.043461787,0.349677582,0.038592832,0.480340963,0.036678274,0.376791421,0.041470565
10,606673_ventral_t1,0.031139869,0.007071468,145904,0.007024787,181.019335363,0.143554920,0.048934490,0.002878499,0.002373274,0.030265002,0.007566997,0.032860562,0.008027076,0.040906168,0.009567862,0.045122583,0.010027780,0.031139869,0.007071468
11,606674_crown_c1,0.069458623,0.023871730,97048,0.004284683,22.627416956,0.083322934,0.051422616,0.003024860,0.000664013,0.056206294,0.018618661,0.072742769,0.024648978,0.089129354,0.033501595,0.146030268,0.040590491,0.069458623,0.023871730
12,606674_dorsal_d1,0.056897094,0.017032107,33856,0.002581030,2.000000000,0.153294061,0.016837114,0.000990418,0.000656756,0.050854908,0.013886552,0.058995687,0.019120532,0.073104231,0.025107933,0.095712277,0.020075819,0.056897094,0.017032107
13,606674_dorsal_d2,0.054519186,0.015352653,33489,0.002275284,2.000000000,0.146167085,0.015566320,0.000915666,0.000589549,0.049089464,0.012497075,0.056576511,0.017157664,0.070122802,0.022903327,0.089228853,0.018017731,0.054519186,0.015352653
14,606674_dorsal_d3,0.058229884,0.017955845,33124,0.002968784,2.000000000,0.162042857,0.018320978,0.001077705,0.000719776,0.051699892,0.014260230,0.060413221,0.019934721,0.074880575,0.026046849,0.100068630,0.018989977,0.058229884,0.017955845
15,606674_side_w1,0.484900650,0.118675805,73245,0.026983860,63.999999831,0.123767316,0.218020886,0.012824758,0.007973660,0.488180665,0.123105906,0.480962849,0.119235658,0.429507733,0.097274433,0.503563926,0.097896063,0.484900650,0.118675805
16,606674_side_o1,0.062009313,0.016194550,5819,0.009953215,11.313708484,0.101019307,0.098527850,0.005795756,0.002771397,0.063395329,0.018595281,0.063807979,0.017142885,0.066411760,0.015582774,0.083137701,0.012744709,0.062009313,0.016194550
17,606674_ventral_b1,0.565500961,0.038213645,32761,0.004517751,22.627416956,0.085521880,0.052825673,0.003107393,0.001274061,0.587060466,0.038481771,0.565011357,0.039872056,0.466771840,0.041217490,0.514611950,0.062187718,0.565500961,0.038213645
18,606674_ventral_b2,0.420423717,0.046669692,32401,0.006906142,31.999999932,0.100158576,0.068952077,0.004056005,0.002352276,0.417546671,0.048303070,0.416705643,0.048126721,0.385694386,0.043838481,0.488174449,0.033624341,0.420423717,0.046669692
19,606674_ventral_b3,0.461578791,0.043556974,32399,0.005399800,15.999999975,0.091043406,0.059310176,0.003488834,0.001284934,0.461538747,0.044848868,0.456520936,0.044798060,0.416843682,0.041472909,0.507789455,0.050320642,0.461578791,0.043556974
20,606674_ventral_t1,0.034032493,0.009853074,163579,0.008359431,181.019335363,0.132881173,0.062909070,0.003700534,0.002695621,0.033143917,0.010422515,0.035795407,0.010645228,0.043424860,0.010928480,0.047079059,0.011130884,0.034032493,0.009853074
21,606675_crown_c1,0.071191815,0.026881112,105784,0.003008685,2.000000000,0.092414919,0.032556264,0.001915074,0.000916385,0.055732042,0.025684056,0.074000496,0.027866501,0.095767246,0.029671724,0.161137868,0.063801013,0.071191815,0.026881112
22,606675_dorsal_d1,0.061669339,0.009658974,33672,0.001399153,2.000000000,0.117192709,0.011938907,0.000702289,0.000421178,0.057011860,0.009056143,0.064339664,0.011069125,0.073507071,0.016033552,0.102482959,0.013713017,0.061669339,0.009658974
23,606675_dorsal_d2,0.060906418,0.009809476,32761,0.001517098,2.828427124,0.130035916,0.011666763,0.000686280,0.000462295,0.054157293,0.008341781,0.063611402,0.011235268,0.076256083,0.016816312,0.105452824,0.012645642,0.060906418,0.009809476
24,606675_dorsal_d3,0.060670457,0.010358855,32759,0.001458070,2.000000000,0.112757203,0.012931057,0.000760650,0.000417963,0.053005020,0.008467346,0.063395863,0.011728260,0.077315307,0.018039329,0.107057012,0.015874482,0.060670457,0.010358855
25,606675_side_w1,0.414895518,0.119337814,57493,0.026586598,63.999999831,0.130440310,0.203821950,0.011989526,0.007931511,0.429368504,0.126269364,0.418935886,0.120406756,0.346257522,0.097574034,0.379100774,0.092219261,0.414895518,0.119337814
26,606675_side_o1,0.056179844,0.015531730,7531,0.007724948,15.999999975,0.111184475,0.069478659,0.004086980,0.002034200,0.058601628,0.017870952,0.057974876,0.016254072,0.059145713,0.012965949,0.074175555,0.014290598,0.056179844,0.015531730
27,606675_ventral_b1,0.518769322,0.041265134,33489,0.005771456,11.313708484,0.097708853,0.059067891,0.003474582,0.001316468,0.526904008,0.043764520,0.515239657,0.044147556,0.450167487,0.037972173,0.543648407,0.038026505,0.518769322,0.041265134
28,606675_ventral_b2,0.415090523,0.048574342,34040,0.007801082,22.627416956,0.117835798,0.066202989,0.003894293,0.002423514,0.414714571,0.050428649,0.413258610,0.050959041,0.375030158,0.042743961,0.484004375,0.039839697,0.415090523,0.048574342
29,606675_ventral_b3,0.410334344,0.042238788,34782,0.005289467,15.999999975,0.093059697,0.056839507,0.003343500,0.001430038,0.412891001,0.043512429,0.410708120,0.044664753,0.364635621,0.040395020,0.429712672,0.041919099,0.410334344,0.042238788
30,606675_ventral_t1,0.034167982,0.007879185,180957,0.009148386,181.019335363,0.168531547,0.054282928,0.003193113,0.002955925,0.033319203,0.008944035,0.036096082,0.008641693,0.042813331,0.008917831,0.048184457,0.011630999,0.034167982,0.007879185
31,606697_crown_c1,0.074975776,0.035175286,86150,0.004026917,2.000000000,0.096186653,0.041865650,0.002462685,0.001193145,0.058970622,0.032036495,0.079639815,0.038328486,0.094699765,0.037786859,0.173444989,0.061643243,0.074975776,0.035175286
32,606697_dorsal_b1,0.049956707,0.010515480,33856,0.001481251,11.313708484,0.105765982,0.014004989,0.000823823,0.000506868,0.045044932,0.008724546,0.052279156,0.011599796,0.063981673,0.015602768,0.080507022,0.017188306,0.049956707,0.010515480
33,606697_dorsal_b2,0.052726826,0.012044937,33489,0.001627235,3.999999998,0.102930109,0.015809121,0.000929948,0.000631005,0.047656822,0.010967804,0.055055530,0.013183751,0.066830742,0.016048180,0.087178470,0.017360301,0.052726826,0.012044937
34,606697_dorsal_b3,0.050439524,0.010000137,33124,0.001441470,22.627416956,0.111745360,0.012899597,0.000758800,0.000523060,0.046281170,0.008775959,0.052752483,0.011161739,0.063217184,0.014452638,0.080107455,0.015719916,0.050439524,0.010000137
35,606697_side_w1,0.401010906,0.108996709,65031,0.019707184,63.999999831,0.092982337,0.211945453,0.012467380,0.006481954,0.403075380,0.108691132,0.404420031,0.109394447,0.347663724,0.093405158,0.427193021,0.119470241,0.401010906,0.108996709
36,606697_side_o1,0.050655866,0.007115377,6826,0.010940129,22.627416956,0.111023905,0.098538500,0.005796382,0.003015145,0.050342029,0.007937722,0.052405376,0.007623393,0.058675537,0.007575368,0.071299480,0.008925629,0.050655866,0.007115377
37,606697_ventral_b1,0.475976273,0.037226135,33855,0.005377043,45.254833888,0.109124478,0.049274396,0.002898494,0.001515633,0.488260036,0.038854232,0.477852326,0.040114815,0.402780161,0.037811476,0.474069721,0.038602322,0.475976273,0.037226135
38,606697_ventral_b2,0.440274253,0.029723164,33124,0.004348913,45.254833888,0.106849541,0.040701278,0.002394193,0.001290303,0.451345022,0.030655207,0.445011995,0.033130219,0.368837887,0.035517994,0.426469299,0.048301443,0.440274253,0.029723164
39,606697_ventral_b3,0.313495353,0.059084246,34225,0.007127034,45.254833888,0.092925685,0.076696056,0.004511533,0.001704181,0.309904488,0.062824127,0.317451363,0.061660482,0.287257403,0.048880324,0.342678285,0.046380751,0.313495353,0.059084246
40,606697_ventral_t1,0.032673061,0.005966988,125559,0.002578133,181.019335363,0.117481050,0.021945098,0.001290888,0.000667989,0.031689121,0.006828426,0.034501787,0.007026676,0.041909914,0.008413104,0.042225881,0.006910720,0.032673061,0.005966988
41,606698_crown_c1,0.055839764,0.022015540,94423,0.002528880,2.000000000,0.092164864,0.027438655,0.001614039,0.000650883,0.046995639,0.019943569,0.060020491,0.024322847,0.067186512,0.025164845,0.112297788,0.039369538,0.055839764,0.022015540
42,606698_dorsal_d1,0.065923230,0.007837201,32942,0.000936154,63.999999831,0.091359198,0.010246960,0.000602762,0.000292895,0.061302199,0.007888760,0.068813812,0.009324323,0.076405809,0.012638483,0.102152487,0.014957735,0.065923230,0.007837201
43,606698_dorsal_d2,0.070143222,0.007190029,33856,0.000899634,11.313708484,0.096300541,0.009341945,0.000549526,0.000263373,0.064297210,0.007498912,0.073166899,0.009002754,0.082127277,0.012316770,0.112589943,0.011632461,0.070143222,0.007190029
44,606698_dorsal_d3,0.069383451,0.006412356,32761,0.000761287,2.000000000,0.100317704,0.007588756,0.000446397,0.000239130,0.064217728,0.007034052,0.072403564,0.008317875,0.080290023,0.011507940,0.110760806,0.009891401,0.069383451,0.006412356
