 ,Label,lumMean,lumSD,area,maxPower,maxFreq,propPower,sumPower,meanPower,powerSD,lwMean,lwSD,mwMean,mwSD,swMean,swSD,uvMean,uvSD,dblMean,dblSD
1,614261_crown_c1,0.062066588,0.018471301,87505,0.004451232,63.999999831,0.084970833,0.052385409,0.003081495,0.000838225,0.051329803,0.017982237,0.066406239,0.019014265,0.076198418,0.021399414,0.127980649,0.051791899,0.062066588,0.018471301
2,614261_dorsal_d1,0.050101101,0.012443658,33124,0.002015081,2.000000000,0.129533896,0.015556396,0.000915082,0.000420927,0.046831139,0.009962029,0.052326532,0.013756566,0.061438056,0.019116610,0.080496811,0.015054150,0.050101101,0.012443658
3,614261_dorsal_d2,0.052327914,0.014015881,34596,0.002111061,2.000000000,0.117835154,0.017915375,0.001053846,0.000555206,0.048834385,0.011299504,0.054514195,0.015448906,0.064207910,0.020456519,0.084314414,0.016579120,0.052327914,0.014015881
4,614261_dorsal_d3,0.058470246,0.013920581,34410,0.002486287,2.000000000,0.170536913,0.014579173,0.000857598,0.000680298,0.055095682,0.011733204,0.060698934,0.015296426,0.069689652,0.020105808,0.093827496,0.013650034,0.058470246,0.013920581
5,614261_side_w1,0.452109556,0.130076604,95211,0.027483311,63.999999831,0.103895867,0.264527469,0.015560439,0.007372806,0.470826218,0.141293394,0.450251563,0.130385445,0.386497719,0.099811028,0.374501016,0.094767432,0.452109556,0.130076604
6,614261_side_o1,0.061136741,0.013272905,7992,0.007885716,15.999999975,0.110555838,0.071327903,0.004195759,0.002384453,0.063849293,0.016810147,0.061944518,0.013507767,0.066845561,0.010660305,0.076085117,0.008613047,0.061136741,0.013272905
7,614261_ventral_b1,0.432904939,0.052244976,32220,0.007401502,11.313708484,0.098029796,0.075502570,0.004441328,0.002276882,0.458367831,0.057379216,0.441810324,0.055198305,0.333374938,0.043071713,0.369402900,0.050485604,0.432904939,0.052244976
8,614261_ventral_b2,0.438795196,0.059525367,32942,0.007608444,31.999999932,0.097889655,0.077724704,0.004572041,0.001947310,0.440463842,0.063673026,0.438734480,0.061201771,0.386189001,0.048172131,0.481354171,0.047350189,0.438795196,0.059525367
9,614261_ventral_b3,0.442338108,0.050340192,32399,0.008139277,45.254833888,0.122645629,0.066364186,0.003903776,0.002163655,0.443805453,0.053873841,0.443715436,0.052730252,0.388250283,0.041312336,0.454819110,0.034910484,0.442338108,0.050340192
10,614261_ventral_t1,0.036365067,0.008654669,143266,0.007097604,90.509667729,0.140289109,0.050592691,0.002976041,0.002225846,0.035765581,0.009011836,0.038216834,0.009444060,0.044858943,0.010197994,0.050394063,0.011188651,0.036365067,0.008654669
11,614262_crown_c1,0.091339825,0.030408395,89220,0.004504221,63.999999831,0.093736923,0.048051725,0.002826572,0.001219366,0.081061938,0.030937210,0.097179338,0.031732879,0.097950952,0.028739004,0.150196088,0.064229910,0.091339825,0.030408395
12,614262_dorsal_d1,0.072622337,0.029459524,34410,0.004732678,2.000000000,0.220799034,0.021434322,0.001260842,0.001096237,0.065429890,0.025597740,0.074801630,0.033131993,0.089338547,0.035515149,0.120614460,0.024917665,0.072622337,0.029459524
