ID1,ID2,lat,lon,elevation,Tmax01,Tmax02,Tmax03,Tmax04,Tmax05,Tmax06,Tmax07,Tmax08,Tmax09,Tmax10,Tmax11,Tmax12,Tmin01,Tmin02,Tmin03,Tmin04,Tmin05,Tmin06,Tmin07,Tmin08,Tmin09,Tmin10,Tmin11,Tmin12,Tave01,Tave02,Tave03,Tave04,Tave05,Tave06,Tave07,Tave08,Tave09,Tave10,Tave11,Tave12,PPT01,PPT02,PPT03,PPT04,PPT05,PPT06,PPT07,PPT08,PPT09,PPT10,PPT11,PPT12,rsds01,rsds02,rsds03,rsds04,rsds05,rsds06,rsds07,rsds08,rsds09,rsds10,rsds11,rsds12,DD_0_01,DD_0_02,DD_0_03,DD_0_04,DD_0_05,DD_0_06,DD_0_07,DD_0_08,DD_0_09,DD_0_10,DD_0_11,DD_0_12,DD5_01,DD5_02,DD5_03,DD5_04,DD5_05,DD5_06,DD5_07,DD5_08,DD5_09,DD5_10,DD5_11,DD5_12,DD_18_01,DD_18_02,DD_18_03,DD_18_04,DD_18_05,DD_18_06,DD_18_07,DD_18_08,DD_18_09,DD_18_10,DD_18_11,DD_18_12,DD18_01,DD18_02,DD18_03,DD18_04,DD18_05,DD18_06,DD18_07,DD18_08,DD18_09,DD18_10,DD18_11,DD18_12,NFFD01,NFFD02,NFFD03,NFFD04,NFFD05,NFFD06,NFFD07,NFFD08,NFFD09,NFFD10,NFFD11,NFFD12,PAS01,PAS02,PAS03,PAS04,PAS05,PAS06,PAS07,PAS08,PAS09,PAS10,PAS11,PAS12,Eref01,Eref02,Eref03,Eref04,Eref05,Eref06,Eref07,Eref08,Eref09,Eref10,Eref11,Eref12,CMD01,CMD02,CMD03,CMD04,CMD05,CMD06,CMD07,CMD08,CMD09,CMD10,CMD11,CMD12,RH01,RH02,RH03,RH04,RH05,RH06,RH07,RH08,RH09,RH10,RH11,RH12,CMI01,CMI02,CMI03,CMI04,CMI05,CMI06,CMI07,CMI08,CMI09,CMI10,CMI11,CMI12
606619,606619,36.87043,-82.525983,904,5.7,8.6,13.1,19.6,24.3,24.9,27.2,25.9,22.7,20,10.9,8.2,-2.7,-2.5,2,7.1,13.1,14.5,16.8,15.2,12.6,5.6,1,-0.9,1.5,3,7.6,13.4,18.7,19.7,22,20.5,17.6,12.8,6,3.6,104,163,226,75,127,126,147,88,97,30,125,278,9.9,11.2,15.5,19.3,19.2,21,19.3,17.6,14.3,13.9,9.5,8.6,48,29,8,0,0,0,0,0,0,0,9,27,28,35,110,252,424,440,526,480,378,244,74,45,514,416,325,151,40,24,6,14,56,171,360,444,0,0,1,12,59,77,126,92,44,8,0,0,9,0,4,30,31,30,31,31,30,30,1,0,10,6,0,0,0,0,0,0,0,0,1,4,26,38,67,105,134,134,144,128,93,77,36,28,0,0,0,30,7,8,0,40,0,47,0,0,69,61,64,61,66,69,69,68,69,56,67,69,9.1,14.15,18.16,-0.66,2.51,2.38,3.12,-2.12,0.76,-5.82,9.26,25.7
606621,606621,36.87043,-82.525983,904,5.7,8.6,13.1,19.6,24.3,24.9,27.2,25.9,22.7,20,10.9,8.2,-2.7,-2.5,2,7.1,13.1,14.5,16.8,15.2,12.6,5.6,1,-0.9,1.5,3,7.6,13.4,18.7,19.7,22,20.5,17.6,12.8,6,3.6,104,163,226,75,127,126,147,88,97,30,125,278,9.9,11.2,15.5,19.3,19.2,21,19.3,17.6,14.3,13.9,9.5,8.6,48,29,8,0,0,0,0,0,0,0,9,27,28,35,110,252,424,440,526,480,378,244,74,45,514,416,325,151,40,24,6,14,56,171,360,444,0,0,1,12,59,77,126,92,44,8,0,0,9,0,4,30,31,30,31,31,30,30,1,0,10,6,0,0,0,0,0,0,0,0,1,4,26,38,67,105,134,134,144,128,93,77,36,28,0,0,0,30,7,8,0,40,0,47,0,0,69,61,64,61,66,69,69,68,69,56,67,69,9.1,14.15,18.16,-0.66,2.51,2.38,3.12,-2.12,0.76,-5.82,9.26,25.7
606622,606622,36.87043,-82.525983,904,5.7,8.6,13.1,19.6,24.3,24.9,27.2,25.9,22.7,20,10.9,8.2,-2.7,-2.5,2,7.1,13.1,14.5,16.8,15.2,12.6,5.6,1,-0.9,1.5,3,7.6,13.4,18.7,19.7,22,20.5,17.6,12.8,6,3.6,104,163,226,75,127,126,147,88,97,30,125,278,9.9,11.2,15.5,19.3,19.2,21,19.3,17.6,14.3,13.9,9.5,8.6,48,29,8,0,0,0,0,0,0,0,9,27,28,35,110,252,424,440,526,480,378,244,74,45,514,416,325,151,40,24,6,14,56,171,360,444,0,0,1,12,59,77,126,92,44,8,0,0,9,0,4,30,31,30,31,31,30,30,1,0,10,6,0,0,0,0,0,0,0,0,1,4,26,38,67,105,134,134,144,128,93,77,36,28,0,0,0,30,7,8,0,40,0,47,0,0,69,61,64,61,66,69,69,68,69,56,67,69,9.1,14.15,18.16,-0.66,2.51,2.38,3.12,-2.12,0.76,-5.82,9.26,25.7
606623,606623,37.37291,-80.57508,1016,4.3,6.7,10.1,16.6,22.1,23.8,26.3,24.7,21.6,17.9,8.9,6.7,-5.2,-4.6,-0.3,4.3,10.9,13,16,14.2,10.9,3.8,-1.4,-3,-0.5,1.1,4.9,10.5,16.5,18.4,21.1,19.4,16.2,10.8,3.8,1.9,79,64,196,77,112,67,103,48,40,16,109,148,9.9,11.2,15.3,19.2,18.7,21.2,18.7,17,13.9,13.4,9.4,8.6,76,47,17,1,0,0,0,0,0,1,20,41,18,22,61,172,357,401,499,446,337,187,42,30,575,469,408,228,77,39,9,23,81,224,426,496,0,0,0,5,30,53,105,67,28,4,0,0,5,0,0,24,31,30,31,31,30,21,0,0,15,6,1,0,0,0,0,0,0,0,3,6,0,35,58,94,126,132,140,122,91,70,33,26,0,0,0,17,14,65,37,74,51,54,0,0,64,59,65,61,66,67,69,68,67,56,65,65,7.02,4.94,16.73,0.81,2.08,-3.19,-0.82,-5.47,-4.71,-6.24,8.55,13.24
606627,606627,37.37291,-80.57508,1016,4.3,6.7,10.1,16.6,22.1,23.8,26.3,24.7,21.6,17.9,8.9,6.7,-5.2,-4.6,-0.3,4.3,10.9,13,16,14.2,10.9,3.8,-1.4,-3,-0.5,1.1,4.9,10.5,16.5,18.4,21.1,19.4,16.2,10.8,3.8,1.9,79,64,196,77,112,67,103,48,40,16,109,148,9.9,11.2,15.3,19.2,18.7,21.2,18.7,17,13.9,13.4,9.4,8.6,76,47,17,1,0,0,0,0,0,1,20,41,18,22,61,172,357,401,499,446,337,187,42,30,575,469,408,228,77,39,9,23,81,224,426,496,0,0,0,5,30,53,105,67,28,4,0,0,5,0,0,24,31,30,31,31,30,21,0,0,15,6,1,0,0,0,0,0,0,0,3,6,0,35,58,94,126,132,140,122,91,70,33,26,0,0,0,17,14,65,37,74,51,54,0,0,64,59,65,61,66,67,69,68,67,56,65,65,7.02,4.94,16.73,0.81,2.08,-3.19,-0.82,-5.47,-4.71,-6.24,8.55,13.24
606633,606633,36.879225,-82.542415,916,5.6,8.4,13,19.4,24.1,24.8,27,25.7,22.5,19.8,10.8,8.1,-2.8,-2.6,1.8,6.8,12.9,14.3,16.6,14.9,12.4,5.4,0.9,-1,1.4,2.9,7.4,13.1,18.5,19.6,21.8,20.3,17.4,12.6,5.9,3.5,104,163,225,75,126,129,151,91,95,31,124,276,9.9,11.1,15.5,19.3,19.2,21.1,19.3,17.6,14.3,13.8,9.4,8.5,49,30,8,1,0,0,0,0,0,0,10,27,27,34,106,244,418,437,520,474,372,238,72,44,517,419,331,160,43,25,6,15,59,177,363,447,0,0,1,10,55,75,121,87,41,7,0,0,9,0,3,30,31,30,31,31,30,29,1,0,10,6,0,0,0,0,0,0,0,0,1,4,26,38,67,104,134,135,143,128,92,76,36,27,0,0,0,29,8,6,0,37,0,45,0,0,69,62,63,61,66,68,69,68,69,56,67,68,9.12,14.22,18.12,-0.61,2.51,2.68,3.63,-1.76,0.64,-5.63,9.21,25.54
606634,606634,36.879225,-82.542415,916,5.6,8.4,13,19.4,24.1,24.8,27,25.7,22.5,19.8,10.8,8.1,-2.8,-2.6,1.8,6.8,12.9,14.3,16.6,14.9,12.4,5.4,0.9,-1,1.4,2.9,7.4,13.1,18.5,19.6,21.8,20.3,17.4,12.6,5.9,3.5,104,163,225,75,126,129,151,91,95,31,124,276,9.9,11.1,15.5,19.3,19.2,21.1,19.3,17.6,14.3,13.8,9.4,8.5,49,30,8,1,0,0,0,0,0,0,10,27,27,34,106,244,418,437,520,474,372,238,72,44,517,419,331,160,43,25,6,15,59,177,363,447,0,0,1,10,55,75,121,87,41,7,0,0,9,0,3,30,31,30,31,31,30,29,1,0,10,6,0,0,0,0,0,0,0,0,1,4,26,38,67,104,134,135,143,128,92,76,36,27,0,0,0,29,8,6,0,37,0,45,0,0,69,62,63,61,66,68,69,68,69,56,67,68,9.12,14.22,18.12,-0.61,2.51,2.68,3.63,-1.76,0.64,-5.63,9.21,25.54
606637,606637,37.37291,-80.57508,1016,4.3,6.7,10.1,16.6,22.1,23.8,26.3,24.7,21.6,17.9,8.9,6.7,-5.2,-4.6,-0.3,4.3,10.9,13,16,14.2,10.9,3.8,-1.4,-3,-0.5,1.1,4.9,10.5,16.5,18.4,21.1,19.4,16.2,10.8,3.8,1.9,79,64,196,77,112,67,103,48,40,16,109,148,9.9,11.2,15.3,19.2,18.7,21.2,18.7,17,13.9,13.4,9.4,8.6,76,47,17,1,0,0,0,0,0,1,20,41,18,22,61,172,357,401,499,446,337,187,42,30,575,469,408,228,77,39,9,23,81,224,426,496,0,0,0,5,30,53,105,67,28,4,0,0,5,0,0,24,31,30,31,31,30,21,0,0,15,6,1,0,0,0,0,0,0,0,3,6,0,35,58,94,126,132,140,122,91,70,33,26,0,0,0,17,14,65,37,74,51,54,0,0,64,59,65,61,66,67,69,68,67,56,65,65,7.02,4.94,16.73,0.81,2.08,-3.19,-0.82,-5.47,-4.71,-6.24,8.55,13.24
606639,606639,36.879,-82.574,948,5.5,8.3,12.9,19.2,24,24.6,26.9,25.6,22.4,19.7,10.7,8,-3.1,-2.8,1.6,6.6,12.7,14.1,16.4,14.7,12.1,5.3,0.7,-1.2,1.2,2.8,7.2,12.9,18.4,19.4,21.6,20.1,17.2,12.5,5.7,3.4,110,171,235,79,132,132,156,94,95,32,129,292,10,11.2,15.6,19.4,19.2,21.1,19.3,17.6,14.3,13.8,9.5,8.6,52,31,9,1,0,0,0,0,0,0,10,28,26,33,101,238,415,431,514,468,366,235,69,43,523,422,337,165,44,27,7,17,62,179,369,450,0,0,1,10,54,71,117,83,39,7,0,0,8,0,2,30,31,30,31,31,30,29,1,0,12,7,0,0,0,0,0,0,0,0,1,4,26,38,67,103,134,134,143,128,93,76,36,27,0,0,0,24,2,2,0,34,0,44,0,0,69,61,63,61,66,68,69,68,69,56,67,68,9.76,15.06,19.17,-0.14,3.09,3.06,4.1,-1.48,0.59,-5.51,9.75,27.17
606641,606641,36.879,-82.574,948,5.5,8.3,12.9,19.2,24,24.6,26.9,25.6,22.4,19.7,10.7,8,-3.1,-2.8,1.6,6.6,12.7,14.1,16.4,14.7,12.1,5.3,0.7,-1.2,1.2,2.8,7.2,12.9,18.4,19.4,21.6,20.1,17.2,12.5,5.7,3.4,110,171,235,79,132,132,156,94,95,32,129,292,10,11.2,15.6,19.4,19.2,21.1,19.3,17.6,14.3,13.8,9.5,8.6,52,31,9,1,0,0,0,0,0,0,10,28,26,33,101,238,415,431,514,468,366,235,69,43,523,422,337,165,44,27,7,17,62,179,369,450,0,0,1,10,54,71,117,83,39,7,0,0,8,0,2,30,31,30,31,31,30,29,1,0,12,7,0,0,0,0,0,0,0,0,1,4,26,38,67,103,134,134,143,128,93,76,36,27,0,0,0,24,2,2,0,34,0,44,0,0,69,61,63,61,66,68,69,68,69,56,67,68,9.76,15.06,19.17,-0.14,3.09,3.06,4.1,-1.48,0.59,-5.51,9.75,27.17
