"Response","Explanatory","R2m","P_value"
"Crown PC1","Fixed effect: Dorsum PC1, Random effect: Year","0.21","5.69e-07"
"Throat PC1","Fixed effect: Dorsum PC1, Random effect: Year","0.11","9.15e-04"
"Covert PC1","Fixed effect: Dorsum PC1, Random effect: Year","0.26","2.67e-07"
"Belly PC1","Fixed effect: Dorsum PC1, Random effect: Year","0.021","0.18"
"Wing spot area (mm²)","Fixed effect: Dorsum PC1, Random effect: Year","5.51e-06","0.98"
"Crown PC1","Fixed effect: Wing spot PC1, Random effect: Year","0.027","0.067"
"Covert PC1","Fixed effect: Wing spot PC1, Random effect: Year","0.0048","0.41"
"Belly PC1","Fixed effect: Wing spot PC1, Random effect: Year","0.024","0.095"
"Mantle PC1","Fixed effect: Wing spot PC1, Random effect: Year","0.034","0.0093"
"Throat PC1","Fixed effect: Wing spot PC1, Random effect: Year","0.024","0.06"
"Crown PC1","Fixed effect: Wing spot area (mm²), Random effect: Year","1.13e-04","0.91"
"Covert PC1","Fixed effect: Wing spot area (mm²), Random effect: Year","0.0026","0.54"
"Belly PC1","Fixed effect: Wing spot area (mm²), Random effect: Year","0.03","0.061"
"Mantle PC1","Fixed effect: Wing spot area (mm²), Random effect: Year","2.54e-04","0.82"
"Throat PC1","Fixed effect: Wing spot area (mm²), Random effect: Year","0.0022","0.57"
