"model_name","Term","p-value","edf","Ref.df","F","Estimate","Std. Error","t value"
"Spatiotemporal","(Intercept)","0.02",NA,NA,NA,-0.3,0.13,-2.33
"Spatiotemporal","s(lon,lat)","<0.001",7.94,10.23,5.92,NA,NA,NA
"Spatiotemporal","Year","0.03",NA,NA,NA,0,0,2.25
"Full","(Intercept)","<0.001",NA,NA,NA,-0.01,0,-4.27
"Full","s(lon,lat)","0.02",2.11,29,0.18,NA,NA,NA
"Full","s(ndvi_M)","0.92",0,9,0,NA,NA,NA
"Full","s(PPT_br)","0.1",0.95,9,0.19,NA,NA,NA
"Full","s(RH_br)","0.41",0,9,0,NA,NA,NA
"Full","s(srtm)","<0.001",3.17,9,1.89,NA,NA,NA
"Full","s(Tave_br)","<0.001",2.73,9,2.67,NA,NA,NA
