"Chr","source","type","start","end","V6","V7","V8","gene.hit","RefSeq.Protein.Accession"
"chr4a","blastx","protein_match",2413618,2420352,"223","-",".","ID=chr4a:hit:696:3.10.0.24;Name=XP_012428524.1","XP_012428524.1"
"chr4a","blastx","protein_match",2414290,2418493,"170","-",".","ID=chr4a:hit:697:3.10.0.24;Name=XP_030131243.1","XP_030131243.1"
"chr4a","blastx","protein_match",2413618,2420352,"223","-",".","ID=chr4a:hit:698:3.10.0.24;Name=XP_030128742.1","XP_030128742.1"
"chr4a","blastx","protein_match",2414290,2420352,"156","-",".","ID=chr4a:hit:699:3.10.0.24;Name=XP_030127017.2","XP_030127017.2"
"chr4a","blastx","protein_match",2414290,2420352,"154","-",".","ID=chr4a:hit:700:3.10.0.24;Name=XP_030127018.1","XP_030127018.1"
"chr4a","blastx","protein_match",2414290,2420352,"154","-",".","ID=chr4a:hit:701:3.10.0.24;Name=XP_030127019.1","XP_030127019.1"
"chr4a","blastx","protein_match",2414290,2418493,"170","-",".","ID=chr4a:hit:702:3.10.0.24;Name=XP_004175098.1","XP_004175098.1"
"chr4a","blastx","protein_match",2414290,2420352,"154","-",".","ID=chr4a:hit:703:3.10.0.24;Name=XP_032603954.1","XP_032603954.1"
"chr4a","protein2genome","protein_match",2413618,2420352,"1452","-",".","ID=chr4a:hit:704:3.10.0.24;Name=XP_012428524.1","XP_012428524.1"
"chr4a","protein2genome","protein_match",2413618,2420352,"1452","-",".","ID=chr4a:hit:705:3.10.0.24;Name=XP_030128742.1","XP_030128742.1"
"chr4a","protein2genome","protein_match",2414284,2420352,"905","-",".","ID=chr4a:hit:706:3.10.0.24;Name=XP_030127017.2","XP_030127017.2"
"chr4a","protein2genome","protein_match",2414284,2420352,"905","-",".","ID=chr4a:hit:707:3.10.0.24;Name=XP_030127018.1","XP_030127018.1"
"chr4a","protein2genome","protein_match",2414284,2420352,"905","-",".","ID=chr4a:hit:708:3.10.0.24;Name=XP_030127019.1","XP_030127019.1"
"chr4a","protein2genome","protein_match",2414284,2420352,"905","-",".","ID=chr4a:hit:709:3.10.0.24;Name=XP_032603954.1","XP_032603954.1"
"chr4a","blastx","protein_match",2400129,2403905,"125","+",".","ID=chr4a:hit:7295:3.10.0.23;Name=NP_001232602.1","NP_001232602.1"
"chr4a","blastx","protein_match",2400129,2403905,"125","+",".","ID=chr4a:hit:7296:3.10.0.23;Name=XP_032604207.1","XP_032604207.1"
"chr4a","protein2genome","protein_match",2400129,2403905,"841","+",".","ID=chr4a:hit:7298:3.10.0.23;Name=NP_001232602.1","NP_001232602.1"
"chr4a","protein2genome","protein_match",2400129,2403905,"841","+",".","ID=chr4a:hit:7299:3.10.0.23;Name=XP_032604207.1","XP_032604207.1"
"chrz","blastx","protein_match",72541101,72555864,"174","-",".","ID=chrz:hit:8284:3.10.0.725;Name=XP_002199795.3","XP_002199795.3"
"chrz","blastx","protein_match",72579130,72583515,"324","+",".","ID=chrz:hit:8285:3.10.0.725;Name=XP_030113370.1","XP_030113370.1"
"chrz","protein2genome","protein_match",72541140,72555960,"1982","-",".","ID=chrz:hit:8290:3.10.0.725;Name=XP_002199795.3","XP_002199795.3"
"chrz","protein2genome","protein_match",72579118,72583515,"1078","+",".","ID=chrz:hit:8291:3.10.0.725;Name=XP_030113370.1","XP_030113370.1"
"chr5","blastx","protein_match",631137,635611,"786","+",".","ID=chr5:hit:11569:3.10.0.6;Name=XP_002187332.2","XP_002187332.2"
"chr5","protein2genome","protein_match",631137,632317,"1031","+",".","ID=chr5:hit:11570:3.10.0.6;Name=XP_002187332.2","XP_002187332.2"
"chr5","blastx","protein_match",2112270,2112818,"917","-",".","ID=chr5:hit:7027:3.10.0.21;Name=XP_030130342.1","XP_030130342.1"
"chr5","protein2genome","protein_match",2112270,2112818,"948","-",".","ID=chr5:hit:7039:3.10.0.21;Name=XP_030130342.1","XP_030130342.1"
"chr7","blastx","protein_match",11574369,11577817,"204","+",".","ID=chr7:hit:7072:3.10.0.115;Name=XP_030133035.2","XP_030133035.2"
"chr7","protein2genome","protein_match",11574366,11577817,"881","+",".","ID=chr7:hit:7080:3.10.0.115;Name=XP_030133035.2","XP_030133035.2"
"chr14","blastx","protein_match",16128387,16140543,"239","+",".","ID=chr14:hit:12204:3.10.0.161;Name=XP_030141126.2","XP_030141126.2"
"chr14","blastx","protein_match",16128387,16140543,"239","+",".","ID=chr14:hit:12205:3.10.0.161;Name=XP_030141127.2","XP_030141127.2"
"chr14","blastx","protein_match",16128387,16140543,"239","+",".","ID=chr14:hit:12206:3.10.0.161;Name=XP_030141128.2","XP_030141128.2"
"chr14","blastx","protein_match",16161957,16162571,"463","-",".","ID=chr14:hit:12207:3.10.0.161;Name=XP_030123632.1","XP_030123632.1"
"chr14","blastx","protein_match",16161957,16162571,"463","-",".","ID=chr14:hit:12208:3.10.0.161;Name=XP_012428151.1","XP_012428151.1"
"chr14","blastx","protein_match",16161957,16162571,"461","-",".","ID=chr14:hit:12209:3.10.0.161;Name=XP_002191972.2","XP_002191972.2"
"chr14","blastx","protein_match",16161954,16162571,"864","-",".","ID=chr14:hit:12210:3.10.0.161;Name=XP_002195131.4","XP_002195131.4"
"chr14","blastx","protein_match",16161957,16162571,"463","-",".","ID=chr14:hit:12211:3.10.0.161;Name=XP_032603169.1","XP_032603169.1"
"chr14","blastx","protein_match",16161957,16162571,"461","-",".","ID=chr14:hit:12212:3.10.0.161;Name=XP_032605049.1","XP_032605049.1"
